,FG/MP_Home_Starter,FGA/MP_Home_Starter,3P/MP_Home_Starter,3PA/MP_Home_Starter,FT/MP_Home_Starter,FTA/MP_Home_Starter,ORB/MP_Home_Starter,DRB/MP_Home_Starter,AST/MP_Home_Starter,STL/MP_Home_Starter,BLK/MP_Home_Starter,TOV/MP_Home_Starter,PF/MP_Home_Starter,PTS/MP_Home_Starter,FG/MP_Home_Other,FGA/MP_Home_Other,3P/MP_Home_Other,3PA/MP_Home_Other,FT/MP_Home_Other,FTA/MP_Home_Other,ORB/MP_Home_Other,DRB/MP_Home_Other,AST/MP_Home_Other,STL/MP_Home_Other,BLK/MP_Home_Other,TOV/MP_Home_Other,PF/MP_Home_Other,PTS/MP_Home_Other,FG/MP_Away_Starter,FGA/MP_Away_Starter,3P/MP_Away_Starter,3PA/MP_Away_Starter,FT/MP_Away_Starter,FTA/MP_Away_Starter,ORB/MP_Away_Starter,DRB/MP_Away_Starter,AST/MP_Away_Starter,STL/MP_Away_Starter,BLK/MP_Away_Starter,TOV/MP_Away_Starter,PF/MP_Away_Starter,PTS/MP_Away_Starter,FG/MP_Away_Other,FGA/MP_Away_Other,3P/MP_Away_Other,3PA/MP_Away_Other,FT/MP_Away_Other,FTA/MP_Away_Other,ORB/MP_Away_Other,DRB/MP_Away_Other,AST/MP_Away_Other,STL/MP_Away_Other,BLK/MP_Away_Other,TOV/MP_Away_Other,PF/MP_Away_Other,PTS/MP_Away_Other,Homewin,GameID
GameID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS vs CLE 2018,0.20173913043478262,0.4322153209109731,0.04795031055900621,0.1325879917184265,0.1031055900621118,0.13184265010351967,0.03635610766045549,0.15817805383022773,0.12339544513457557,0.032132505175983435,0.013002070393374742,0.0675776397515528,0.057391304347826085,0.5545341614906832,4.569604211347241,4.709787482940144,4.496588028855528,4.569604211347241,4.493468512380581,4.509553519204523,4.492396178592318,4.575355819847924,4.500877364008579,4.472216806395009,4.46899980503022,4.488204328329109,4.520374341976994,4.7757847533632285,4.0661269706007666,4.27856838517256,3.937963357477631,4.0207925010651895,3.9808265871325097,3.9988069876438006,3.918108223263741,4.0012782275245,4.013208351086494,3.922283766510439,3.906433745206647,3.947337025990626,3.9544951001278226,4.378270132083511,33.443144424131624,33.515539305301644,33.39981718464351,33.422120658135285,33.413162705667276,33.41864716636197,33.417001828153566,33.46416819012797,33.419195612431444,33.40091407678245,33.39853747714808,33.40712979890311,33.43235831809872,33.53107861060329,1.0,
HOU vs GSW 2018,0.20376225102750553,0.42957635156497,0.0758773316471704,0.19238065128042997,0.09271261460638634,0.11010116977552956,0.0325640214985773,0.14906734113183687,0.13491938033512488,0.041416376857413846,0.024423016123932974,0.06417957635156497,0.07579829276003794,0.5761144483085678,7.916595599522429,8.027119222241174,7.798396725225993,7.8200579907896985,7.823298652566946,7.843595428961283,7.833361760191028,7.901586218659389,7.864574449940304,7.81664676786628,7.8168173290124505,7.832508954460174,7.874808118710558,8.091420774347604,0.18127796933460494,0.40114445015039246,0.07534296823417211,0.20394688577507153,0.10571491453304967,0.129777712566943,0.037267992076883576,0.14452351258161544,0.1440833394468491,0.03668109456386179,0.014672437825544714,0.06947399310395422,0.07079451250825325,0.5436138214364317,13.560507674144038,13.656729634002362,13.496015348288076,13.527744982290438,13.509149940968122,13.520808736717827,13.52228453364817,13.57836481700118,13.5056080283353,13.51047815820543,13.491440377804015,13.502804014167651,13.550177095631641,13.695247933884298,0.0,
CHO vs DET 2018,0.1777317358796505,0.3905954418520854,0.040536888568597426,0.11206197639852265,0.0540491847581299,0.0835059904513107,0.05017565985046392,0.15917484911269256,0.07404738311863795,0.03504188811818755,0.01567426357985767,0.05107647959643275,0.07720025222952887,0.4500495450860283,14.557926347400032,14.705073494547179,14.451556819977872,14.493440809230282,14.469100679626996,14.478899952584163,14.463410779200252,14.541172751699067,14.524103050418839,14.451872925557137,14.445234708392602,14.466887940572152,14.484747905800537,14.736367946894262,4.370005523844596,4.544282820843307,4.240931688455165,4.305376542073283,4.286871662677223,4.3194623457926715,4.258423863008654,4.371386484993556,4.278954152089854,4.2308967041060574,4.226477628429387,4.2499539679617016,4.272049346345056,4.656877186521819,13.268155619596541,13.41729106628242,13.179250720461095,13.223054755043227,13.207925072046109,13.223054755043227,13.194668587896254,13.280115273775216,13.21628242074928,13.18314121037464,13.178097982708934,13.188328530259366,13.224207492795388,13.447982708933717,1.0,
BRK vs IND 2018,0.16982280021294394,0.35805004182827593,0.03627652292950034,0.09787816563997262,0.06570841889117043,0.08205947220320937,0.03194159251654118,0.11955281770476843,0.08304814054300708,0.03285420944558522,0.01908890409917104,0.051106548026465894,0.0727812000912617,0.4416305422465587,25.736989891426433,25.856233620366904,25.653687757394234,25.680082366155,25.666042680643955,25.675776862598276,25.665668289030325,25.73736428304006,25.68195432422314,25.654623736428302,25.65162860351928,25.669599400973418,25.709846499438413,25.86746536877574,0.15823817292006526,0.35649809679173466,0.037194127243066887,0.10940728656878738,0.07373572593800978,0.09646547036432844,0.0487221315932572,0.1598694942903752,0.0974442631865144,0.041653072321914085,0.017400761283306143,0.06862425231103861,0.08852637302882001,0.4274061990212072,5.178950863213811,5.34041611332448,5.103806994245241,5.1865869853917665,5.117529880478088,5.133576803895529,5.06717574147853,5.163014608233731,5.121513944223108,5.079238601150951,5.061974324922532,5.0971668880035415,5.1291500664010625,5.419876051350155,1.0,
MIA vs ORL 2018,0.17801509555163,0.3938493656656496,0.03533001445318773,0.10767624859482897,0.06383491247791874,0.08623735346073551,0.037176810663240724,0.13513730528344306,0.10462502007387185,0.03444676409185804,0.017343825277019432,0.053717681066324074,0.08013489641882127,0.45519511803436646,5.124410829770909,5.282801709963827,5.042201030362819,5.1108188096021046,5.065439000328839,5.08736161350433,5.038803025320618,5.130329935328291,5.07530417625781,5.023786035295407,5.0221418393072454,5.053600789214074,5.093719171325222,5.341663926340019,0.1874074805092273,0.39534195203789596,0.03473798480213165,0.09454258363761966,0.07737096615020231,0.10944438961807955,0.04973847823941577,0.16174874173492548,0.10204283035626172,0.031283923813283335,0.02644823842889569,0.06542978387446956,0.08990427316688049,0.4869239119707885,12.215722604552674,12.377580730545262,12.129301217575437,12.205399682371626,12.13883006881948,12.157358390682901,12.10627316040233,12.180518793012176,12.164107993647432,12.112758073054525,12.104420328215987,12.126521969295924,12.148888300688196,12.442297511911065,1.0,
PHI vs WAS 2018,3.8306954436450837,4.01462829736211,3.6896083133493205,3.7494004796163067,3.7250999200639487,3.7456434852118305,3.692406075139888,3.782174260591527,3.7599520383693044,3.6832134292565946,3.668025579536371,3.705755395683453,3.7213429256594726,4.126458832933653,10.077629564837087,10.205335665864858,10.00874699322108,10.058167504920183,10.036956046359064,10.05554340695386,10.01312048983162,10.074130767548656,10.096216925431882,10.018587360594795,9.994533129236824,10.032801224579051,10.059698228733872,10.24688388366499,5.8209325396825395,6.03546626984127,5.7219742063492065,5.826388888888889,5.748387896825397,5.767609126984127,5.696800595238095,5.798115079365079,5.720858134920635,5.695064484126984,5.685515873015873,5.728918650793651,5.737351190476191,6.1256200396825395,4.5824057801210705,4.730228471001757,4.485256785784027,4.539640695176724,4.514255028314782,4.531341534856473,4.492579574301894,4.567857840265573,4.561706697910564,4.489650458894747,4.476274165202109,4.516110134739309,4.543936731107205,4.789982425307557,1.0,
MIL vs BOS 2018,0.1258949261577837,0.3361809566630927,0.04427074326427558,0.14180472451838272,0.04427074326427558,0.057413620170857396,0.032511327084702384,0.1494137585169301,0.10514301525265451,0.03666170926572822,0.009684225089060283,0.03804516999273683,0.05948881126137032,0.34033133884411854,47.844824576714956,47.86856344911852,47.819863850584746,47.819863850584746,47.8336533426427,47.83627160062838,47.83923895967883,47.85861406877291,47.82544946762088,47.82283120963519,47.82667132134753,47.8285913772037,47.84883923895968,47.883574794903126,0.1540566037735849,0.32858490566037735,0.03990566037735849,0.10575471698113208,0.07754716981132076,0.09745283018867924,0.0269811320754717,0.11877358490566038,0.12509433962264152,0.03528301886792453,0.01981132075471698,0.05820754716981132,0.0780188679245283,0.42556603773584906,12.417025862068966,12.55010775862069,12.327990301724139,12.376346982758621,12.342672413793103,12.357893318965518,12.339574353448276,12.415813577586206,12.356276939655173,12.327316810344827,12.322063577586206,12.338227370689655,12.375404094827585,12.602774784482758,0.0,
NOP vs MEM 2018,4.424859287054409,4.597560975609756,4.323076923076923,4.388836772983114,4.373545966228893,4.393151969981238,4.316135084427767,4.4046904315196995,4.3880863039399625,4.311913696060038,4.301313320825516,4.335834896810507,4.368105065666041,4.696435272045028,21.691106906338696,21.81764427625355,21.616840113528855,21.65491958372753,21.64072847682119,21.65515610217597,21.62535477767266,21.695600756859037,21.647114474929044,21.619205298013245,21.613055818353832,21.629848628193,21.6662724692526,21.84318826868496,0.20803743002757122,0.43963572562453,0.04010360096917036,0.1111203943520762,0.10627454256830145,0.13735483331940848,0.04018715013785613,0.16801737822708665,0.10594034589355836,0.03525774918539561,0.031080290751107027,0.06592029409307378,0.07410811262427938,0.5624530035926143,28.39913187267466,28.49710624224886,28.324100868127324,28.344150475403058,28.33712277800744,28.34993799090533,28.353245142620917,28.37639520463001,28.3462174452253,28.3402232327408,28.32120711037619,28.34063662670525,28.359859446052088,28.519429516329062,1.0,
ATL vs DAL 2018,4.8557623110928345,5.054795928857819,4.735170144957335,4.805901100030842,4.759638120694973,4.7735170144957335,4.719543538603886,4.813817209828313,4.758918474349748,4.72283335046777,4.707206744114321,4.732805592680169,4.757684794900792,5.123881977999383,6.694416390131294,6.823546385802914,6.615062761506276,6.673495888039244,6.642042995238782,6.658635117587649,6.633530515077189,6.710575674505844,6.65502813446833,6.619246861924686,6.61160005771173,6.6242966382917325,6.673640167364017,6.882556629634974,4.523568218758964,4.719284826465246,4.407304713643752,4.484654364662013,4.433789081174108,4.450807916626829,4.398604073047136,4.488861267807629,4.461994454536763,4.394684004206903,4.38101156898365,4.425853332058514,4.441629218854575,4.791375848551486,22.155867182462927,22.25725338491296,22.10509348807221,22.151515151515152,22.102030947775628,22.109606705351386,22.097356544165056,22.15199871050935,22.13604126370084,22.094938749194068,22.088652482269502,22.110090264345583,22.13539651837524,22.280947775628626,0.0,
