Name,Team,Position
Eric Paschall,GSW,PF
Marquese Chriss,GSW,PF
Jordan Poole,GSW,SG
Damion Lee,GSW,SG
Ky Bowman,GSW,PG
Draymond Green,GSW,PF
Kevon Looney,GSW,C
Alen Smailagić,GSW,PF
Juan Toscano-Anderson,GSW,SF
Andrew Wiggins,GSW,SG
Dragan Bender,GSW,SF
Mychal Mulder,GSW,SG
Stephen Curry,GSW,PG
Chasson Randle,GSW,PG
Klay Thompson,GSW,G-F
