Name,Team,Position
Mikal Bridges,PHO,SF
Devin Booker,PHO,SG
Dario Šarić,PHO,PF
Ricky Rubio,PHO,PG
Kelly Oubre Jr.,PHO,SF
Elie Okobo,PHO,PG
Jevon Carter,PHO,PG
Cameron Johnson,PHO,PF
Cheick Diallo,PHO,C
Aron Baynes,PHO,C
Frank Kaminsky,PHO,C
Deandre Ayton,PHO,C
Ty Jerome,PHO,PG
Jalen Lecque,PHO,PG
Tariq Owens,PHO,PF
