,FG/MP_Home_Starter,FGA/MP_Home_Starter,3P/MP_Home_Starter,3PA/MP_Home_Starter,FT/MP_Home_Starter,FTA/MP_Home_Starter,ORB/MP_Home_Starter,DRB/MP_Home_Starter,AST/MP_Home_Starter,STL/MP_Home_Starter,BLK/MP_Home_Starter,TOV/MP_Home_Starter,PF/MP_Home_Starter,PTS/MP_Home_Starter,FG/MP_Home_Other,FGA/MP_Home_Other,3P/MP_Home_Other,3PA/MP_Home_Other,FT/MP_Home_Other,FTA/MP_Home_Other,ORB/MP_Home_Other,DRB/MP_Home_Other,AST/MP_Home_Other,STL/MP_Home_Other,BLK/MP_Home_Other,TOV/MP_Home_Other,PF/MP_Home_Other,PTS/MP_Home_Other,FG/MP_Away_Starter,FGA/MP_Away_Starter,3P/MP_Away_Starter,3PA/MP_Away_Starter,FT/MP_Away_Starter,FTA/MP_Away_Starter,ORB/MP_Away_Starter,DRB/MP_Away_Starter,AST/MP_Away_Starter,STL/MP_Away_Starter,BLK/MP_Away_Starter,TOV/MP_Away_Starter,PF/MP_Away_Starter,PTS/MP_Away_Starter,FG/MP_Away_Other,FGA/MP_Away_Other,3P/MP_Away_Other,3PA/MP_Away_Other,FT/MP_Away_Other,FTA/MP_Away_Other,ORB/MP_Away_Other,DRB/MP_Away_Other,AST/MP_Away_Other,STL/MP_Away_Other,BLK/MP_Away_Other,TOV/MP_Away_Other,PF/MP_Away_Other,PTS/MP_Away_Other,Homewin,GameID
GameID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOP vs TOR 2020,0.1604722343681679,0.3461303017052908,0.05089637079142982,0.1406209007433319,0.06864888500218627,0.08753825972890249,0.029733275032794052,0.1443812855268911,0.1404459991254919,0.034105815478793176,0.01958898119807608,0.06060341058154788,0.08482728465238304,0.4404897245299519,0.19721577726218098,0.4115429234338747,0.03857308584686775,0.12819025522041763,0.058294663573085846,0.07540603248259861,0.06003480278422274,0.19489559164733178,0.055104408352668215,0.027842227378190254,0.04118329466357309,0.05887470997679815,0.10469837587006961,0.49129930394431554,0.18331148973350808,0.3891655744866754,0.05006553079947575,0.1434687636522499,0.07514198339886413,0.10231542158147662,0.03774574049803408,0.1235474006116208,0.11489733508082133,0.03128003494975972,0.023328964613368284,0.059851463521188294,0.07426823940585409,0.491830493665356,0.16551872578562205,0.3486870426173052,0.03917348256564787,0.10891089108910891,0.03680585449849333,0.05165733964700818,0.04240206629358588,0.12074903142488162,0.06328024106758502,0.026904864399483426,0.01485148514851485,0.04197158846319415,0.08501937150236763,0.40701678863538526,1.0,
LAL vs LAC 2020,0.18270571827057183,0.3635186292090058,0.043833432954771864,0.11297071129707113,0.0917513448894202,0.12074118350268978,0.05140466228332337,0.14833632197648933,0.08686989440127516,0.030982267383941026,0.02500498107192668,0.0473201833034469,0.09414225941422594,0.5009962143853357,0.18763082778306375,0.41579448144624165,0.04319695528068506,0.1231208372978116,0.11113225499524262,0.13472882968601332,0.04605137963843958,0.142721217887726,0.10580399619410086,0.035204567078972404,0.019790675547098003,0.06508087535680304,0.09686013320647002,0.5295908658420552,0.20268641294988807,0.40950576889960394,0.05123127260203203,0.1376786636817634,0.0805062855174789,0.1080592388496642,0.04968141897709661,0.1598071293266747,0.09574651282934389,0.03392457379025314,0.03426898570690546,0.05562252453934906,0.07826760805923885,0.537110384019287,0.14117029651010232,0.3143531881395959,0.060876410390973495,0.15612700078719496,0.039884544738913674,0.055366045657307794,0.029651010233534506,0.11099448963526633,0.08029388611912884,0.030175806874836,0.009708737864077669,0.046969299396483866,0.10233534505379166,0.38310154815009184,1.0,
CHI vs CHO 2020,0.1429034874290349,0.3236009732360097,0.04249797242497973,0.12441200324412004,0.050446066504460665,0.06536901865369019,0.036820762368207624,0.1440389294403893,0.09667477696674777,0.03179237631792376,0.019140308191403083,0.036982968369829686,0.08045417680454177,0.37875101378751014,0.13557929334428923,0.3032046014790468,0.046484329146613455,0.1286535978401221,0.05704894940720742,0.07453926517196854,0.05270571663340768,0.15130883906561804,0.07160464843291466,0.027937551355792935,0.026176781312360606,0.04519309778142974,0.08909496419767578,0.37469186524239934,0.18545454545454546,0.402987012987013,0.052987012987012985,0.1390909090909091,0.08974025974025975,0.10727272727272727,0.032467532467532464,0.14376623376623376,0.1138961038961039,0.033896103896103896,0.013376623376623377,0.06298701298701298,0.07038961038961039,0.5136363636363637,0.14106544145039115,0.3072147025953061,0.032286104557307835,0.09201539798832734,0.043586241152365576,0.05898422947969701,0.03712902024090401,0.12256301999254936,0.11709921768285111,0.04619396498199429,0.016515584254315162,0.04656649695765553,0.08642741835340867,0.35800322861045575,1.0,
DET vs IND 2020,0.19991674471849308,0.4039962535123322,0.04037881153085649,0.10344468727234885,0.08783432198980123,0.10948069518160058,0.04755957956082839,0.17525236757206786,0.08096576126548027,0.03174107607451348,0.03205328338016443,0.05130606722863982,0.08544073264647727,0.5280466229576439,0.1430274135876043,0.3154052443384982,0.04707985697258641,0.1318533969010727,0.03977949940405244,0.048271752085816445,0.021454112038140644,0.10220500595947557,0.08730631704410012,0.037544696066746125,0.014302741358760428,0.04365315852205006,0.07255661501787843,0.3729141835518474,0.16564063101192766,0.36340900346287036,0.04405540592535591,0.1229318968834167,0.06262023855328973,0.08686033089649865,0.05944594074644094,0.15582916506348596,0.07772220084647942,0.030684878799538285,0.02241246633320508,0.04838399384378607,0.09763370527125817,0.43795690650250096,0.1545380212591987,0.3589533932951758,0.052820932134096485,0.15208503679476695,0.06132461161079313,0.07865903515944399,0.031725265739983646,0.10237121831561734,0.10645952575633688,0.024039247751430907,0.015044971381847915,0.042027800490596894,0.07735077677841373,0.423221586263287,0.0,
CLE vs ORL 2020,0.1737178137935873,0.37535957342313897,0.04707780818073388,0.13225285904721812,0.06609134918964428,0.081877499473795,0.04511330947870624,0.16649126499684277,0.1053111625622676,0.02722233915666877,0.02048691503543114,0.05262050094716902,0.06700343787272856,0.4606047849575528,0.15650030807147258,0.3596220989936332,0.05339905524748408,0.1445882111316492,0.06613267611419182,0.08708153624974327,0.039227767508728695,0.12487163688642432,0.07722324912713083,0.03203943314849045,0.020538098172109262,0.041076196344218524,0.0862600123228589,0.43253234750462105,0.17370343316289263,0.39634769905040174,0.04411979547114682,0.1193571950328707,0.07684441197954711,0.095836376917458,0.0449963476990504,0.14054054054054055,0.08356464572680788,0.020160701241782323,0.0055514974433893355,0.05843681519357195,0.07655222790357925,0.4683710737764792,0.19298245614035087,0.44710260499734183,0.06087187666135035,0.1871345029239766,0.06140350877192982,0.07389686337054759,0.026049973418394472,0.08187134502923976,0.1190855927698033,0.024455077086656035,0.004518872939925572,0.0619351408825093,0.06618819776714513,0.5082402977139819,1.0,
MIN vs BRK 2020,0.19686847599164928,0.40375782881002087,0.055845511482254695,0.14498956158663884,0.09321503131524009,0.11847599164926931,0.03914405010438413,0.12943632567849686,0.12755741127348644,0.027766179540709812,0.021085594989561588,0.06440501043841336,0.08319415448851775,0.5427974947807933,0.12448665297741274,0.2589835728952772,0.03131416837782341,0.09458418891170431,0.05556981519507187,0.07661704312114989,0.05171971252566735,0.1771047227926078,0.06070328542094456,0.029260780287474333,0.021303901437371663,0.05094969199178645,0.09779260780287474,0.33585728952772076,0.18662081900593935,0.4080441804730645,0.04970303219756174,0.1398353652182974,0.08773575075544442,0.11263936646868813,0.04886943836615609,0.15213087423153068,0.09575909138272377,0.031051370219860375,0.028654787954569137,0.06095654892153798,0.08804834844222152,0.5106804209648849,0.13692087247253623,0.31077853844929154,0.03200127368253463,0.10157618213660245,0.07275911479063843,0.09600382104760388,0.04903677758318739,0.16446425728387198,0.08135647189937908,0.03868810698933291,0.030568380831077855,0.050310460117815634,0.09886960675051744,0.3786021334182455,0.0,
MEM vs MIA 2020,0.15937989897230448,0.33269465249956454,0.03588225047901063,0.09510538233757185,0.06514544504441735,0.08970562619752656,0.0517331475352726,0.17401149625500784,0.12454276258491552,0.03239853684027173,0.01707019682982059,0.06566800209022819,0.09858909597631074,0.41978749346803695,0.1664312617702448,0.362758945386064,0.04590395480225989,0.13135593220338984,0.1111111111111111,0.13253295668549905,0.046374764595103576,0.1297080979284369,0.09769303201506592,0.0428436911487759,0.017890772128060263,0.05155367231638418,0.07368173258003767,0.4898775894538606,0.18622804572065793,0.4061890158907165,0.0563144689155283,0.1700585447449122,0.08670197936994703,0.11485921382771118,0.04878728742681907,0.1837189852244215,0.061053805408419294,0.025926958461109564,0.024533035963200445,0.05408419291887371,0.10203512684694731,0.5154725397267912,0.11251900658895084,0.2633890859942558,0.03210001689474573,0.09883426254434871,0.038182125359013344,0.05119107957425241,0.02956580503463423,0.1111674269302247,0.12569690826153065,0.04156107450582869,0.01926001013684744,0.0476431829700963,0.08633215070113195,0.29532015543166074,1.0,
BOS vs PHI 2020,0.20805698845492507,0.4226643740276754,0.03864734299516908,0.108490952263981,0.10824531237206256,0.1400147383935151,0.047080979284369114,0.19315483501187258,0.13542946041103743,0.028412347498567102,0.027839187750757388,0.07090804880045853,0.07614836649471875,0.5630066322770818,0.1474197040779502,0.34121255864308914,0.05304944063514976,0.14922410682064235,0.04853843377841934,0.061891014074341395,0.034464092385420426,0.12432334897149043,0.08751353302057019,0.028870443883074703,0.014796102490075786,0.040418621436304585,0.10321183688199206,0.3964272825694695,0.191356115664141,0.41727230555126027,0.05288387196536261,0.1491417968145972,0.08682542137003248,0.10770063398793876,0.04267821246327509,0.14025050255141489,0.11079325807948044,0.03803927632596258,0.015463120457708366,0.06015153858048554,0.07399103139013453,0.5224215246636771,0.14050751879699247,0.2725563909774436,0.03289473684210526,0.09163533834586467,0.0531015037593985,0.07424812030075188,0.0662593984962406,0.13721804511278196,0.07236842105263158,0.02443609022556391,0.041353383458646614,0.03806390977443609,0.1287593984962406,0.36701127819548873,1.0,
WAS vs DAL 2020,0.15179021684316693,0.35136157337367624,0.049167927382753406,0.15242057488653554,0.07690368129097327,0.10501765002521432,0.04929399899142713,0.15254664649520927,0.11081694402420575,0.03668683812405446,0.02168431669188099,0.05874936964195663,0.07576903681290974,0.4296520423600605,0.16796422063939043,0.3577936060957429,0.05052178234222296,0.13500082822594003,0.057313235050521785,0.07619678648335265,0.032466456849428525,0.11015405002484678,0.10882888852078847,0.02368726188504224,0.009607420904422726,0.05118436309425211,0.07669372204737453,0.4437634586715256,0.1975554669855188,0.4099907001461406,0.057260528763119434,0.1562375448385811,0.07679022186794207,0.09592134980736017,0.03414374916965591,0.13843496745051148,0.11398963730569948,0.028962402019396837,0.022983924538328683,0.05234489172313007,0.08011159824631327,0.5291616846020991,0.1691842900302115,0.4108761329305136,0.04632426988922457,0.16112789526686808,0.08862034239677745,0.11581067472306143,0.02920443101711984,0.11379657603222558,0.08157099697885196,0.030211480362537766,0.022155085599194362,0.07351460221550855,0.1027190332326284,0.473313192346425,1.0,
