Name,Team,Position
Shai Gilgeous-Alexander,OKC,SG
Dennis Schröder,OKC,PG
Chris Paul,OKC,PG
Steven Adams,OKC,C
Danilo Gallinari,OKC,PF
Nerlens Noel,OKC,C
Darius Bazley,OKC,PF
Terrance Ferguson,OKC,SF
Abdel Nader,OKC,SF
Mike Muscala,OKC,C
Hamidou Diallo,OKC,SF
Deonte Burton,OKC,SG
Luguentz Dort,OKC,SG
Kevin Hervey,OKC,PF
Isaiah Roby,OKC,SF
Andre Roberson,OKC,G-F
