Name,Team,Position
Terence Davis,TOR,SG
OG Anunoby,TOR,SF
Chris Boucher,TOR,PF
Pascal Siakam,TOR,PF
Kyle Lowry,TOR,PG
Rondae Hollis-Jefferson,TOR,SF
Serge Ibaka,TOR,C
Fred VanVleet,TOR,PG
Norman Powell,TOR,SG
Patrick McCaw,TOR,SF
Marc Gasol,TOR,C
Matt Thomas,TOR,SG
Malcolm Miller,TOR,SF
Stanley Johnson,TOR,PF
Oshae Brissett,TOR,SF
Dewan Hernandez,TOR,C
Paul Watson,TOR,SF
