Name,Team,Position
Kentavious Caldwell-Pope,LAL,SG
Dwight Howard,LAL,C
Danny Green,LAL,SG
JaVale McGee,LAL,C
LeBron James,LAL,PG
Alex Caruso,LAL,PG
Anthony Davis,LAL,PF
Kyle Kuzma,LAL,PF
Avery Bradley,LAL,SG
Rajon Rondo,LAL,PG
Jared Dudley,LAL,SF
Quinn Cook,LAL,PG
Markieff Morris,LAL,PF
Kostas Antetokounmpo,LAL,PF
Talen Horton-Tucker,LAL,SG
Devontae Cacok,LAL,F
Dion Waiters,LAL,G
