Name,Team,Position
Langston Galloway,DET,SG
Christian Wood,DET,PF
Thon Maker,DET,C
Tony Snell,DET,SF
Bruce Brown,DET,SG
Sviatoslav Mykhailiuk,DET,SF
Derrick Rose,DET,PG
Sekou Doumbouya,DET,SF
Luke Kennard,DET,SG
Blake Griffin,DET,PF
John Henson,DET,PF
Louis King,DET,SF
Jordan Bone,DET,PG
Brandon Knight,DET,PG
Khyri Thomas,DET,SG
Jordan McRae,DET,SG
