Name,Team,Minutes Played,PER
b'Norman Powell',b'TOR',b'1269',b'17.4'
b'Chasson Randle',b'GSW',b'40',b'6.7'
b'Julius Randle',b'NYK',b'2080',b'17.5'
b'Josh Reaves',b'DAL',b'1',b'-40.0'
b'Cam Reddish',b'ATL',b'1551',b'9.0'
b'J.J. Redick',b'NOP',b'1425',b'15.1'
b'Naz Reid',b'MIN',b'495',b'15.3'
b'Josh Richardson',b'PHI',b'1474',b'12.1'
b'Austin Rivers',b'HOU',b'1402',b'10.3'
b'Duncan Robinson',b'MIA',b'1949',b'12.8'
b'Glenn Robinson III',b'TOT',b'1743',b'13.4'
b'Glenn Robinson III',b'GSW',b'1516',b'13.1'
b'Glenn Robinson III',b'PHI',b'227',b'14.9'
b'Jerome Robinson',b'TOT',b'748',b'6.0'
b'Jerome Robinson',b'LAC',b'476',b'4.8'
b'Jerome Robinson',b'WAS',b'272',b'8.1'
b'Justin Robinson',b'WAS',b'49',b'8.2'
b'Mitchell Robinson',b'NYK',b'1412',b'23.5'
b'Isaiah Roby',b'OKC',b'11',b'-7.7'
b'Rajon Rondo',b'LAL',b'984',b'12.4'
b'Derrick Rose',b'DET',b'1298',b'21.1'
b'Terrence Ross',b'ORL',b'1723',b'14.2'

b'Terry Rozier',b'CHO',b'2164',b'14.9'
b'Ricky Rubio',b'PHO',b'1802',b'16.3'
"b""D'Angelo Russell""",b'TOT',b'1452',b'18.7'
"b""D'Angelo Russell""",b'GSW',b'1060',b'19.1'
"b""D'Angelo Russell""",b'MIN',b'392',b'17.6'
b'Domantas Sabonis',b'IND',b'2159',b'20.7'
b'Luka \xc5\xa0amani\xc4\x87',b'SAS',b'12',b'-3.4'
b'JaKarr Sampson',b'IND',b'340',b'11.8'
b'Dario \xc5\xa0ari\xc4\x87',b'PHO',b'1441',b'13.3'
b'Tom\xc3\xa1\xc5\xa1 Satoransk\xc3\xbd',b'CHI',b'1878',b'13.5'
b'Admiral Schofield',b'WAS',b'293',b'6.8'
b'Dennis Schr\xc3\xb6der',b'OKC',b'1952',b'16.8'
b'Mike Scott',b'PHI',b'1119',b'10.2'
b'Thabo Sefolosha',b'HOU',b'436',b'9.5'
b'Collin Sexton',b'CLE',b'2143',b'16.3'
b'Landry Shamet',b'LAC',b'1294',b'9.2'
b'Marial Shayok',b'PHI',b'10',b'-2.0'
b'Iman Shumpert',b'BRK',b'241',b'5.3'
b'Pascal Siakam',b'TOR',b'1882',b'18.7'
b'Chris Silva',b'MIA',b'307',b'17.2'
b'Ben Simmons',b'PHI',b'1930',b'20.8'
b'Anfernee Simons',b'POR',b'1400',b'9.3'

b'Alen Smailagi\xc4\x87',b'GSW',b'139',b'14.5'
b'Marcus Smart',b'BOS',b'1721',b'14.0'
b'Dennis Smith Jr.',b'NYK',b'537',b'7.5'
b'Ish Smith',b'WAS',b'1570',b'13.8'
b'Zhaire Smith',b'PHI',b'32',b'1.1'
b'Tony Snell',b'DET',b'1641',b'9.7'
b'Omari Spellman',b'GSW',b'886',b'14.4'
b'Max Strus',b'CHI',b'6',b'30.7'
b'Edmond Sumner',b'IND',b'345',b'10.0'
b'Caleb Swanigan',b'TOT',b'288',b'7.6'
b'Caleb Swanigan',b'SAC',b'23',b'0.0'
b'Caleb Swanigan',b'POR',b'265',b'8.3'
b'Jayson Tatum',b'BOS',b'2043',b'20.3'
b'Jeff Teague',b'TOT',b'1464',b'14.6'
b'Jeff Teague',b'MIN',b'945',b'16.0'
b'Jeff Teague',b'ATL',b'519',b'12.2'
b'Garrett Temple',b'BRK',b'1547',b'10.3'
b'Daniel Theis',b'BOS',b'1382',b'18.2'
b'Isaiah Thomas',b'WAS',b'925',b'11.6'
b'Khyri Thomas',b'DET',b'61',b'3.2'
b'Matt Thomas',b'TOR',b'321',b'13.6'
b'Tristan Thompson',b'CLE',b'1721',b'16.8'
b'Matisse Thybulle',b'PHI',b'1110',b'9.8'
b'Anthony Tolliver',b'TOT',b'732',b'6.6'
b'Anthony Tolliver',b'POR',b'554',b'7.6'
b'Anthony Tolliver',b'SAC',b'82',b'0.3'
b'Anthony Tolliver',b'MEM',b'96',b'6.8'

b'Juan Toscano-Anderson',b'GSW',b'272',b'9.4'
b'Karl-Anthony Towns',b'MIN',b'1187',b'26.5'
b'Gary Trent Jr.',b'POR',b'1059',b'11.8'
b'Allonzo Trier',b'NYK',b'291',b'14.5'
b'P.J. Tucker',b'HOU',b'2203',b'8.7'
b'Rayjon Tucker',b'UTA',b'78',b'4.5'
b'Evan Turner',b'ATL',b'251',b'6.8'
b'Myles Turner',b'IND',b'1628',b'14.7'
b'Jarrod Uthoff',b'MEM',b'14',b'-0.1'
b'Jonas Valan\xc4\x8di\xc5\xabnas',b'MEM',b'1630',b'22.3'
b'Denzel Valentine',b'CHI',b'488',b'13.0'
b'Jarred Vanderbilt',b'TOT',b'46',b'7.6'
b'Jarred Vanderbilt',b'DEN',b'41',b'7.2'
b'Jarred Vanderbilt',b'MIN',b'5',b'11.1'
b'Fred VanVleet',b'TOR',b'1719',b'16.0'
b'Gabe Vincent',b'MIA',b'42',b'1.2'
b'Noah Vonleh',b'TOT',b'364',b'15.6'
b'Noah Vonleh',b'MIN',b'347',b'15.3'
b'Noah Vonleh',b'DEN',b'17',b'22.0'
b'Nikola Vu\xc4\x8devi\xc4\x87',b'ORL',b'1763',b'21.6'
b'Dean Wade',b'CLE',b'71',b'13.9'
b'Moritz Wagner',b'WAS',b'707',b'16.6'
b'Dion Waiters',b'MIA',b'42',b'13.5'
b'Kemba Walker',b'BOS',b'1592',b'20.2'

b'Lonnie Walker',b'SAS',b'767',b'11.0'
b'Tyrone Wallace',b'ATL',b'160',b'3.9'
b'Taurean Prince',b'BRK',b'1857',b'9.2'
b'Derrick Walton',b'TOT',b'248',b'8.7'
b'Derrick Walton',b'LAC',b'222',b'8.4'
b'Derrick Walton',b'DET',b'26',b'11.3'
b'Brad Wanamaker',b'BOS',b'1215',b'11.8'
b'T.J. Warren',b'IND',b'1984',b'17.2'
b'P.J. Washington',b'CHO',b'1759',b'12.4'
b'Yuta Watanabe',b'MEM',b'99',b'9.5'
b'Tremont Waters',b'BOS',b'89',b'6.5'
b'Paul Watson',b'TOT',b'25',b'-0.5'
b'Paul Watson',b'ATL',b'17',b'-7.1'
b'Paul Watson',b'TOR',b'8',b'13.6'
b'Quinndary Weatherspoon',b'SAS',b'15',b'-5.1'
b'Russell Westbrook',b'HOU',b'1905',b'21.5'
b'Coby White',b'CHI',b'1674',b'11.9'
b'Derrick White',b'SAS',b'1468',b'15.9'
b'Hassan Whiteside',b'POR',b'1911',b'25.0'
b'Andrew Wiggins',b'TOT',b'1858',b'16.4'
b'Andrew Wiggins',b'MIN',b'1455',b'16.1'
b'Andrew Wiggins',b'GSW',b'403',b'17.5'
b'Grant Williams',b'BOS',b'970',b'8.0'
b'Johnathan Williams',b'WAS',b'135',b'14.4'
b'Kenrich Williams',b'NOP',b'779',b'7.6'
b'Lou Williams',b'LAC',b'1757',b'17.2'

b'Marvin Williams',b'TOT',b'1011',b'11.4'
b'Marvin Williams',b'CHO',b'808',b'11.8'
b'Marvin Williams',b'MIL',b'203',b'9.7'
b'Robert Williams',b'BOS',b'323',b'19.6'
b'Nigel Williams-Goss',b'UTA',b'28',b'5.7'
b'Zion Williamson',b'NOP',b'565',b'24.2'
b'D.J. Wilson',b'MIL',b'280',b'8.4'
b'Justise Winslow',b'MIA',b'352',b'8.6'
b'Christian Wood',b'DET',b'1325',b'23.2'
b'Delon Wright',b'DAL',b'1412',b'16.1'
b'Justin Wright-Foreman',b'UTA',b'2',b'0.0'
b'Thaddeus Young',b'CHI',b'1591',b'13.3'
b'Trae Young',b'ATL',b'2120',b'23.9'
b'Cody Zeller',b'CHO',b'1341',b'18.8'
b'Ante \xc5\xbdi\xc5\xbei\xc4\x87',b'CLE',b'221',b'16.4'
b'Ivica Zubac',b'LAC',b'1156',b'21.0'
