,Name,Team,Minutes Played,PER
152,Jarrett Culver,MIN,1506,9.6
153,Seth Curry,DAL,1448,16.2
154,Stephen Curry,GSW,139,21.7
155,Troy Daniels,TOT,457,8.9
156,Troy Daniels,LAL,456,9.0
157,Troy Daniels,DEN,1,-40.8
158,Anthony Davis,LAL,1889,28.2
159,Ed Davis,UTA,268,7.3
160,Terence Davis,TOR,1087,14.5
161,,,,
162,Dewayne Dedmon,TOT,774,9.4
163,Dewayne Dedmon,SAC,541,8.5
164,Dewayne Dedmon,ATL,233,11.4
165,Matthew Dellavedova,CLE,821,8.1
166,DeMar DeRozan,SAS,2091,21.3
167,Cheick Diallo,PHO,467,16.3
168,Hamidou Diallo,OKC,699,8.4
169,Gorgui Dieng,TOT,1012,17.4
170,Gorgui Dieng,MIN,778,17.8
171,Gorgui Dieng,MEM,234,16.2
172,Spencer Dinwiddie,BRK,1994,17.9
173,Donte DiVincenzo,MIL,1362,15.0
174,Luka Dončić,DAL,1799,27.7
175,Luguentz Dort,OKC,637,7.3
176,Damyean Dotson,NYK,836,10.9
177,Sekou Doumbouya,DET,754,6.2
178,PJ Dozier,DEN,234,9.3
179,Goran Dragić,MIA,1531,15.9
180,Andre Drummond,TOT,1879,22.0
181,Andre Drummond,DET,1654,22.1
182,Andre Drummond,CLE,225,21.1
183,Jared Dudley,LAL,311,7.4
184,Kris Dunn,CHI,1269,12.1
185,Carsen Edwards,BOS,316,6.5
186,Henry Ellenson,BRK,15,-1.2
187,Wayne Ellington,NYK,558,8.5
188,,,,
189,Joel Embiid,PHI,1329,26.0
190,James Ennis,TOT,1053,11.5
191,James Ennis,PHI,776,12.3
192,James Ennis,ORL,277,9.4
193,Drew Eubanks,SAS,130,15.3
194,Jacob Evans,TOT,418,5.5
195,Jacob Evans,GSW,414,5.7
196,Jacob Evans,MIN,4,-9.6
197,Dante Exum,TOT,485,10.4
198,Dante Exum,UTA,83,4.8
199,Dante Exum,CLE,402,11.5
200,Tacko Fall,BOS,24,23.9
201,Derrick Favors,NOP,1089,19.0
202,Cristiano Felício,CHI,386,12.8
203,Terrance Ferguson,OKC,1170,4.1
204,Bruno Fernando,ATL,713,11.9
205,Yogi Ferrell,SAC,484,10.7
206,Dorian Finney-Smith,DAL,1898,12.2
