Name,Team
b'Jarrett Culver',b'MIN'
b'Josh Okogie',b'MIN'
b'Karl-Anthony Towns',b'MIN'
b'Kelan Martin',b'MIN'
b'Naz Reid',b'MIN'
b'Jordan McLaughlin',b'MIN'
b'Jake Layman',b'MIN'
b'Jaylen Nowell',b'MIN'
b'Malik Beasley',b'MIN'
b'Juan Hernang\xc3\xb3mez',b'MIN'
b'James Johnson',b'MIN'
"b""D'Angelo Russell""",b'MIN'
b'Jarred Vanderbilt',b'MIN'
b'Jacob Evans',b'MIN'
b'Evan Turner',b'MIN'
b'Omari Spellman',b'MIN'
