Name,Team,Position
Miles Bridges,CHO,SF
Devonte' Graham,CHO,PG
Terry Rozier,CHO,PG
P.J. Washington,CHO,PF
Cody Zeller,CHO,C
Malik Monk,CHO,SG
Bismack Biyombo,CHO,C
Cody Martin,CHO,SF
Dwayne Bacon,CHO,SG
Willy Hernangómez,CHO,C
Nicolas Batum,CHO,SF
Caleb Martin,CHO,SF
Jalen McDaniels,CHO,PF
Joe Chealey,CHO,PG
Kobi Simmons,CHO,G
Ray Spalding,CHO,F
