Name,Team,Position
De'Andre Hunter,ATL,SF
Trae Young,ATL,PG
Vince Carter,ATL,SF
Cam Reddish,ATL,SF
Kevin Huerter,ATL,SG
Bruno Fernando,ATL,C
Damian Jones,ATL,C
DeAndre' Bembry,ATL,SG
John Collins,ATL,PF
Brandon Goodwin,ATL,PG
Jeff Teague,ATL,PG
Treveon Graham,ATL,SG
Dewayne Dedmon,ATL,C
Charlie Brown,ATL,SG
Clint Capela,ATL,C
Skal Labissière,ATL,F
