Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Quincy Acy\acyqu01,Nov 7 '12 TOR @ DAL,22,7,337,5392,583,1314,183,523,293,386,309,1179,217,140,135,219,665,1642,.444,.350,.759,16.0,4.9,3.5,0.6
2,Josh Akognon\akognjo01,Apr 10 '13 DAL vs. PHO,26,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,.500,.500,,3.0,1.7,0.3,0.3
3,Harrison Barnes\barneha02,Oct 31 '12 GSW @ PHO,20,8,604,18823,3051,6822,751,2003,1410,1771,601,2951,982,421,115,711,1006,8263,.447,.375,.796,31.2,13.7,4.9,1.6
4,Will Barton\bartowi01,Nov 2 '12 POR @ OKC,22,8,496,12110,2035,4693,572,1649,850,1082,373,2089,1248,371,205,677,785,5492,.434,.347,.786,24.4,11.1,4.2,2.5
5,Aron Baynes\baynear01,Jan 25 '13 SAS @ DAL,26,8,469,7390,1109,2239,84,257,489,611,718,2123,374,101,232,399,1045,2791,.495,.327,.800,15.8,6.0,4.5,0.8
6,Kent Bazemore\bazemke01,Nov 9 '12 GSW @ LAL,23,8,547,11584,1693,4098,584,1667,791,1090,195,1757,1004,560,266,796,1096,4761,.413,.350,.726,21.2,8.7,3.2,1.8
7,Bradley Beal\bealbr01,Oct 30 '12 WAS @ CLE,19,8,545,18832,4162,9204,1241,3268,1860,2306,450,2169,2171,622,214,1241,1200,11425,.452,.380,.807,34.6,21.0,4.0,4.0
8,Patrick Beverley\beverpa01,Jan 15 '13 HOU vs. LAC,24,8,428,12060,1349,3260,688,1812,432,567,500,1877,1491,505,191,558,1344,3818,.414,.380,.762,28.2,8.9,4.4,3.5
9,Victor Claver\clavevi01,Nov 3 '12 POR @ HOU,24,3,80,1072,100,251,34,116,24,41,43,178,56,30,16,58,103,258,.398,.293,.585,13.4,3.2,2.2,0.7
10,Chris Copeland\copelch01,Nov 2 '12 NYK vs. MIA,28,4,171,2111,366,858,154,422,112,149,65,272,107,32,30,129,237,998,.427,.365,.752,12.3,5.8,1.6,0.6
