Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Lavoy Allen\allenla01,Jan 7 '12 PHI vs. TOR,22,6,388,6905,828,1758,2,15,189,277,715,1843,384,120,214,257,706,1847,.471,.133,.682,17.8,4.8,4.8,1.0
2,Gustavo Ayón\ayongu01,Jan 1 '12 NOH @ SAC,26,3,135,2251,284,530,0,1,67,133,188,589,173,100,73,122,272,635,.536,.000,.504,16.7,4.7,4.4,1.3
3,Keith Benson\bensoke02,Mar 24 '12 GSW vs. SAC,23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,.000,,,3.0,0.0,1.0,0.0
4,Bismack Biyombo\biyombi01,Dec 26 '11 CHA vs. MIL,19,9,636,12864,1232,2367,0,2,809,1408,1255,3968,338,159,852,577,1408,3273,.520,.000,.575,20.2,5.1,6.2,0.5
5,MarShon Brooks\brookma01,Dec 26 '11 NJN @ WAS,23,5,200,3456,613,1371,109,316,257,342,132,424,282,120,42,248,269,1592,.447,.345,.751,17.3,8.0,2.1,1.4
6,Alec Burks\burksal01,Dec 27 '11 UTA @ LAL,20,9,488,10664,1698,4047,389,1086,1195,1509,297,1566,900,318,92,622,859,4980,.420,.358,.792,21.9,10.2,3.2,1.8
7,Jimmy Butler\butleji01,Jan 1 '12 CHI vs. MEM,22,9,577,19080,3190,7030,504,1512,2939,3521,866,2936,2136,914,275,883,830,9823,.454,.333,.835,33.1,17.0,5.1,3.7
8,Derrick Byars\byarsde01,Apr 25 '12 SAS @ PHO,27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,.273,.000,1.000,18.5,5.0,5.5,0.5
9,Norris Cole\coleno01,Dec 25 '11 MIA @ DAL,23,6,360,8018,1005,2469,207,639,289,389,79,702,981,280,34,517,679,2506,.407,.324,.743,22.3,7.0,2.0,2.7
10,Eric Dawson\dawsoer01,Feb 21 '12 SAS @ POR,27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,.583,,.500,9.8,3.8,2.5,0.0
11,Justin Dentmon\dentmju01,Mar 24 '12 SAS @ NOH,26,2,8,95,10,30,2,14,4,6,0,8,10,2,0,7,10,26,.333,.143,.667,11.9,3.3,1.0,1.3
12,Jerome Dyson\dysonje01,Apr 11 '12 NOH vs. SAC,24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,.396,.125,.778,20.0,7.4,2.1,2.0
13,Kenneth Faried\farieke01,Dec 28 '11 DEN vs. UTA,22,8,478,11728,2190,4009,10,45,1040,1590,1465,3884,470,351,392,626,1180,5430,.546,.222,.654,24.5,11.4,8.1,1.0
14,Jeff Foote\footeje01,Mar 9 '12 NOH @ DEN,24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,.333,,,9.8,1.0,1.5,0.0
15,Courtney Fortson\fortsco01,Jan 16 '12 LAC vs. NJN,23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,.344,.231,.667,9.5,3.5,1.5,1.0
16,Jimmer Fredette\fredeji01,Dec 26 '11 SAC vs. LAL,22,6,241,3213,524,1282,193,519,197,224,53,243,331,94,11,223,222,1438,.409,.372,.879,13.3,6.0,1.0,1.4
17,Mickell Gladness\gladnmi01,Dec 25 '11 MIA @ DAL,25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,.424,,.500,9.7,2.2,2.2,0.2
18,Andrew Goudelock\goudean01,Dec 25 '11 LAL vs. CHI,23,3,49,475,77,196,29,84,14,16,7,34,24,10,2,28,36,197,.393,.345,.875,9.7,4.0,0.7,0.5
19,Jordan Hamilton\hamiljo02,Jan 25 '12 DEN @ SAC,21,5,151,2100,342,839,137,384,69,103,89,429,127,73,34,102,144,890,.408,.357,.670,13.9,5.9,2.8,0.8
20,Justin Harper\harpeju01,Dec 26 '11 ORL vs. HOU,22,3,22,150,18,53,8,29,1,3,5,18,4,3,3,12,10,45,.340,.276,.333,6.8,2.0,0.8,0.2
21,Josh Harrellson\harrejo01,Dec 25 '11 NYK vs. BOS,22,3,75,888,105,240,33,95,22,35,80,227,26,30,36,33,96,265,.438,.347,.629,11.8,3.5,3.0,0.3
22,Terrel Harris\harrite01,Dec 25 '11 MIA @ DAL,24,2,42,455,33,110,8,47,21,31,22,77,35,11,5,42,51,95,.300,.170,.677,10.8,2.3,1.8,0.8
23,Tobias Harris\harrito02,Jan 7 '12 MIL @ LAC,19,9,611,18835,3681,7819,804,2210,1528,1863,604,3690,1234,451,297,847,1224,9694,.471,.364,.820,30.8,15.9,6.0,2.0
