player,mp,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
John Jenkins,13,1,2,1,3,2,2,0,1,1,0,0,0,0,7
Brandon Jennings,1802,79,252,113,283,114,152,29,167,395,70,4,128,116,577
Jonas Jerebko,1232,45,130,69,132,26,37,59,213,71,25,17,39,122,299
Amir Johnson,1608,27,66,186,304,67,100,118,248,140,51,62,77,211,520
Brice Johnson,9,0,0,2,7,0,0,1,2,1,2,1,1,0,4
James Johnson,2085,87,256,281,513,152,215,66,310,276,76,86,171,197,975
Joe Johnson,1843,106,258,167,368,63,77,33,210,144,36,18,69,93,715
Stanley Johnson,1371,45,154,84,211,36,53,36,153,105,56,24,71,121,339
Tyler Johnson,2178,93,250,264,574,195,254,50,243,233,84,44,90,176,1002
Wesley Johnson,810,29,118,44,82,11,17,26,155,23,29,30,18,83,186
Nikola Jokić,2038,45,139,449,715,188,228,212,506,359,61,55,171,214,1221
Dahntay Jones,12,0,2,3,6,3,4,1,1,1,0,0,1,1,9
Damian Jones,85,0,0,8,16,3,10,9,14,0,1,4,6,15,19
Derrick Jones Jr.,545,3,11,65,110,29,41,39,40,12,14,13,13,63,168
James Jones,381,31,66,13,26,13,20,3,34,14,6,10,10,37,132
Terrence Jones,1270,19,75,212,417,103,170,65,241,59,40,54,48,67,584
Tyus Jones,774,26,73,49,108,33,43,10,57,156,48,5,38,50,209
DeAndre Jordan,2570,0,2,412,575,205,425,298,816,96,51,134,115,212,1029
Cory Joseph,2003,48,135,251,526,94,122,51,184,265,66,13,108,140,740
Frank Kaminsky,1954,116,354,204,448,118,156,57,279,162,46,34,76,139,874
Enes Kanter,1533,5,38,397,699,224,285,195,287,67,32,38,123,154,1033
Ryan Kelly,110,4,10,4,18,5,6,1,17,8,4,5,4,5,25
Michael Kidd-Gilchrist,2349,1,9,294,609,152,194,156,409,114,81,77,56,187,743
Sean Kilpatrick,1754,105,308,200,427,204,242,22,258,157,45,6,135,118,919
Brandon Knight,1140,45,139,164,386,132,154,25,93,130,27,5,88,87,595
Kyle Korver,1753,162,359,77,156,38,42,7,179,110,34,21,69,107,678
Kosta Koufos,1419,0,1,216,391,38,62,118,285,47,36,48,61,172,470
Mindaugas Kuzminskas,1016,54,168,104,201,55,68,47,79,69,29,11,51,79,425
Skal Labissière,612,3,8,114,210,52,74,51,111,27,16,13,37,64,289
Jeremy Lamb,1143,41,146,185,345,110,129,30,234,75,27,23,40,98,603
Nicolás Laprovíttola,174,10,27,10,20,9,9,1,9,28,4,1,19,19,59
Joffrey Lauvergne,980,33,98,115,238,46,73,72,179,70,25,6,56,83,375
Zach LaVine,1749,120,310,206,400,117,140,19,141,139,41,10,85,104,889
Ty Lawson,1732,34,118,203,404,173,217,44,135,334,74,6,129,119,681
Jake Layman,249,13,51,13,38,13,17,6,18,11,9,3,11,22,78
Courtney Lee,2459,108,269,213,435,85,98,53,206,179,81,24,69,141,835
David Lee,1477,0,0,248,420,80,113,149,292,124,31,40,82,125,576
Alex Len,1560,3,12,227,451,150,208,156,354,44,38,98,102,242,613
Kawhi Leonard,2474,147,387,489,925,469,533,80,350,260,133,55,154,122,1888
Meyers Leonard,1222,74,213,72,165,35,40,27,210,71,13,28,35,172,401
Jon Leuer,1944,49,167,261,479,98,113,102,300,111,31,26,66,145,767
Caris LeVert,1237,59,184,112,196,67,93,23,165,110,49,8,59,91,468
DeAndre Liggins,777,17,46,38,96,25,40,20,88,54,47,14,42,81,152
Damian Lillard,2694,214,579,447,909,488,545,46,322,440,68,20,197,152,2024
Jeremy Lin,883,58,156,117,244,115,141,11,124,184,42,14,86,79,523
Shaun Livingston,1345,1,3,172,313,42,60,28,123,139,38,20,62,120,389
Shawn Long,234,7,19,54,90,19,35,41,44,13,9,9,13,49,148
Kevon Looney,447,2,9,54,98,21,34,44,80,29,15,17,17,64,135
Brook Lopez,2222,134,387,421,785,295,364,121,282,176,38,124,184,192,1539
Robin Lopez,2271,0,2,382,773,75,104,244,276,80,18,117,91,151,839
Kevin Love,1885,145,389,225,478,257,295,148,518,116,53,21,122,125,1142
Kyle Lowry,2244,193,468,233,450,299,365,48,238,417,88,19,173,170,1344
John Lucas III,11,0,1,1,3,0,0,0,0,1,2,0,0,0,2
Timothé Luwawu-Cabarrot,1190,50,161,95,200,105,123,25,124,75,32,10,73,154,445
Trey Lyles,1158,65,204,94,235,57,79,48,187,69,26,20,64,97,440
Sheldon Mac,287,7,30,23,45,23,27,4,30,15,8,2,5,17,90
Shelvin Mack,1205,37,120,133,261,53,77,20,105,154,42,3,90,100,430
Ian Mahinmi,555,0,0,65,111,43,75,47,103,19,33,24,34,90,173
Thon Maker,562,28,74,55,107,32,49,40,74,23,10,26,17,84,226
Boban Marjanović,293,0,0,72,132,47,58,46,84,9,6,12,10,25,191
Jarell Martin,558,9,25,49,126,40,50,42,120,8,17,9,28,91,165
Wesley Matthews,2495,174,479,159,368,146,179,18,241,210,77,15,102,161,986
Luc Mbah a Moute,1787,43,110,148,268,59,87,44,126,39,81,35,46,122,484
James Michael McAdoo,457,2,8,60,109,21,42,34,57,18,18,29,19,47,147
Patrick McCaw,1074,41,123,65,122,29,37,21,79,77,32,15,36,62,282
CJ McCollum,2796,185,439,507,1002,268,294,60,229,285,72,42,172,202,1837
T.J. McConnell,2133,11,55,225,457,73,90,39,212,534,134,10,159,139,556
Chris McCullough,80,1,7,15,25,3,5,9,10,2,2,2,3,7,36
K.J. McDaniels,505,20,66,57,103,32,38,15,67,13,19,18,29,49,206
Doug McDermott,1508,77,208,145,289,71,84,20,159,58,13,5,38,79,592
JaVale McGee,739,0,3,208,316,56,111,100,144,17,19,67,40,109,472
Rodney McGruder,1966,73,220,117,240,44,71,94,162,124,46,18,56,140,497
Ben McLemore,1176,65,170,115,249,70,93,19,110,51,29,6,62,108,495
Jordan McRae,384,18,51,40,99,27,34,6,35,19,8,6,14,31,161
Josh McRoberts,381,13,31,31,87,6,9,23,51,50,10,4,23,31,107
Jodie Meeks,738,56,137,47,119,65,74,5,72,45,34,4,36,41,327
Salah Mejri,905,1,3,87,134,36,61,97,211,14,32,61,40,152,213
Jordan Mickey,141,0,1,15,33,8,14,13,21,7,3,6,9,12,38
Khris Middleton,889,45,104,105,229,81,92,11,112,99,41,7,65,79,426
C.J. Miles,1776,169,409,112,238,84,93,30,199,48,46,25,40,151,815
Mike Miller,151,8,20,1,3,2,2,2,36,22,2,0,13,9,28
Patty Mills,1754,147,355,126,266,66,80,24,117,280,65,3,101,109,759
Elijah Millsap,23,0,2,1,5,1,2,3,3,1,0,0,2,2,3
Paul Millsap,2343,75,241,355,731,311,405,111,422,252,90,62,158,186,1246
Nikola Mirotić,1679,129,377,129,248,99,128,61,323,75,53,55,80,128,744
Greg Monroe,1823,0,4,387,722,177,239,167,365,187,92,38,140,168,951
E'Twaun Moore,1820,77,208,206,411,57,74,33,119,164,50,32,62,131,700
Marcus Morris,2565,118,357,303,650,145,185,77,289,160,52,25,87,168,1105
Markieff Morris,2374,71,196,335,693,180,215,107,386,126,82,42,129,254,1063
Anthony Morrow,714,41,133,57,119,34,37,12,19,25,24,2,6,44,271
Donatas Motiejūnas,479,11,47,46,91,25,49,26,75,32,18,11,31,55,150
Timofey Mozgov,1104,0,1,169,327,63,78,104,160,43,16,31,72,133,401
Emmanuel Mudiay,1406,56,178,152,373,131,167,29,149,217,41,13,123,95,603
Shabazz Muhammad,1516,49,145,239,453,147,190,84,136,35,22,6,56,86,772
Dejounte Murray,322,9,23,41,93,21,30,6,36,48,8,6,38,29,130
Jamal Murray,1764,115,344,180,386,106,120,41,173,170,51,24,113,124,811
Mike Muscala,1237,46,110,124,227,49,64,76,164,95,30,41,55,97,435
Larry Nance Jr.,1442,10,36,180,325,59,80,120,249,96,82,39,56,149,449
Shabazz Napier,512,34,92,39,91,38,49,8,53,67,32,2,41,38,218
Maurice Ndour,331,1,7,38,79,19,26,22,42,8,15,8,12,30,98
Gary Neal,18,0,2,0,5,4,4,0,1,1,0,0,0,1,4
Jameer Nelson,2045,106,273,162,331,45,63,28,164,385,54,8,128,197,687
Raul Neto,346,10,31,31,60,8,9,4,26,34,21,5,15,48,100
Georges Niang,93,1,12,8,24,2,2,2,15,5,3,0,5,6,21
Andrew Nicholson,342,5,27,38,84,9,14,15,46,10,16,6,17,55,100
Joakim Noah,1015,0,1,99,201,34,78,162,241,103,30,37,58,127,232
Nerlens Noel,1047,0,1,184,308,77,111,93,201,50,65,50,51,126,445
Lucas Nogueira,1088,3,12,100,144,44,67,82,162,42,52,89,46,137,253
Steve Novak,22,1,6,1,1,0,0,0,3,0,0,0,0,1,5
Dirk Nowitzki,1424,79,209,217,469,98,112,23,330,82,30,38,51,113,769
Jusuf Nurkić,1391,0,1,271,533,120,210,154,313,123,50,74,143,161,662
David Nwaba,397,1,5,46,76,25,39,17,46,14,13,7,11,36,120
Johnny O'Bryant,80,3,6,12,24,5,6,9,10,6,0,1,6,10,38
Kyle O'Quinn,1229,2,17,213,396,64,83,157,282,117,36,104,76,174,496
Daniel Ochefu,75,0,0,12,27,0,2,5,17,3,2,0,3,17,24
Jahlil Okafor,1134,0,0,242,471,106,158,81,159,58,20,49,91,122,590
Victor Oladipo,2222,127,352,285,580,116,154,39,252,176,78,21,119,155,1067
Kelly Olynyk,1538,68,192,192,316,90,123,73,288,148,43,29,96,207,678
Arinze Onuaku,28,0,0,2,4,0,0,2,4,2,0,1,2,3,4
Chinanu Onuaku,52,0,0,5,7,4,4,2,8,3,3,1,4,6,14
Kelly Oubre Jr.,1605,54,188,132,254,75,99,61,200,47,58,17,50,195,501
Zaza Pachulia,1268,0,2,164,305,98,126,140,270,132,59,33,87,166,426
Georgios Papagiannis,355,0,2,56,100,12,14,24,62,20,3,17,24,44,124
Jabari Parker,1728,65,178,334,636,162,218,79,235,142,50,22,93,111,1025
Tony Parker,1587,23,69,242,500,85,117,9,104,285,34,2,89,92,638
Chandler Parsons,675,25,93,50,129,35,43,6,78,55,20,5,24,52,210
Lamar Patterson,40,1,6,2,9,2,3,1,6,6,1,0,4,6,9
Patrick Patterson,1599,94,253,60,131,43,60,62,231,76,40,23,38,120,445
Chris Paul,1921,124,302,250,483,232,260,40,264,563,119,8,147,146,1104
Adreian Payne,135,3,15,20,39,14,19,9,24,7,8,7,8,32,63
Cameron Payne,462,27,86,37,107,5,8,3,45,55,14,4,29,52,160
Elfrid Payton,2412,40,146,390,766,146,211,89,298,529,88,40,178,177,1046
Gary Payton II,99,1,9,7,13,3,5,0,12,13,3,4,10,9,20
Paul Pierce,277,15,43,13,27,10,13,1,47,10,4,5,16,40,81
Marshall Plumlee,170,0,0,16,30,8,19,23,28,10,4,4,12,23,40
Mason Plumlee,2148,0,6,334,617,174,300,170,435,284,69,92,134,226,842
Miles Plumlee,484,0,0,44,92,25,39,38,57,21,18,13,30,73,113
Jakob Poeltl,626,0,0,67,115,31,57,78,87,12,17,20,29,113,165
Otto Porter,2605,148,341,266,462,99,119,118,396,121,116,42,44,193,1075
Bobby Portis,1000,32,96,151,279,39,59,75,221,35,16,11,37,94,437
Kristaps Porziņģis,2164,112,314,331,671,198,252,111,364,97,47,129,118,244,1196
Dwight Powell,1333,21,74,173,303,107,141,93,213,49,61,39,34,135,516
Norman Powell,1368,56,173,171,333,126,159,26,143,82,52,14,70,127,636
Alex Poythress,157,6,19,19,35,8,10,11,18,5,3,2,3,14,64
Ronnie Price,134,3,17,1,7,3,4,3,8,18,11,1,3,14,14
Tim Quarterman,80,5,13,8,16,0,3,4,10,11,2,3,11,6,31
Chasson Randle,299,16,47,24,51,41,43,6,26,34,9,2,19,39,137
Julius Randle,2132,17,63,360,710,204,282,150,486,264,49,37,173,248,975
Zach Randolph,1786,21,94,412,870,141,193,182,416,122,38,10,99,136,1028
J.J. Redick,2198,201,468,195,422,180,202,11,160,110,54,13,98,125,1173
Willie Reed,1031,1,4,161,281,49,88,129,203,26,18,47,31,137,374
Josh Richardson,1614,75,227,127,286,60,77,35,133,140,60,39,65,132,539
Malachi Richardson,198,8,28,20,40,15,19,3,20,11,5,1,8,23,79
Austin Rivers,2054,111,299,212,432,132,191,20,141,204,48,10,115,187,889
Andre Roberson,2376,45,184,170,279,47,111,98,305,79,94,79,51,204,522
