player,mp,fg3,fg3a,fg2,fg2a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
David West,854,3,8,132,244,43,56,47,156,151,42,48,78,105,316
Russell Westbrook,2802,200,583,624,1358,710,840,137,727,840,132,31,438,190,2558
Okaro White,471,12,34,21,53,20,22,25,57,21,10,10,18,52,98
Isaiah Whitehead,1643,44,149,160,359,91,113,32,152,192,42,36,142,175,543
Hassan Whiteside,2513,0,0,542,973,225,358,293,795,57,57,161,154,226,1309
Andrew Wiggins,3048,103,289,606,1281,412,542,102,226,189,82,30,187,183,1933
C.J. Wilcox,108,3,15,5,16,2,2,4,8,12,2,1,6,8,21
Alan Williams,708,0,1,138,266,70,112,94,198,23,27,32,37,125,346
Deron Williams,1657,85,234,178,366,90,109,14,133,360,31,8,138,138,701
Derrick Williams,804,30,97,78,147,58,89,19,111,28,14,7,28,60,304
Lou Williams,1994,163,446,265,552,402,457,26,176,239,80,20,160,92,1421
Marvin Williams,2295,124,354,173,350,131,150,89,411,106,58,53,60,134,849
Reggie Williams,79,5,11,3,12,6,7,2,4,4,3,0,0,2,27
Troy Williams,557,18,62,55,105,21,32,15,54,25,27,10,32,60,185
Kyle Wiltjer,44,4,13,0,1,1,2,4,6,2,3,1,5,4,13
Justise Winslow,625,7,35,73,190,29,47,23,71,66,26,6,33,52,196
Jeff Withey,432,0,1,55,102,36,48,52,69,7,16,32,14,52,146
Christian Wood,107,0,5,12,18,11,15,14,15,2,3,6,7,11,35
Metta World Peace,160,9,38,10,30,10,16,5,15,11,10,2,7,18,57
Brandan Wright,447,0,1,83,134,23,35,31,47,15,11,20,10,42,189
Delon Wright,446,10,30,39,86,42,55,16,32,57,27,11,25,31,150
James Young,220,12,35,13,23,6,9,6,20,4,10,2,4,15,68
Joe Young,135,5,23,21,49,11,15,1,16,15,4,0,5,5,68
Nick Young,1556,170,421,102,212,77,90,25,113,58,37,14,36,137,791
Thaddeus Young,2237,45,118,317,569,45,86,131,317,122,113,29,95,135,814
Cody Zeller,1725,0,1,253,442,133,196,135,270,99,62,58,65,189,639
Tyler Zeller,525,0,1,78,157,22,39,43,81,42,7,21,20,61,178
Stephen Zimmerman,108,0,0,10,31,3,5,11,24,4,2,5,3,17,23
Paul Zipser,843,33,99,55,122,31,40,15,110,36,15,16,40,78,240
Ivica Zubac,609,0,3,126,235,32,49,41,118,30,14,33,30,66,284
