Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Steven Adams\adamsst01,Oct 30 '13 OKC @ UTA,20,7,525,14091,2136,3629,1,10,867,1555,1812,3989,610,468,529,749,1373,5140,.589,.100,.558,26.8,9.8,7.6,1.2
2,Giannis Antetokounmpo\antetgi01,Oct 30 '13 MIL @ NYK,19,7,522,16983,3811,7258,303,1065,2510,3467,878,4627,2250,618,684,1437,1567,10435,.525,.285,.724,32.5,20.0,8.9,4.3
3,Pero Antić\anticpe01,Oct 30 '13 ATL @ DAL,31,2,113,1962,231,590,108,344,138,189,115,398,107,37,26,104,258,708,.392,.314,.730,17.4,6.3,3.5,0.9
4,Chris Babb\babbch01,Mar 1 '14 BOS vs. IND,23,1,14,132,8,30,6,27,0,0,4,17,3,6,0,3,13,22,.267,.222,,9.4,1.6,1.2,0.2
5,Anthony Bennett\bennean01,Oct 30 '13 CLE vs. BRK,20,4,151,1905,251,641,36,138,120,179,132,472,77,58,27,99,206,658,.392,.261,.670,12.6,4.4,3.1,0.5
6,Vander Blue\blueva01,Jan 22 '14 BOS @ WAS,21,3,10,134,12,39,2,13,4,12,2,13,12,4,0,11,7,30,.308,.154,.333,13.4,3.0,1.3,1.2
7,Lorenzo Brown\brownlo01,Nov 20 '13 PHI vs. TOR,23,5,103,1185,123,338,18,106,29,41,28,151,183,61,15,74,101,293,.364,.170,.707,11.5,2.8,1.5,1.8
8,Reggie Bullock\bullore01,Oct 29 '13 LAC @ LAL,22,7,301,5924,766,1781,397,1030,161,195,101,631,342,159,38,170,331,2090,.430,.385,.826,19.7,6.9,2.1,1.1
9,Trey Burke\burketr01,Nov 20 '13 UTA @ NOP,21,7,386,8858,1577,3850,464,1354,453,568,149,776,1354,217,44,487,526,4071,.410,.343,.798,22.9,10.5,2.0,3.5
10,Dwight Buycks\buyckdw01,Nov 1 '13 TOR @ ATL,24,3,49,696,115,286,27,73,53,60,18,76,83,30,2,61,53,310,.402,.370,.883,14.2,6.3,1.6,1.7
11,Nick Calathes\calatni01,Oct 30 '13 MEM @ SAS,24,2,129,2011,246,558,30,104,68,117,42,243,353,129,13,162,217,590,.441,.288,.581,15.6,4.6,1.9,2.7
12,Kentavious Caldwell-Pope\caldwke01,Oct 30 '13 DET vs. WAS,20,7,533,15584,2230,5340,876,2506,860,1079,354,1698,872,599,101,530,990,6196,.418,.350,.797,29.2,11.6,3.2,1.6
13,Isaiah Canaan\canaais01,Dec 25 '13 HOU @ SAS,22,6,235,4799,616,1661,366,1042,315,377,63,438,454,145,23,259,364,1913,.371,.351,.836,20.4,8.1,1.9,1.9
14,Michael Carter-Williams\cartemi01,Oct 30 '13 PHI vs. MIA,22,7,357,9038,1381,3428,165,645,801,1126,337,1567,1565,468,195,839,869,3728,.403,.256,.711,25.3,10.4,4.4,4.4
15,Dionte Christmas\chrisdi01,Nov 1 '13 PHO vs. UTA,27,1,31,198,22,62,9,31,18,24,13,38,8,2,3,6,19,71,.355,.290,.750,6.4,2.3,1.2,0.3
