player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Taurean Prince,1857,278,739,146,431,71,89,50,331,116,57,25,127,159,773
Derrick Walton,248,18,39,10,24,7,9,2,14,27,7,0,5,21,53
Brad Wanamaker,1251,141,327,33,92,112,120,20,110,160,54,12,71,124,427
T.J. Warren,2064,494,924,79,202,160,195,65,192,94,73,33,78,175,1227
P.J. Washington,1759,268,589,86,230,88,136,58,258,123,51,44,93,158,710
Yuta Watanabe,99,12,29,3,8,3,8,6,11,4,5,1,2,9,30
Tremont Waters,89,12,35,3,17,6,6,0,9,12,5,2,10,11,33
Paul Watson,27,0,8,0,4,1,2,0,4,5,1,1,0,1,1
Quinndary Weatherspoon,47,3,10,1,4,0,0,1,4,7,2,1,3,4,7
Russell Westbrook,1987,591,1250,53,207,283,366,100,343,386,90,19,247,194,1518
Coby White,1674,312,792,133,376,102,129,28,202,175,49,6,109,117,859
Derrick White,1564,231,502,68,183,165,194,34,175,221,41,56,83,142,695
Hassan Whiteside,1944,423,683,4,7,155,228,247,631,75,24,189,118,185,1005
Andrew Wiggins,1858,437,978,111,334,190,268,66,208,198,45,53,132,127,1175
Grant Williams,981,81,195,21,87,37,51,58,108,62,29,33,46,153,220
Johnathan Williams,147,16,25,0,2,4,7,16,29,6,1,7,4,13,36
Kenrich Williams,791,49,143,25,96,9,26,49,130,54,25,21,21,81,132
Lou Williams,1757,367,883,107,295,278,322,28,158,344,40,10,172,77,1119
Marvin Williams,1034,112,254,52,147,47,54,24,133,56,35,27,29,96,323
Robert Williams,323,42,62,0,0,14,25,34,74,22,20,28,20,40,98
Nigel Williams-Goss,28,1,7,0,2,2,2,2,3,5,1,1,2,2,4
Zion Williamson,619,190,328,6,14,105,165,59,82,47,16,9,58,39,491
D.J. Wilson,287,40,102,14,56,6,9,10,62,22,2,5,15,26,100
Justise Winslow,352,50,129,6,27,18,27,16,57,44,7,5,24,38,124
Christian Wood,1325,288,508,54,140,180,242,104,286,60,34,54,84,98,810
Delon Wright,1452,182,390,46,122,75,94,67,197,222,78,22,69,87,485
Justin Wright-Foreman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thaddeus Young,1591,269,601,79,222,42,72,94,221,117,92,23,102,134,659
Trae Young,2120,546,1249,205,568,481,559,32,223,560,65,8,289,104,1778
Cody Zeller,1341,251,479,18,75,122,179,160,251,88,40,25,75,140,642
Tyler Zeller,4,1,4,0,0,0,0,3,1,0,0,0,0,0,2
Ante Žižić,221,41,72,0,0,14,19,18,48,6,7,5,10,27,96
Ivica Zubac,1196,204,341,0,2,111,149,171,302,73,16,62,56,154,519
