Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Jeff Adrien\adrieje01,Oct 27 '10 GSW vs. HOU,24,5,153,2148,264,557,0,2,181,288,221,659,100,50,79,91,259,709,.474,.000,.628,14.0,4.6,4.3,0.7
2,Solomon Alabi\alabiso01,Nov 13 '10 TOR @ MIA,22,2,26,181,16,51,0,0,7,10,22,61,5,4,11,8,16,39,.314,,.700,7.0,1.5,2.3,0.2
3,Cole Aldrich\aldrico01,Oct 31 '10 OKC vs. UTA,22,8,339,3389,435,825,0,0,180,244,334,1131,183,137,233,199,509,1050,.527,,.738,10.0,3.1,3.3,0.5
4,Al-Farouq Aminu\aminual01,Oct 27 '10 LAC vs. POR,20,10,688,17264,1910,4542,535,1597,893,1199,960,4170,848,659,388,835,1273,5248,.421,.335,.745,25.1,7.6,6.1,1.2
5,James Anderson\anderja01,Oct 27 '10 SAS vs. IND,21,5,247,4320,525,1276,196,611,176,233,108,560,291,121,55,216,292,1422,.411,.321,.755,17.5,5.8,2.3,1.2
6,Ömer Aşık\asikom01,Oct 27 '10 CHI @ OKC,24,8,471,9216,947,1795,0,1,585,1062,1036,3362,280,167,339,542,928,2479,.528,.000,.551,19.6,5.3,7.1,0.6
7,Luke Babbitt\babbilu01,Nov 1 '10 POR @ CHI,21,8,381,5332,650,1593,394,979,124,166,111,846,224,89,58,165,520,1818,.408,.402,.747,14.0,4.8,2.2,0.6
8,Eric Bledsoe\bledser01,Oct 27 '10 LAC vs. POR,21,10,626,17427,3170,6930,678,2013,1881,2365,511,2488,3026,900,300,1650,1288,8899,.457,.337,.795,27.8,14.2,4.0,4.8
9,Trevor Booker\booketr01,Oct 28 '10 WAS @ ORL,23,8,532,10872,1548,3003,75,246,508,799,1029,2932,566,355,277,540,1063,3679,.515,.305,.636,20.4,6.9,5.5,1.1
10,Craig Brackins\brackcr01,Nov 24 '10 PHI @ TOR,23,2,17,121,13,49,3,14,1,2,7,19,9,1,1,4,9,30,.265,.214,.500,7.1,1.8,1.1,0.5
11,Avery Bradley\bradlav01,Nov 22 '10 BOS @ ATL,20,10,571,16143,2702,6194,744,2042,564,723,358,1670,1012,581,116,802,1254,6712,.436,.364,.780,28.3,11.8,2.9,1.8
12,Derrick Caracter\caracde01,Oct 26 '10 LAL vs. HOU,22,1,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,.485,,.739,5.2,2.0,1.0,0.2
13,Sherron Collins\collish01,Nov 3 '10 CHA @ NJN,23,1,20,66,7,25,2,10,1,1,0,5,8,2,0,4,2,17,.280,.200,1.000,3.3,0.9,0.3,0.4
14,Marcus Cousin\cousima01,Mar 9 '11 UTA @ TOR,24,1,4,18,2,3,0,0,0,0,0,3,0,0,1,1,1,4,.667,,,4.5,1.0,0.8,0.0
15,DeMarcus Cousins\couside01,Oct 27 '10 SAC @ MIN,20,9,565,18078,4283,9295,342,1031,3098,4205,1565,6131,1832,805,697,2000,2175,12006,.461,.332,.737,32.0,21.2,10.9,3.2
16,Jordan Crawford\crawfjo02,Oct 27 '10 ATL @ MEM,22,6,281,6843,1286,3130,330,1041,530,642,153,703,883,196,23,529,437,3432,.411,.317,.826,24.4,12.2,2.5,3.1
17,Ed Davis\davised01,Dec 1 '10 TOR vs. WAS,21,10,665,13221,1735,3056,0,4,727,1248,1524,4427,507,332,544,520,1654,4197,.568,.000,.583,19.9,6.3,6.7,0.8
18,Zabian Dowdell\dowdeza01,Jan 11 '11 PHO @ DEN,26,1,24,292,51,125,3,10,16,17,5,20,51,20,2,29,30,121,.408,.300,.941,12.2,5.0,0.8,2.1
19,Devin Ebanks\ebankde01,Oct 31 '10 LAL vs. GSW,21,3,63,711,82,213,8,36,52,72,51,122,24,18,12,35,56,224,.385,.222,.722,11.3,3.6,1.9,0.4
20,Semih Erden\erdense01,Nov 2 '10 BOS @ DET,24,2,69,928,101,185,0,0,60,101,57,190,29,25,29,50,164,262,.546,,.594,13.4,3.8,2.8,0.4
21,Jeremy Evans\evansje01,Oct 27 '10 UTA @ DEN,23,7,250,2626,364,640,6,26,145,211,239,641,107,90,121,85,291,879,.569,.231,.687,10.5,3.5,2.6,0.4
22,Patrick Ewing\ewingpa02,Mar 30 '11 NOH vs. POR,26,1,7,19,0,5,0,2,3,4,1,2,2,0,1,1,1,3,.000,.000,.750,2.7,0.4,0.3,0.3
23,Christian Eyenga\eyengch01,Jan 2 '11 CLE vs. DAL,21,2,51,1049,136,331,26,94,22,36,31,137,40,37,33,50,85,320,.411,.277,.611,20.6,6.3,2.7,0.8
24,Derrick Favors\favorde01,Oct 27 '10 NJN vs. DET,19,10,677,17356,3151,5948,36,174,1397,2111,1721,4992,776,523,857,946,1763,7735,.530,.207,.662,25.6,11.4,7.4,1.1
25,Landry Fields\fieldla01,Oct 27 '10 NYK @ TOR,22,5,255,6010,684,1446,120,361,243,365,248,1092,419,212,45,270,310,1731,.473,.332,.666,23.6,6.8,4.3,1.6
26,Gary Forbes\forbega01,Oct 27 '10 DEN vs. UTA,25,2,111,1504,236,544,48,141,125,178,55,218,103,47,10,100,133,645,.434,.340,.702,13.5,5.8,2.0,0.9
27,Paul George\georgpa01,Oct 27 '10 IND @ SAS,20,10,646,21646,4349,10046,1566,4124,2599,3072,585,4132,2162,1127,287,1671,1738,12863,.433,.380,.846,33.5,19.9,6.4,3.3
28,Blake Griffin\griffbl01,Oct 27 '10 LAC vs. POR,21,10,622,21671,5049,10134,407,1223,2974,4283,1345,5501,2749,554,321,1617,1777,13479,.498,.333,.694,34.8,21.7,8.8,4.4
29,Luke Harangody\haranlu01,Nov 2 '10 BOS @ DET,23,2,70,871,102,271,21,87,28,38,60,196,36,21,20,20,97,253,.376,.241,.737,12.4,3.6,2.8,0.5
30,Manny Harris\harrima01,Oct 29 '10 CLE @ TOR,21,4,93,1594,199,524,53,150,124,168,57,253,129,48,14,101,104,575,.380,.353,.738,17.1,6.2,2.7,1.4
