player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Precious Achiuwa,737,124,228,0,1,56,110,73,135,29,20,28,43,91,304
Jaylen Adams,18,1,8,0,2,0,0,0,3,2,0,0,0,1,2
Steven Adams,1605,189,308,0,3,60,135,213,301,111,54,38,78,113,438
Bam Adebayo,2143,456,800,2,8,283,354,142,431,346,75,66,169,145,1197
LaMarcus Aldridge,674,140,296,31,80,41,47,19,99,49,11,29,27,47,352
Ty-Shon Alexander,47,3,12,2,9,1,2,2,8,6,0,1,3,2,9
Nickeil Alexander-Walker,1007,192,458,76,219,48,66,13,131,102,47,22,69,88,508
Grayson Allen,1259,173,414,107,274,79,91,19,141,108,46,8,48,71,532
Jarrett Allen,1864,298,482,6,19,204,290,196,435,106,32,90,100,96,806
Al-Farouq Aminu,434,38,99,8,37,18,22,22,88,31,19,9,28,29,102
Kyle Anderson,1887,308,658,94,261,144,184,52,344,250,84,57,86,120,854
Giannis Antetokounmpo,2013,626,1100,67,221,398,581,97,574,357,72,73,207,168,1717
Kostas Antetokounmpo,56,3,10,0,0,6,13,4,15,1,2,4,11,8,12
Thanasis Antetokounmpo,551,67,137,7,29,25,49,54,70,46,22,10,43,74,166
Carmelo Anthony,1690,327,777,133,325,137,154,32,182,104,46,38,61,144,924
Cole Anthony,1273,219,552,58,172,109,131,38,183,192,30,18,106,98,605
OG Anunoby,1433,249,519,104,261,80,102,54,183,94,66,32,75,114,682
Ryan Arcidiacono,450,49,117,25,67,13,20,5,62,56,9,0,10,47,136
Trevor Ariza,841,99,241,50,143,34,44,27,117,55,31,18,21,55,282
D.J. Augustin,1129,135,343,83,217,85,94,20,74,188,28,1,65,56,438
Deni Avdija,1257,130,312,53,168,29,45,22,240,63,32,15,33,140,342
Deandre Ayton,2115,430,687,4,20,133,173,228,499,99,41,81,103,196,997
Udoka Azubuike,57,4,9,0,0,8,10,4,9,0,1,4,3,9,16
Dwayne Bacon,1853,292,726,59,207,145,176,31,193,93,45,5,46,103,788
Marvin Bagley III,1112,247,490,37,108,77,134,106,212,43,21,21,59,100,608
LaMelo Ball,1469,293,672,92,261,125,165,63,239,313,81,18,145,136,803
Lonzo Ball,1747,290,700,172,455,50,64,33,230,316,82,31,123,103,802
Mo Bamba,725,142,301,38,118,45,66,76,189,35,14,58,36,87,367
Desmond Bane,1519,234,499,117,271,40,49,31,179,118,41,16,59,125,625
Harrison Barnes,2102,319,642,100,256,195,235,64,321,201,43,11,93,75,933
RJ Barrett,2511,467,1060,124,309,206,276,68,346,217,53,20,139,188,1264
Will Barton,1736,259,608,98,257,95,121,39,187,181,50,23,96,95,711
Keita Bates-Diop,245,30,67,5,17,14,21,9,40,12,11,5,7,11,79
Nicolas Batum,1835,191,412,110,272,48,58,50,266,148,69,37,53,102,540
Aron Baynes,980,134,304,27,103,29,41,87,186,47,17,23,46,119,324
Kent Bazemore,1333,176,392,75,184,54,78,26,203,108,69,33,82,158,481
Darius Bazley,1714,273,690,83,286,125,178,51,345,99,29,25,122,60,754
Bradley Beal,2147,670,1382,130,373,408,459,72,211,265,69,22,187,140,1878
Malik Beasley,1214,264,600,128,321,68,80,28,134,88,30,7,60,62,724
Jordan Bell,82,7,22,0,2,1,2,7,17,7,3,5,4,7,15
DeAndre' Bembry,972,117,228,14,53,45,66,33,113,107,53,18,71,87,293
Dāvis Bertāns,1464,193,478,169,428,100,115,18,150,49,33,13,33,136,655
Patrick Beverley,832,93,220,56,141,36,45,29,90,76,29,28,34,108,278
Saddiq Bey,1909,279,691,175,460,124,147,43,275,95,52,14,60,110,857
Tyler Bey,71,7,22,1,4,3,5,8,11,3,0,1,3,6,18
Khem Birch,1529,189,380,13,52,91,129,174,213,89,48,50,44,113,482
Goga Bitadze,561,83,194,20,79,45,61,60,90,37,9,60,17,94,231
Bismack Biyombo,1349,142,242,0,1,47,105,137,210,81,17,74,71,141,331
Nemanja Bjelica,595,89,196,27,85,37,51,29,98,69,15,5,33,68,242
Eric Bledsoe,2111,307,730,121,355,134,195,29,215,268,55,24,114,112,869
Keljin Blevins,75,5,20,2,8,0,0,3,7,4,2,0,5,8,12
Bogdan Bogdanović,1305,267,565,146,333,40,44,20,140,147,49,13,54,99,720
Bojan Bogdanović,2216,406,925,180,461,233,265,40,241,136,45,4,128,115,1225
Bol Bol,160,25,58,9,24,10,15,0,24,7,3,10,13,14,69
Marques Bolden,29,1,3,0,0,5,8,3,3,0,2,2,2,0,7
Jordan Bone,196,23,54,10,32,0,0,4,20,18,2,0,3,11,56
Isaac Bonga,432,30,81,13,47,5,8,18,48,23,11,9,22,63,78
Devin Booker,2270,623,1287,126,371,340,392,34,247,289,53,16,207,181,1712
Chris Boucher,1453,288,560,90,235,152,193,117,287,63,35,111,46,166,818
Brian Bowen,15,1,4,0,1,1,1,0,3,0,0,0,0,1,3
Avery Bradley,602,64,171,33,101,12,15,8,49,46,21,3,28,55,173
Tony Bradley,684,131,197,0,3,38,55,85,154,37,15,30,33,61,300
Jarrell Brantley,138,25,52,12,28,2,2,9,18,15,7,2,8,17,64
Ignas Brazdeikis,249,35,83,11,28,10,14,11,34,17,4,3,12,22,91
Mikal Bridges,2348,363,669,134,315,110,131,76,233,152,76,63,57,116,970
Miles Bridges,1932,313,622,116,290,98,113,81,316,147,44,52,106,143,840
Amida Brimah,29,5,8,0,0,3,3,2,6,1,0,5,4,4,13
Oshae Brissett,519,73,151,33,78,50,65,29,86,18,19,20,10,32,229
Malcolm Brogdon,1930,444,980,145,374,153,177,58,236,329,49,15,115,110,1186
Armoni Brooks,520,78,192,60,157,7,12,10,58,30,12,5,22,34,223
Dillon Brooks,1997,432,1031,128,372,159,195,53,143,157,78,26,119,237,1151
Bruce Brown,1451,235,423,17,59,86,117,111,238,104,58,28,54,145,573
Charlie Brown Jr.,152,13,43,5,21,9,10,3,14,9,4,2,6,19,40
Jaylen Brown,1999,538,1111,163,411,191,250,71,276,195,72,32,158,168,1430
Moses Brown,920,146,268,0,0,78,126,154,229,10,31,47,43,93,370
Sterling Brown,1229,150,335,91,215,25,31,38,186,72,38,12,41,97,416
Troy Brown Jr.,524,62,144,22,70,15,21,20,85,29,10,6,21,49,161
Jalen Brunson,1697,328,627,81,200,120,151,27,204,239,35,1,80,109,857
Elijah Bryant,32,6,13,1,5,3,3,2,4,3,0,1,4,4,16
Thomas Bryant,271,59,91,9,21,16,24,18,43,15,4,8,11,31,143
Reggie Bullock,1949,248,561,163,398,50,55,16,207,99,52,11,45,146,709
Trey Burke,911,151,353,58,164,51,57,10,44,81,36,7,33,64,411
Alec Burks,1255,210,500,102,246,101,118,21,206,107,31,14,49,102,623
Jimmy Butler,1745,366,736,25,102,359,416,94,265,369,108,18,109,71,1116
Bruno Caboclo,36,8,17,0,5,1,2,3,11,1,0,2,4,6,17
Devontae Cacok,98,17,29,0,0,5,11,12,20,1,5,4,5,8,39
Kentavious Caldwell-Pope,1902,218,506,120,293,97,112,27,152,127,62,26,66,114,653
Facundo Campazzo,1425,120,315,76,216,80,91,22,112,232,79,14,73,132,396
Vlatko Čančar,281,33,72,9,33,10,13,11,39,14,11,2,14,18,85
Devin Cannady,74,11,28,6,16,6,7,0,5,1,5,1,2,9,34
Clint Capela,1898,413,695,0,0,130,227,297,606,49,44,129,73,145,956
Vernon Carey Jr.,115,18,36,1,7,9,11,6,21,2,1,5,5,13,46
Jevon Carter,717,94,223,56,151,4,7,16,76,71,29,9,16,56,248
Wendell Carter Jr.,1375,230,457,15,51,131,179,132,311,104,35,42,78,146,606
Michael Carter-Williams,800,105,270,15,61,49,80,39,100,129,25,17,69,81,274
Alex Caruso,1216,133,305,55,137,49,76,31,139,160,64,15,76,108,370
Willie Cauley-Stein,906,115,182,1,11,49,78,66,170,35,21,43,29,129,280
Chris Chiozza,232,31,88,13,42,13,17,3,21,65,7,6,16,19,88
Marquese Chriss,27,5,14,1,5,2,4,3,10,2,0,2,2,3,13
Gary Clark,654,40,132,31,108,8,10,33,82,31,13,7,17,35,119
Brandon Clarke,1415,256,495,20,77,78,113,97,231,95,60,51,33,84,610
Jordan Clarkson,1818,457,1075,208,599,129,144,47,227,168,61,10,115,110,1251
Nic Claxton,594,90,145,1,5,31,64,43,123,28,23,40,18,68,212
Amir Coffey,394,45,103,23,56,27,38,10,34,22,10,0,15,30,140
John Collins,1848,429,771,83,208,170,204,118,349,78,34,63,84,193,1111
Mike Conley,1498,284,640,138,335,121,142,36,141,305,70,9,99,98,827
Pat Connaughton,1575,168,387,101,272,31,40,63,269,81,49,23,33,99,468
Quinn Cook,157,29,68,11,26,7,8,2,15,18,4,1,7,10,76
Tyler Cook,438,69,103,1,2,17,35,28,67,17,8,2,21,35,156
DeMarcus Cousins,713,130,305,47,135,59,81,53,210,76,34,24,64,107,366
Robert Covington,2243,204,509,135,356,50,62,61,405,117,101,84,64,195,593
Torrey Craig,803,109,227,39,106,17,22,57,140,49,28,26,25,83,274
Jae Crowder,1648,199,492,148,380,57,75,32,250,127,48,27,55,125,603
Jarrett Culver,499,69,168,13,53,29,48,34,70,24,17,9,28,58,180
Seth Curry,1638,258,552,126,280,69,77,10,126,155,44,8,65,96,711
Stephen Curry,2152,658,1365,337,801,362,395,29,316,363,77,8,213,119,2015
