player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Nate Darling,26,2,7,2,7,3,3,1,0,1,0,1,1,1,9
Anthony Davis,1162,301,613,26,100,158,214,62,224,110,45,59,74,60,786
Ed Davis,299,19,44,0,0,10,12,46,69,21,13,13,7,56,48
Terence Davis,1074,195,456,98,267,45,55,20,134,83,44,14,63,97,533
Gabriel Deck,212,32,67,2,15,18,22,16,24,24,8,0,6,9,84
Dewayne Dedmon,210,46,65,1,5,20,27,28,58,12,9,6,13,36,113
Matthew Dellavedova,224,14,56,4,25,4,4,6,18,58,4,1,6,21,36
DeMar DeRozan,2056,455,920,19,74,387,440,40,219,422,56,15,119,128,1316
Mamadi Diakite,141,16,40,1,8,11,14,8,26,8,7,6,3,16,44
Hamidou Diallo,1226,224,470,28,82,128,200,59,213,101,41,24,76,134,604
Gorgui Dieng,552,85,163,30,70,58,67,40,100,48,26,16,32,56,258
Spencer Dinwiddie,64,6,16,2,7,6,6,0,13,9,2,1,5,4,20
Donte DiVincenzo,1814,253,603,131,346,51,71,81,299,203,72,15,91,112,688
Luka Dončić,2262,647,1351,192,548,344,471,54,473,567,64,36,281,152,1830
Luguentz Dort,1543,247,639,113,329,122,164,38,151,88,45,19,79,134,729
Damyean Dotson,907,119,293,46,159,24,36,5,88,91,16,4,42,42,308
Devon Dotson,50,11,21,1,7,0,0,2,3,7,4,0,0,3,23
Sekou Doumbouya,869,107,282,26,115,45,64,39,104,47,24,9,44,94,285
PJ Dozier,1088,148,355,47,149,42,66,35,147,92,31,22,46,86,385
Goran Dragić,1337,240,555,91,244,101,122,25,144,219,33,8,118,113,672
Andre Drummond,1242,282,572,0,8,123,205,166,385,94,63,49,124,149,687
Jared Dudley,81,2,9,2,6,0,0,4,17,5,1,1,2,7,6
Kris Dunn,45,1,12,0,2,3,4,0,6,2,2,2,3,10,5
Kevin Durant,1157,324,603,85,189,210,238,13,234,195,25,45,120,70,943
Anthony Edwards,2314,505,1211,171,520,211,272,59,277,211,82,36,160,129,1392
Carsen Edwards,276,47,111,18,63,11,13,3,23,14,7,1,7,25,123
CJ Elleby,192,25,66,7,34,11,15,11,21,10,6,3,5,27,68
Henry Ellenson,38,5,14,2,9,3,4,3,9,5,0,0,0,7,15
Wayne Ellington,1012,149,338,116,275,28,35,12,73,67,18,9,33,59,442
Joel Embiid,1585,461,899,58,154,471,548,113,426,145,50,69,159,123,1451
James Ennis III,986,115,243,45,104,70,87,43,123,62,32,7,36,84,345
Drew Eubanks,755,116,205,2,2,77,106,74,167,42,18,49,45,88,311
Dante Exum,116,10,26,2,11,1,2,2,15,13,4,2,7,9,23
Tacko Fall,136,21,29,0,0,5,15,16,36,3,1,20,6,22,47
Derrick Favors,1039,155,243,0,2,59,80,138,238,44,32,68,36,143,369
Cristiano Felício,84,7,13,0,2,9,16,10,16,9,4,0,4,10,23
Terrance Ferguson,49,1,7,0,5,0,0,0,1,2,1,0,4,7,2
Bruno Fernando,226,18,44,0,2,15,22,16,62,10,4,3,21,23,51
Yogi Ferrell,136,20,57,9,28,7,9,5,14,22,7,3,3,11,56
Dorian Finney-Smith,1921,220,466,119,302,31,41,98,228,102,52,25,48,138,590
Malik Fitts,11,1,3,1,2,0,0,0,3,0,0,0,0,3,3
Malachi Flynn,928,127,340,54,168,45,56,10,106,137,38,7,43,68,353
Bryn Forbes,1354,250,529,154,341,47,61,11,101,45,24,1,44,77,701
Trent Forrest,302,32,71,5,26,19,19,11,33,45,9,4,21,22,88
Evan Fournier,1259,247,541,117,283,108,137,10,118,144,47,19,73,96,719
De'Aaron Fox,2036,529,1110,103,320,300,417,33,170,417,87,27,174,170,1461
Robert Franks,101,13,28,5,15,12,13,6,8,5,3,3,2,8,43
Tim Frazier,62,3,20,0,8,2,6,0,8,16,2,1,4,7,8
Enes Freedom,1758,339,561,1,4,127,164,284,511,84,33,48,78,168,806
Markelle Fultz,215,41,104,4,16,17,19,5,20,43,8,2,18,18,103
Wenyen Gabriel,241,24,60,13,32,11,17,20,34,11,9,8,15,32,72
Daniel Gafford,791,154,225,0,0,72,108,94,137,29,26,75,41,98,380
Danilo Gallinari,1222,206,475,103,254,161,174,17,194,76,30,10,43,105,676
Langston Galloway,438,66,147,36,85,22,23,7,35,26,8,0,13,25,190
Darius Garland,1790,362,802,105,266,112,132,23,106,329,66,6,164,110,941
Marc Gasol,993,88,194,50,122,36,50,38,177,109,26,58,53,115,262
Rudy Gay,1358,264,628,106,278,82,102,42,261,88,45,40,65,115,716
Paul George,1821,445,953,171,416,198,228,45,314,280,62,24,179,132,1259
Taj Gibson,936,99,158,3,15,40,55,99,151,36,31,49,22,99,241
Harry Giles,348,42,97,8,23,16,27,31,102,29,8,13,20,54,108
Shai Gilgeous-Alexander,1180,287,565,71,170,185,229,19,147,207,27,23,106,70,830
Anthony Gill,218,30,60,7,24,13,16,16,35,11,10,4,8,27,80
Freddie Gillespie,392,44,84,0,0,23,33,42,55,9,13,20,12,43,111
Rudy Gobert,2187,391,579,0,4,233,374,240,720,89,40,190,118,163,1015
Brandon Goodwin,620,84,223,32,103,28,43,8,61,95,17,0,36,41,228
Aaron Gordon,1384,231,499,59,176,97,149,77,207,161,33,34,97,89,618
Eric Gordon,789,159,367,69,210,94,114,8,50,71,14,13,51,44,481
Devonte' Graham,1659,252,669,179,477,133,158,22,126,295,48,6,84,77,816
Jerami Grant,1829,400,932,115,329,290,343,35,215,152,35,58,109,125,1205
Danny Green,1934,224,544,175,432,31,40,55,205,118,92,56,67,125,654
Draymond Green,1982,170,380,34,126,70,88,55,394,558,105,52,188,194,444
JaMychal Green,1120,173,374,79,198,46,57,85,192,53,26,22,53,144,471
Javonte Green,473,53,102,10,30,30,40,26,45,17,28,6,19,45,146
Jeff Green,1835,261,530,103,250,125,161,34,229,108,36,27,54,122,750
Josh Green,445,42,93,4,25,13,23,28,50,28,16,3,17,35,101
Blake Griffin,1186,174,411,70,205,87,117,35,190,140,32,15,62,111,505
Kyle Guy,235,29,88,13,46,16,20,5,30,32,6,0,11,20,87
Rui Hachimura,1797,310,648,45,137,124,161,49,263,82,44,7,68,120,789
Ashton Hagans,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tyrese Haliburton,1746,292,619,121,296,48,56,39,134,309,77,28,92,83,753
Donta Hall,179,25,35,0,0,23,34,24,38,11,5,10,8,18,73
Josh Hall,336,30,99,4,37,22,44,6,53,28,4,1,25,37,86
R.J. Hampton,888,136,313,27,87,55,82,29,150,87,21,10,53,61,354
Tim Hardaway Jr.,1985,407,911,207,529,142,174,20,209,126,31,11,64,111,1163
James Harden,1609,342,734,121,334,278,323,35,313,475,53,33,177,99,1083
Maurice Harkless,772,69,165,23,84,33,43,13,76,44,30,20,22,86,194
Jared Harper,16,0,4,0,1,3,4,0,2,1,0,0,3,1,3
Montrezl Harrell,1580,375,603,0,10,181,256,158,270,73,46,49,74,128,931
Gary Harris,1080,138,345,48,141,64,78,21,58,78,28,11,37,71,388
Jalen Harris,172,36,72,17,36,7,9,3,15,17,8,0,14,15,96
Joe Harris,2141,357,707,211,444,49,63,43,205,130,46,14,62,141,974
Tobias Harris,2014,473,924,82,208,182,204,62,357,220,55,51,107,119,1210
Shaquille Harrison,333,26,78,3,16,18,22,7,41,25,17,5,11,33,73
Josh Hart,1349,151,344,63,193,69,89,53,324,109,38,12,49,111,434
Isaiah Hartenstein,559,94,171,2,6,46,71,65,116,55,19,39,44,104,236
Udonis Haslem,3,2,2,0,0,0,0,0,1,0,0,0,0,0,4
Jaxson Hayes,964,175,280,6,14,93,120,92,165,35,25,38,39,101,449
Killian Hayes,670,71,201,20,72,14,17,6,63,138,27,10,83,57,176
Gordon Hayward,1496,311,658,85,205,156,185,37,221,181,52,14,91,74,863
Juancho Hernangómez,900,130,299,55,168,60,97,45,160,35,19,7,27,52,375
Willy Hernangómez,846,151,268,1,10,62,93,117,217,50,22,23,34,68,365
Tyler Herro,1635,307,699,107,297,94,117,25,243,184,35,17,101,71,815
Buddy Hield,2433,403,992,282,721,88,104,29,305,257,63,30,130,175,1176
George Hill,672,95,197,31,80,40,50,16,45,73,23,5,31,31,261
Solomon Hill,1513,107,298,68,212,35,46,42,172,75,50,11,42,116,317
Nate Hinton,93,15,42,4,19,7,10,1,8,8,7,2,5,8,41
Jaylen Hoard,320,44,88,0,11,28,41,21,44,24,13,5,17,19,116
Aaron Holiday,1176,170,436,67,182,68,83,15,74,123,46,13,66,94,475
Jrue Holiday,1907,414,823,111,283,107,136,73,195,357,96,37,127,98,1046
Justin Holiday,2183,258,625,173,453,67,85,32,224,119,74,41,54,135,756
Rondae Hollis-Jefferson,107,9,18,0,1,9,16,11,15,13,2,4,2,15,27
Richaun Holmes,1782,366,575,2,11,135,170,144,360,101,39,96,75,213,869
Rodney Hood,942,94,260,34,113,24,28,23,80,53,24,7,36,74,246
Al Horford,782,162,360,56,152,18,22,29,159,94,25,26,29,48,398
Talen Horton-Tucker,1304,224,489,37,131,100,129,25,144,181,63,21,105,127,585
Danuel House Jr.,932,110,272,54,156,41,63,18,114,69,20,16,36,67,315
Dwight Howard,1196,178,303,5,20,121,210,190,390,61,30,62,112,200,482
Markus Howard,205,40,106,18,65,7,9,1,20,18,4,1,18,23,105
Kevin Huerter,2126,316,731,140,386,50,64,38,193,241,82,18,79,165,822
Elijah Hughes,64,10,30,8,23,3,4,1,8,6,1,1,6,1,31
De'Andre Hunter,678,120,248,31,95,73,85,17,93,44,19,12,29,59,344
Chandler Hutchison,346,39,103,8,22,21,25,6,72,17,12,5,20,33,107
Serge Ibaka,955,186,365,39,115,43,53,73,202,74,9,47,44,76,454
Andre Iguodala,1339,95,248,60,182,25,38,38,183,142,57,35,67,90,275
Ersan İlyasova,148,21,54,18,41,5,5,7,22,4,10,3,8,29,65
Joe Ingles,1867,275,562,183,406,76,90,27,217,318,45,12,117,120,809
Brandon Ingram,2093,513,1101,143,375,281,320,34,265,296,42,36,154,124,1450
Kyrie Irving,1886,549,1086,152,378,201,218,52,205,324,76,37,130,140,1451
Wes Iwundu,539,34,102,5,41,26,31,15,75,18,15,4,19,49,99
Frank Jackson,738,134,293,61,150,61,75,15,71,36,15,1,34,53,390
Jaren Jackson Jr.,258,53,125,17,60,35,42,17,45,12,12,18,15,42,158
Josh Jackson,1560,296,707,77,257,159,218,57,197,143,53,47,142,178,828
Justin Jackson,577,89,221,36,117,31,37,16,61,52,15,2,32,32,245
Reggie Jackson,1544,263,585,122,282,67,82,24,168,205,41,7,74,127,715
Justin James,310,52,111,14,38,21,36,9,21,22,8,3,15,23,139
LeBron James,1504,422,823,104,285,178,255,29,317,350,48,25,168,70,1126
Mike James,236,34,92,11,31,21,27,3,29,54,6,1,20,10,100
DaQuan Jeffries,493,50,120,20,67,7,8,19,52,22,15,10,14,48,127
Ty Jerome,788,128,287,71,168,26,34,10,81,120,20,6,47,61,353
Isaiah Joe,383,48,133,39,106,18,24,6,30,20,12,4,11,34,153
Alize Johnson,189,40,68,1,6,13,13,27,63,14,5,5,9,16,94
Cameron Johnson,1437,203,483,117,335,50,59,33,166,86,37,16,40,85,573
James Johnson,1043,146,327,31,120,45,76,32,145,98,42,42,55,120,368
Keldon Johnson,1968,338,705,60,181,145,196,93,319,121,40,24,78,142,881
Stanley Johnson,1006,89,233,45,137,44,55,29,124,89,52,18,54,116,267
Tyler Johnson,684,72,183,48,132,18,21,6,71,47,14,0,17,43,210
Nikola Jokić,2488,732,1293,92,237,342,394,205,575,599,95,48,222,192,1898
Damian Jones,547,70,103,1,5,42,58,36,85,29,11,29,26,77,183
Derrick Jones Jr.,1318,147,304,43,136,59,91,77,128,47,37,54,32,127,396
Mason Jones,334,52,123,24,66,40,64,7,48,42,7,1,29,24,168
Tre Jones,269,37,78,3,5,17,19,8,13,39,8,0,13,13,94
Tyus Jones,1222,178,413,45,140,41,45,21,119,259,64,6,48,31,442
DeAndre Jordan,1246,190,249,0,1,46,92,117,310,93,17,65,85,116,426
Cory Joseph,1446,200,426,45,132,72,88,35,124,213,61,18,79,139,517
Mfiondu Kabengele,280,33,89,13,50,16,20,12,48,17,8,13,15,36,95
Frank Kaminsky,715,121,257,31,85,37,60,36,152,79,14,17,22,70,310
Luke Kennard,1232,197,414,100,224,26,31,15,146,104,23,9,48,91,520
Louis King,85,17,34,4,11,6,6,5,13,9,7,3,4,9,44
Maxi Kleber,1341,116,275,87,212,34,37,47,213,68,24,35,30,105,353
Nathan Knight,279,37,100,6,33,44,55,27,45,8,9,10,15,22,124
Kevin Knox,464,56,143,35,89,16,20,10,51,19,12,6,17,37,163
John Konchar,575,69,138,21,56,25,30,35,93,47,30,9,18,40,184
Furkan Korkmaz,1062,170,424,101,269,60,82,17,96,82,49,9,46,64,501
Luke Kornet,348,44,101,15,59,3,6,14,53,24,4,32,7,20,106
Rodions Kurucs,125,11,32,6,21,3,4,5,18,10,9,4,13,16,31
Kyle Kuzma,1954,335,757,137,380,67,97,108,309,127,35,41,113,121,874
Anthony Lamb,415,46,118,23,71,18,21,27,43,23,6,5,19,34,133
Jeremy Lamb,765,120,276,52,128,71,75,25,106,53,34,23,22,72,363
Romeo Langford,283,21,59,5,18,9,12,12,23,13,6,5,10,24,56
Zach LaVine,2034,569,1123,200,477,253,298,36,253,282,46,27,203,138,1591
Jake Layman,627,91,184,23,78,26,37,13,54,28,29,19,26,44,231
T.J. Leaf,35,5,10,0,0,2,2,0,5,1,2,1,2,1,12
Jalen Lecque,12,1,9,0,1,3,3,2,3,2,0,0,0,0,5
Damion Lee,1079,128,274,77,194,40,44,22,158,73,38,8,30,89,373
Saben Lee,781,99,210,8,23,61,89,20,77,174,32,13,55,76,267
Alex Len,979,171,278,8,25,73,116,78,182,49,20,64,55,127,423
Kawhi Leonard,1773,465,908,101,254,261,295,55,282,269,81,21,105,82,1292
Meyers Leonard,29,3,7,3,7,1,2,0,7,2,0,0,2,5,10
Caris LeVert,1486,359,814,84,258,146,180,33,181,245,66,30,102,105,948
Kira Lewis Jr.,904,130,337,40,120,43,51,12,59,124,38,10,34,88,343
Damian Lillard,2398,602,1334,275,704,449,484,32,251,505,62,17,203,102,1928
Nassir Little,640,78,167,28,80,36,45,32,96,23,5,13,18,51,220
Kevon Looney,1161,108,197,4,17,31,48,117,205,119,21,22,37,136,251
Brook Lopez,1902,322,640,95,281,120,142,104,243,50,40,103,64,149,859
Robin Lopez,1354,269,425,5,18,99,137,141,131,55,15,44,75,109,642
Didi Louzada,56,3,13,2,8,0,0,1,2,3,2,0,3,5,8
Kevin Love,622,103,252,57,156,42,51,17,169,63,16,2,38,26,305
Kyle Lowry,1601,260,596,131,331,140,160,35,212,338,45,14,126,143,791
Timothé Luwawu-Cabarrot,1050,130,356,75,239,35,43,28,101,69,33,6,43,99,370
Trey Lyles,358,43,90,14,40,15,23,9,77,14,6,1,6,13,115
Will Magnay,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0
Thon Maker,76,10,18,0,2,10,11,8,10,4,2,4,3,7,30
Théo Maledon,1778,226,614,105,313,101,135,25,186,227,56,11,141,126,658
Karim Mané,88,3,13,1,2,4,5,1,13,4,0,2,3,10,11
Terance Mann,1263,178,350,38,91,78,94,56,186,104,29,13,40,126,472
Nico Mannion,364,39,114,22,60,23,28,6,40,70,16,1,31,29,123
Boban Marjanović,271,62,122,1,8,31,38,47,81,10,2,6,12,29,156
Lauri Markkanen,1317,250,521,119,296,76,92,35,233,45,26,15,52,75,695
Naji Marshall,700,82,209,29,83,53,75,15,133,88,26,10,38,58,246
Caleb Martin,818,96,256,31,125,41,64,31,110,67,37,12,33,62,264
Cody Martin,849,83,188,16,58,25,43,52,109,86,37,12,40,52,207
Jeremiah Martin,75,9,33,3,12,1,5,2,5,4,5,2,6,1,22
Kelan Martin,322,62,138,24,60,9,10,18,60,17,10,10,16,35,157
Kenyon Martin Jr.,1068,162,318,35,96,60,84,73,169,48,30,41,38,89,419
Frank Mason III,79,9,24,2,5,5,7,3,9,12,0,0,5,7,25
Garrison Mathews,1038,97,237,76,198,84,95,16,71,26,29,7,10,106,354
Dakota Mathias,123,19,48,8,26,2,6,1,6,13,1,3,1,7,48
Wesley Matthews,1130,89,252,66,197,35,41,20,73,54,38,17,26,80,279
Tyrese Maxey,935,198,429,31,103,61,70,11,93,120,26,13,41,79,488
Skylar Mays,269,44,98,14,40,22,25,10,25,30,14,2,9,15,124
Patrick McCaw,33,1,1,0,0,3,3,1,2,4,2,0,0,6,5
CJ McCollum,1600,405,884,169,420,108,133,30,155,223,44,21,65,87,1087
T.J. McConnell,1796,274,490,15,48,33,48,55,201,456,128,23,135,113,596
Jaden McDaniels,1511,164,367,72,198,27,45,52,180,71,35,60,47,172,427
Jalen McDaniels,904,133,284,35,105,45,64,45,124,53,28,19,45,95,346
Doug McDermott,1619,354,665,111,286,80,98,60,161,85,20,6,53,117,899
Sean McDermott,158,13,33,5,22,8,8,6,13,4,2,3,4,8,39
JaVale McGee,678,144,282,5,24,44,67,77,162,39,19,54,60,121,337
Rodney McGruder,194,37,70,11,24,6,8,8,14,16,8,1,7,12,91
Alfonzo McKinnie,258,48,93,16,39,10,18,22,32,6,7,0,5,26,122
Jordan McLaughlin,938,100,242,33,92,23,30,21,87,193,51,6,51,44,256
Ben McLemore,905,135,365,97,280,39,53,15,85,39,23,9,42,88,406
Nicolò Melli,566,46,141,23,85,19,25,29,93,44,14,3,12,58,134
De'Anthony Melton,1045,172,393,87,211,41,51,30,131,132,60,31,66,85,472
Sam Merrill,233,32,72,21,47,4,4,6,24,21,8,1,10,17,89
Chimezie Metu,488,91,179,13,37,31,43,31,81,28,14,18,29,59,226
Khris Middleton,2269,511,1074,151,365,212,236,54,352,370,74,9,178,160,1385
Darius Miller,197,22,48,17,42,12,12,2,22,21,13,5,8,13,73
Patty Mills,1685,252,611,161,429,71,78,18,98,162,42,3,66,81,736
Paul Millsap,1162,191,401,49,143,71,98,76,186,98,51,36,51,111,502
Shake Milton,1461,300,667,71,203,146,176,33,115,193,39,18,103,130,817
Donovan Mitchell,1771,478,1091,178,461,267,316,50,185,277,52,15,147,117,1401
Adam Mokoka,56,7,19,1,10,0,1,1,4,5,2,1,5,5,15
Malik Monk,878,173,399,85,212,59,72,14,87,87,19,4,55,47,490
E'Twaun Moore,389,55,121,11,35,12,14,14,31,40,15,5,23,32,133
Ja Morant,2053,430,957,73,241,271,372,59,193,465,57,13,203,87,1204
