player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Quincy Acy,342,42,75,1,2,31,38,30,47,11,13,15,17,53,116
Jeff Adrien,713,72,168,0,2,65,100,68,128,36,18,27,32,80,209
Arron Afflalo,2307,397,905,72,240,191,223,29,210,206,40,11,138,137,1057
Josh Akognon,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5
Cole Aldrich,388,44,80,0,0,12,20,30,90,9,5,23,23,60,100
LaMarcus Aldridge,2790,638,1318,2,14,282,348,175,495,192,62,91,143,187,1560
Lavoy Allen,1669,206,454,0,1,43,60,159,236,73,24,55,55,180,455
Ray Allen,2035,292,651,139,332,140,158,40,177,135,67,15,103,129,863
Tony Allen,2109,284,638,3,24,134,187,121,242,98,119,44,94,211,705
Al-Farouq Aminu,2066,225,474,4,19,101,137,139,446,103,92,51,116,153,555
Lou Amundson,372,32,81,0,0,12,36,48,58,11,16,12,19,53,76
Chris Andersen,624,71,123,2,3,63,93,57,115,17,16,44,24,89,207
Alan Anderson,1495,236,616,95,285,126,147,34,114,103,48,7,80,131,693
James Anderson,401,52,126,21,60,24,28,18,54,42,15,5,25,25,149
Ryan Anderson,2503,472,1115,213,557,152,180,191,328,97,42,31,97,179,1309
Carmelo Anthony,2482,669,1489,157,414,425,512,134,326,171,52,32,175,205,1920
Joel Anthony,566,35,68,0,0,17,28,45,70,13,13,42,22,49,87
Trevor Ariza,1471,188,451,76,209,78,95,44,222,113,72,20,84,72,530
Darrell Arthur,970,162,359,5,18,33,46,68,101,33,24,33,43,126,362
Ömer Aşık,2464,332,614,0,1,168,299,275,681,75,46,87,173,223,832
D.J. Augustin,1226,103,294,67,190,83,99,20,71,170,34,3,68,64,356
Gustavo Ayón,734,92,167,0,0,20,50,60,139,71,22,17,47,107,204
Jeff Ayres,369,61,126,2,4,21,23,29,75,15,6,12,23,44,145
Luke Babbitt,730,86,234,62,178,10,13,15,122,29,14,5,22,82,244
Leandro Barbosa,513,83,193,18,47,31,41,8,38,58,17,6,21,51,215
J.J. Barea,1713,316,758,97,280,105,134,34,173,294,32,0,145,131,834
Andrea Bargnani,1003,170,426,38,123,65,77,26,102,38,21,23,54,64,443
Harrison Barnes,2058,276,628,52,145,144,190,53,280,98,52,14,101,140,748
Matt Barnes,2058,312,675,111,325,87,117,111,255,123,82,63,90,233,822
Earl Barron,159,18,51,0,0,3,7,22,39,5,5,6,11,24,39
Will Barton,894,118,309,9,65,50,65,36,109,58,34,9,60,56,295
Brandon Bass,2239,286,589,0,2,129,150,129,296,84,44,64,80,188,701
Shane Battier,1786,152,362,136,316,32,38,37,128,72,41,55,34,149,472
Nicolas Batum,2807,352,833,165,444,178,210,97,315,360,91,83,190,139,1047
Jerryd Bayless,1765,260,621,71,201,102,122,22,154,264,59,17,120,168,693
Aron Baynes,141,18,36,0,1,7,12,12,20,5,1,6,11,23,43
Kent Bazemore,267,43,116,10,34,27,44,5,17,22,17,4,18,27,123
Bradley Beal,1745,282,687,91,236,125,159,43,168,137,50,29,90,113,780
Michael Beasley,1554,310,766,45,144,94,126,52,230,111,31,34,144,107,759
Rodrigue Beaubois,549,65,176,21,72,30,38,9,48,84,19,4,33,54,181
Marco Belinelli,1882,241,610,79,221,141,168,13,127,148,44,6,82,140,702
Patrick Beverley,713,79,189,36,96,34,41,45,64,117,37,21,44,83,228
Andris Biedriņš,495,10,21,0,0,4,13,34,119,14,15,42,14,101,24
Chauncey Billups,418,53,132,33,90,45,48,2,30,49,12,1,26,25,184
Bismack Biyombo,2186,156,346,0,0,74,142,194,388,35,28,143,82,195,386
DeJuan Blair,851,142,271,0,1,44,70,66,164,45,37,10,49,112,328
Steve Blake,1175,114,270,72,171,27,35,21,111,173,34,6,62,83,327
Andray Blatche,1555,346,676,3,22,148,216,161,256,85,86,54,123,163,843
Eric Bledsoe,1553,253,568,31,78,106,134,78,147,233,109,55,137,112,643
Keith Bogans,1408,108,284,84,245,11,17,16,104,76,28,4,49,108,311
Andrew Bogut,786,83,184,1,1,19,38,68,177,67,20,55,35,85,186
Matt Bonner,909,112,230,53,120,11,15,25,104,36,17,19,16,86,288
Trevor Booker,887,108,220,0,5,40,72,98,141,40,32,16,31,95,256
Carlos Boozer,2546,544,1140,0,2,193,264,175,596,179,66,28,176,239,1281
Chris Bosh,2454,485,907,21,74,241,302,131,370,123,66,101,128,168,1232
Avery Bradley,1435,192,478,40,126,37,49,30,81,104,64,19,72,129,461
Elton Brand,1527,226,478,0,1,66,93,130,300,70,50,90,57,192,518
Corey Brewer,2003,375,883,91,307,149,216,55,180,124,118,23,102,154,990
Ronnie Brewer,853,70,198,23,76,16,39,42,98,50,43,6,18,33,179
Aaron Brooks,997,143,316,50,134,40,52,13,67,114,30,10,67,94,376
MarShon Brooks,912,155,335,15,55,69,94,32,72,76,34,16,69,93,394
Kwame Brown,269,17,37,0,0,7,19,23,51,9,6,10,8,37,41
Shannon Brown,1402,240,571,39,141,98,125,44,105,108,59,15,74,92,617
Kobe Bryant,3013,738,1595,132,407,525,626,66,367,469,106,25,287,173,2133
Chase Budinger,508,79,191,26,81,32,42,15,56,25,14,7,23,29,216
Alec Burks,1137,163,388,33,92,92,129,37,108,92,35,13,74,114,451
Caron Butler,1879,305,720,128,330,75,90,41,182,78,51,11,72,139,813
Jimmy Butler,2134,239,512,40,105,187,233,136,192,115,78,31,62,97,705
Will Bynum,1219,253,540,24,76,106,131,28,69,231,45,5,125,128,636
José Calderón,2160,312,635,130,282,72,80,20,156,518,58,8,126,99,826
Marcus Camby,250,17,53,0,0,8,19,24,56,14,7,14,15,28,42
DeMarre Carroll,1111,149,324,20,70,75,98,87,101,61,58,24,34,119,393
Matt Carroll,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Vince Carter,2093,372,855,162,399,182,223,58,276,194,74,44,106,226,1088
Omri Casspi,503,63,160,25,76,22,41,20,94,28,25,12,22,45,173
Mario Chalmers,2068,227,529,123,301,89,112,19,152,273,118,12,119,196,666
Tyson Chandler,2164,255,400,0,0,179,258,269,434,62,42,75,87,188,689
Wilson Chandler,1079,210,455,52,126,88,111,45,173,58,45,12,60,119,560
Josh Childress,100,6,21,1,3,1,2,6,9,5,2,2,0,3,14
Earl Clark,1363,170,386,35,104,53,76,82,243,65,36,44,62,102,428
Victor Claver,812,74,189,25,87,14,30,31,88,43,26,12,43,75,187
Norris Cole,1590,179,425,35,98,52,80,18,112,164,57,7,104,155,445
Jason Collins,384,9,29,0,0,23,32,22,38,8,12,10,18,85,41
Darren Collison,2372,341,724,48,136,242,275,31,188,415,100,8,173,139,972
Nick Collison,1583,176,296,0,4,60,78,123,210,121,51,30,69,197,412
Mike Conley,2757,414,940,106,293,234,282,43,182,487,174,24,189,171,1168
Will Conroy,20,0,9,0,3,1,2,1,0,0,0,0,0,1,1
Daequan Cook,441,51,167,26,91,9,12,7,54,19,8,7,15,26,137
Chris Copeland,862,182,380,59,140,63,83,34,85,27,16,12,50,104,486
DeMarcus Cousins,2289,482,1036,4,22,312,423,222,524,199,108,55,225,269,1280
Jamal Crawford,2230,445,1016,149,396,216,248,22,106,193,79,13,146,71,1255
Jordan Crawford,1709,301,725,83,246,129,159,44,165,225,39,7,141,106,814
Jae Crowder,1353,141,367,63,192,47,73,35,152,94,63,17,49,128,392
Dante Cunningham,2010,314,671,0,6,67,103,142,266,67,84,38,56,153,695
Jared Cunningham,26,6,14,2,3,2,2,1,2,1,1,0,2,3,16
Eddy Curry,25,4,8,0,0,1,4,2,2,0,0,0,3,7,9
Stephen Curry,2983,626,1388,272,600,262,291,59,255,539,126,12,240,198,1786
Samuel Dalembert,765,137,253,1,1,38,55,105,171,21,17,53,51,90,313
