player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Toney Douglas,1262,183,445,81,203,84,99,25,118,157,70,5,64,131,531
Goran Dragić,2363,417,875,64,205,120,165,54,223,419,71,17,185,188,1018
Andre Drummond,2666,552,1060,2,6,208,586,395,803,67,119,112,155,245,1314
Jared Dudley,2098,233,487,100,238,72,98,54,232,170,75,18,80,190,638
Duje Dukan,24,2,10,2,5,0,0,2,2,1,1,0,0,2,6
Tim Duncan,1536,215,441,0,2,92,131,115,332,163,47,78,90,125,522
Mike Dunleavy,703,77,188,39,99,29,37,8,75,39,14,10,26,66,222
Kevin Durant,2578,698,1381,186,481,447,498,45,544,361,69,85,250,137,2029
Cleanthony Early,154,12,40,4,15,3,4,4,22,6,2,3,9,16,31
Jarell Eddie,147,20,65,15,47,8,8,2,21,5,5,1,1,5,63
Wayne Ellington,1615,218,561,96,268,54,63,20,154,83,48,5,45,82,586
Monta Ellis,2734,436,1021,87,282,162,206,42,229,383,150,37,203,174,1121
James Ennis,329,54,113,26,58,25,34,21,21,21,16,5,19,28,159
Tyler Ennis,654,84,187,13,39,25,34,13,62,95,25,1,46,64,206
Jeremy Evans,251,26,48,4,16,15,21,11,43,2,6,9,7,19,71
Tyreke Evans,765,136,314,33,85,74,93,20,109,164,32,8,73,66,379
Festus Ezeli,770,125,228,0,0,70,132,91,166,32,18,50,38,94,320
Kenneth Faried,1694,349,626,1,2,136,222,235,346,79,32,60,91,169,835
Jordan Farmar,291,42,100,16,45,10,10,4,21,37,15,2,18,22,110
Derrick Favors,1983,418,811,0,4,180,254,169,334,94,74,91,104,150,1016
Cristiano Felício,321,40,72,0,4,25,35,30,72,26,6,13,13,31,105
Raymond Felton,2192,277,682,60,213,149,176,36,222,284,68,15,121,141,763
Evan Fournier,2566,429,929,156,390,199,238,33,192,213,96,2,133,214,1213
Randy Foye,1642,169,482,75,250,61,74,24,132,161,39,29,86,131,474
Tim Frazier,741,96,229,16,48,53,74,26,84,162,33,2,65,73,261
Jimmer Fredette,18,2,5,1,2,4,5,0,0,1,1,0,2,2,9
Channing Frye,1200,152,347,91,235,30,35,35,199,71,29,28,43,127,425
Danilo Gallinari,1839,287,700,87,239,375,432,52,229,135,42,19,77,87,1036
Langston Galloway,2033,231,588,77,224,86,114,43,245,207,77,22,61,177,625
Kevin Garnett,556,54,115,0,1,14,21,15,135,62,28,10,16,70,122
Marc Gasol,1791,328,707,2,3,203,245,58,304,196,50,70,118,141,861
Pau Gasol,2291,467,995,24,69,229,289,155,638,294,42,146,164,148,1187
Rudy Gay,2379,466,1007,74,215,198,254,103,353,120,100,51,139,184,1204
Alonzo Gee,1632,132,255,17,60,44,66,60,185,72,63,13,55,169,325
Paul George,2819,605,1449,210,566,454,528,79,484,329,152,29,265,230,1874
Taj Gibson,1936,263,500,0,3,101,146,206,298,106,47,77,78,180,627
Manu Ginóbili,1134,197,435,70,179,91,112,26,120,177,66,11,99,99,555
Rudy Gobert,1932,198,354,0,0,161,283,208,460,91,45,135,114,163,557
Drew Gooden,305,33,103,7,41,9,14,28,57,13,8,11,13,40,82
Archie Goodwin,1114,176,422,23,99,130,193,27,115,118,27,13,100,84,505
Aaron Gordon,1863,274,579,42,142,129,193,154,353,128,59,55,66,153,719
Eric Gordon,1481,231,552,113,294,111,125,10,89,121,43,14,73,98,686
Marcin Gortat,2256,433,764,0,1,146,207,222,519,106,47,96,121,193,1012
Andrew Goudelock,50,9,20,1,9,3,4,1,1,4,6,2,7,4,22
Jerami Grant,2066,251,599,35,146,212,322,99,262,135,54,127,110,215,749
Jerian Grant,1265,154,391,22,100,96,123,23,120,177,50,10,87,97,426
Danny Green,2062,211,561,116,349,34,46,48,255,141,79,64,75,141,572
Draymond Green,2808,401,819,100,258,229,329,134,635,598,119,113,259,240,1131
Erick Green,42,5,13,1,5,2,2,3,3,3,1,0,0,4,13
Gerald Green,1557,230,587,84,260,72,92,25,138,56,38,19,46,123,616
JaMychal Green,1446,230,495,15,45,103,137,139,234,67,46,33,83,189,578
Jeff Green,2253,354,824,67,213,164,220,74,258,138,58,40,93,164,939
Blake Griffin,1170,301,603,6,18,141,194,51,243,170,28,17,83,95,749
Jorge Gutiérrez,63,6,11,0,2,10,11,0,7,17,3,0,6,3,22
P.J. Hairston,1313,145,408,70,241,50,64,25,149,38,32,11,41,137,410
Jordan Hamilton,304,49,116,13,45,14,21,12,50,25,8,3,17,24,125
Tyler Hansbrough,343,32,71,2,3,38,65,40,49,8,12,7,12,55,104
Tim Hardaway Jr.,864,114,265,48,142,50,56,7,79,51,21,7,23,48,326
James Harden,3125,710,1617,236,657,720,837,63,438,612,139,51,374,229,2376
Maurice Harkless,1457,195,411,39,140,69,111,101,179,67,49,35,62,124,498
Justin Harper,35,4,10,4,9,1,2,0,1,0,1,0,2,3,13
Montrezl Harrell,379,58,90,0,1,24,46,25,40,17,11,11,17,48,140
Devin Harris,1280,167,374,52,158,101,140,18,120,118,60,13,66,124,487
Gary Harris,2439,359,765,105,297,109,133,54,166,147,97,18,98,143,932
Joe Harris,15,1,4,1,4,0,0,0,3,2,0,0,1,1,3
Tobias Harris,2513,417,889,80,239,202,243,96,414,169,65,40,108,153,1116
Aaron Harrison,93,5,19,3,10,5,12,4,11,2,6,0,4,10,18
Udonis Haslem,260,23,61,1,9,12,16,10,65,14,5,2,5,25,59
Spencer Hawes,1035,124,306,38,102,54,65,51,193,109,22,27,58,111,340
Chuck Hayes,24,1,2,0,0,2,2,0,8,2,0,0,3,6,4
Gordon Hayward,2893,521,1202,143,410,393,477,61,336,296,95,27,202,183,1578
Gerald Henderson,1431,232,529,48,136,112,146,30,181,75,39,19,68,87,624
John Henson,960,164,291,0,1,69,117,87,134,54,18,109,64,131,397
Mario Hezonja,1413,181,418,67,192,49,54,28,148,109,39,17,97,124,478
Roy Hibbert,1878,182,411,0,2,117,145,132,266,95,32,110,76,252,481
J.J. Hickson,436,80,155,0,1,46,103,39,93,23,15,14,25,47,206
Nenê,1094,209,384,0,3,107,185,52,207,97,54,26,76,156,525
George Hill,2524,326,739,128,314,114,150,58,240,259,83,17,101,149,894
Jordan Hill,1513,278,549,0,1,89,125,156,295,87,36,37,92,155,645
Solomon Hill,866,93,208,24,74,36,42,39,127,57,37,11,33,68,246
Darrun Hilliard,383,52,131,19,50,29,40,5,40,27,9,1,19,28,152
Kirk Hinrich,631,49,129,24,62,15,16,8,62,73,15,2,30,64,137
Jrue Holiday,1831,410,935,87,259,182,216,27,168,391,88,22,167,148,1089
Justin Holiday,773,88,228,36,105,27,37,12,78,56,32,19,39,61,239
Ryan Hollins,460,49,79,0,0,26,42,47,51,10,6,21,24,62,124
Rondae Hollis-Jefferson,615,63,138,4,14,37,52,39,115,43,39,16,26,61,167
Richaun Holmes,702,114,222,8,44,51,74,62,73,33,19,40,32,92,287
Rodney Hood,2541,408,972,161,449,172,200,38,229,213,73,16,125,202,1149
Al Horford,2631,529,1048,88,256,103,129,148,448,263,68,121,107,163,1249
Dwight Howard,2280,372,600,0,6,232,474,238,597,98,69,113,166,219,976
Marcelo Huertas,869,97,230,16,61,27,29,18,72,182,26,7,80,76,237
Josh Huestis,55,5,12,4,6,0,4,2,8,0,1,2,3,3,14
Kris Humphries,835,121,295,34,108,67,84,57,161,36,16,23,38,94,343
R.J. Hunter,315,36,98,19,63,6,7,2,35,13,14,4,11,29,97
Serge Ibaka,2500,416,869,60,184,91,121,141,392,66,38,148,108,211,983
Andre Iguodala,1732,176,368,54,154,51,83,52,211,219,73,19,79,102,457
Ersan İlyasova,1881,280,661,96,259,111,154,144,259,67,52,33,71,171,767
Joe Ingles,1241,124,291,81,210,13,18,19,132,96,55,4,65,98,342
Damien Inglis,156,13,37,3,13,7,8,2,29,10,6,3,11,11,36
Kyrie Irving,1667,394,879,84,262,169,191,44,113,249,56,18,124,107,1041
Jarrett Jack,1027,140,358,31,102,100,112,9,127,236,34,7,94,77,411
Reggie Jackson,2424,540,1244,118,334,291,337,58,195,492,59,11,223,187,1489
LeBron James,2709,737,1416,87,282,359,491,111,454,514,104,49,249,143,1920
Al Jefferson,1096,245,505,0,0,72,111,57,244,70,30,41,34,117,562
Cory Jefferson,50,9,22,0,1,4,6,6,10,0,0,1,0,8,22
Richard Jefferson,1326,143,312,66,173,58,87,15,113,59,33,14,43,129,410
John Jenkins,480,71,160,16,51,20,24,8,49,35,8,1,27,22,178
Brandon Jennings,868,112,304,51,155,57,78,16,80,170,29,7,57,57,332
Jonas Jerebko,1176,118,286,43,108,61,78,77,211,62,20,24,52,137,340
Amir Johnson,1800,249,426,10,43,69,121,178,327,138,52,83,94,214,577
Chris Johnson,857,72,194,27,99,34,42,27,105,45,32,20,40,100,205
James Johnson,926,114,240,20,66,39,68,28,98,67,29,33,54,84,287
Joe Johnson,2703,377,859,120,313,118,142,49,243,318,61,4,159,146,992
Orlando Johnson,101,9,34,2,10,6,8,4,11,2,3,3,4,9,26
Stanley Johnson,1687,225,600,63,205,80,102,58,248,118,55,12,114,178,593
Tyler Johnson,863,118,243,27,71,51,64,28,81,79,24,14,47,66,314
Wesley Johnson,1666,208,515,103,309,30,46,37,211,49,89,56,54,173,549
Nikola Jokić,1733,307,600,28,84,154,190,181,379,189,79,50,104,208,796
Dahntay Jones,42,6,14,1,2,0,0,1,4,2,1,2,0,6,13
James Jones,463,58,142,41,104,21,26,8,42,14,11,10,13,50,178
Terrence Jones,1044,166,367,25,79,77,116,62,149,41,23,39,49,86,434
Tyus Jones,573,56,156,16,53,28,39,7,40,108,31,3,33,33,156
DeAndre Jordan,2598,357,508,0,1,266,619,267,792,90,51,177,107,207,980
Cory Joseph,2046,257,585,30,110,133,174,39,171,250,63,20,102,131,677
Chris Kaman,112,20,43,1,4,3,3,7,17,11,1,1,8,15,44
Frank Kaminsky,1708,215,525,68,202,108,148,69,266,98,38,43,58,126,606
Enes Kanter,1721,414,719,10,21,200,251,249,415,33,26,33,115,166,1038
Sergey Karasev,399,30,74,11,37,26,28,8,50,35,6,2,22,27,97
Sasha Kaun,95,9,17,0,0,5,11,12,14,3,4,5,7,11,23
Ryan Kelly,470,55,149,5,37,37,54,21,100,20,13,10,18,39,152
Michael Kidd-Gilchrist,205,33,61,3,7,20,29,12,33,9,3,3,8,9,89
Sean Kilpatrick,616,123,270,39,114,60,67,12,44,29,12,2,31,37,345
Brandon Knight,1870,371,895,120,351,156,183,36,166,263,61,20,177,124,1018
Kyle Korver,2401,268,616,158,397,45,54,14,246,164,60,35,98,161,739
Kosta Koufos,1482,236,444,0,0,57,104,169,254,33,40,70,48,185,529
Jeremy Lamb,1227,230,510,56,181,64,88,44,208,77,42,30,50,105,580
Carl Landry,569,139,250,6,13,67,91,49,97,32,12,9,22,69,351
Shane Larkin,1751,222,502,39,108,83,107,28,152,342,95,12,146,121,566
Joffrey Lauvergne,1041,195,380,13,53,62,69,77,213,56,13,15,54,115,465
Zach LaVine,2294,433,959,123,316,161,203,27,201,251,69,17,155,193,1150
Ty Lawson,1411,139,354,36,108,59,86,26,94,237,53,7,95,87,373
Courtney Lee,2334,290,639,82,217,99,118,29,176,136,85,28,72,134,761
David Lee,903,178,335,0,1,71,93,101,204,84,22,28,66,114,427
Alex Len,1821,264,624,1,7,174,239,178,416,97,38,62,145,230,703
Kawhi Leonard,2380,551,1090,129,291,292,334,95,398,186,128,71,105,133,1523
Meyers Leonard,1333,195,435,86,228,35,46,51,263,92,8,18,77,183,511
Jon Leuer,1255,224,466,42,110,77,101,76,297,72,38,30,75,125,567
Damian Lillard,2676,618,1474,229,610,414,464,45,257,512,65,28,242,165,1879
Jeremy Lin,2048,300,728,76,226,238,292,42,211,235,58,42,150,165,914
Shaun Livingston,1520,203,379,2,12,80,93,42,127,237,57,27,78,140,488
Kevon Looney,21,4,7,1,2,0,0,4,6,0,0,0,1,2,9
Brook Lopez,2457,591,1157,2,14,317,403,204,369,147,58,124,175,215,1501
Robin Lopez,2219,357,662,0,1,128,161,268,334,114,16,129,133,182,842
Kevin Love,2424,409,977,158,439,258,314,149,613,186,58,41,142,159,1234
Kyle Lowry,2851,512,1198,212,547,398,491,55,310,494,158,34,225,211,1634
Trey Lyles,1382,191,436,49,128,57,82,59,240,59,26,18,65,114,488
Shelvin Mack,1058,182,415,39,125,45,61,13,115,187,34,3,95,72,448
Ian Mahinmi,1816,264,448,0,0,132,225,138,369,104,65,75,100,220,660
Devyn Marble,249,21,71,8,32,10,24,6,32,12,13,1,7,25,60
Boban Marjanović,508,105,174,0,0,87,114,73,121,21,12,23,29,54,297
Kendall Marshall,400,43,118,16,49,9,13,2,26,73,16,2,43,30,111
Jarell Martin,380,54,116,0,2,45,62,39,47,15,8,7,19,58,153
Kevin Martin,1095,156,419,49,136,153,172,14,96,58,26,3,54,83,514
Wesley Matthews,2644,331,854,189,525,126,146,27,211,151,78,17,78,179,977
O.J. Mayo,1090,119,321,52,162,31,40,13,92,118,48,8,72,126,321
Luc Mbah a Moute,1274,94,207,13,40,30,57,60,111,30,44,19,34,100,231
James Michael McAdoo,262,45,84,1,2,26,49,30,28,17,10,8,16,39,117
Ray McCallum,475,55,146,15,42,12,15,8,39,60,12,7,24,29,137
CJ McCollum,2780,641,1431,197,472,187,226,47,212,341,97,23,196,187,1666
T.J. McConnell,1606,218,464,31,89,26,41,43,207,367,95,10,140,114,493
Chris McCullough,362,44,109,13,34,11,23,25,43,9,28,12,15,39,112
K.J. McDaniels,235,29,72,7,25,24,30,16,26,10,7,6,17,30,89
Doug McDermott,1861,291,644,110,259,72,84,37,158,59,14,6,53,127,764
Mitch McGary,72,11,23,0,4,4,10,4,14,3,1,2,7,10,26
JaVale McGee,370,77,134,0,1,18,36,53,80,3,5,26,21,49,172
Ben McLemore,1443,195,455,67,185,74,103,34,114,79,52,10,99,140,531
Jordan McRae,195,34,78,10,22,21,28,4,16,25,3,1,15,17,99
Josh McRoberts,595,55,148,12,49,28,40,22,83,81,18,7,30,68,150
Jodie Meeks,43,7,20,4,9,4,4,1,4,3,0,0,1,2,22
Salah Mejri,397,49,78,0,1,27,46,41,82,10,8,36,23,54,125
Jordan Mickey,57,8,22,0,0,5,10,6,7,1,0,11,1,5,21
Khris Middleton,2852,507,1142,143,361,277,312,44,258,331,131,19,180,204,1434
C.J. Miles,1464,259,634,142,387,93,124,25,150,63,53,29,70,142,753
Andre Miller,461,59,106,2,8,24,32,12,39,87,16,0,37,46,144
Mike Miller,373,22,62,19,52,0,0,6,47,40,13,4,17,53,63
Patty Mills,1662,260,612,123,320,47,58,27,131,226,59,6,76,102,690
Elijah Millsap,173,11,39,1,12,13,18,6,29,19,7,3,9,33,36
Paul Millsap,2647,501,1066,74,232,309,408,198,534,265,147,139,191,237,1385
Nikola Mirotić,1646,248,609,135,346,146,181,58,304,100,58,46,102,151,777
Nazr Mohammed,19,3,5,0,0,2,2,1,3,0,0,0,3,4,8
Greg Monroe,2314,491,941,0,1,228,308,218,478,178,72,67,129,163,1210
Luis Montero,42,5,19,1,9,3,4,0,4,1,0,0,4,1,14
E'Twaun Moore,1263,187,389,47,104,22,35,19,114,99,37,18,53,103,443
Eric Moreland,48,3,6,0,0,2,4,3,8,1,0,4,3,4,8
Marcus Morris,2856,410,945,108,298,203,271,91,313,201,67,23,140,170,1131
Markieff Morris,1629,305,718,47,155,108,147,73,279,124,58,34,135,184,765
Anthony Morrow,926,136,333,79,204,29,39,10,52,24,22,5,17,64,380
Donatas Motiejūnas,547,90,205,16,57,34,53,37,72,41,17,5,44,69,230
Timofey Mozgov,1326,203,359,1,7,68,95,110,227,33,22,57,71,159,475
Emmanuel Mudiay,2068,329,905,74,232,140,209,32,200,372,65,35,217,141,872
Shabazz Muhammad,1682,317,681,44,152,185,242,100,167,52,24,7,70,94,863
Xavier Munford,244,32,77,9,23,7,14,3,28,22,13,3,15,25,80
Mike Muscala,565,76,152,12,39,31,39,38,79,34,13,27,27,72,195
Larry Nance Jr.,1266,158,300,1,10,32,47,101,211,44,54,23,41,124,349
Shabazz Napier,600,68,201,34,104,33,45,9,46,97,23,1,46,38,203
Gary Neal,807,151,325,41,100,47,55,11,72,47,20,1,29,55,390
Jameer Nelson,1036,113,307,43,144,30,35,19,96,190,25,5,66,100,299
Raul Neto,1499,180,418,64,162,52,70,17,103,174,62,2,109,122,476
Andrew Nicholson,823,146,310,41,114,51,65,34,167,25,10,22,41,69,384
Joakim Noah,635,51,133,0,1,22,45,87,168,110,18,29,52,77,124
Nerlens Noel,1965,306,587,1,2,134,227,154,388,122,118,100,158,192,747
Lucas Nogueira,225,28,44,1,3,8,15,18,28,7,12,12,11,29,65
Steve Novak,44,8,18,7,15,1,1,0,5,0,0,0,1,3,24
Dirk Nowitzki,2364,498,1112,126,342,250,280,52,437,132,52,52,84,161,1372
Jusuf Nurkić,547,101,242,0,3,61,99,65,110,40,24,44,55,91,263
J.J. O'Brien,6,0,1,0,0,0,0,0,1,0,1,0,0,1,0
Johnny O'Bryant,857,86,209,1,1,27,40,65,111,32,18,8,31,100,200
Kyle O'Quinn,764,129,271,5,22,46,60,76,174,72,20,49,61,107,309
Jahlil Okafor,1591,397,781,1,6,133,194,122,251,65,22,61,124,140,928
Victor Oladipo,2379,425,970,98,282,205,247,48,297,282,116,54,153,174,1153
Kelly Olynyk,1395,253,556,85,210,96,128,72,209,105,52,33,74,163,687
Kelly Oubre Jr.,671,90,211,25,79,31,49,25,108,13,22,7,34,100,236
Zaza Pachulia,2004,219,470,0,3,212,276,249,469,128,64,22,119,181,650
Kostas Papanikolaou,294,24,66,10,32,9,14,8,32,16,13,5,21,24,67
Jabari Parker,2408,443,899,9,35,175,228,123,272,130,69,29,116,154,1070
Tony Parker,1980,350,710,27,65,130,171,17,159,379,54,11,131,114,857
Chandler Parsons,1799,320,651,104,251,93,136,29,256,169,46,21,95,114,837
Lamar Patterson,395,28,80,12,49,16,22,4,46,39,9,2,23,45,84
Patrick Patterson,2020,204,493,106,293,29,34,77,265,94,53,32,65,128,543
Chris Paul,2420,515,1114,122,329,294,328,39,271,738,152,13,194,185,1446
Adreian Payne,486,53,145,9,32,17,26,20,91,29,16,11,36,77,132
Cameron Payne,698,114,278,36,111,19,24,9,76,108,36,6,44,80,283
Elfrid Payton,2145,318,730,30,92,112,190,77,184,468,89,20,177,159,778
