player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Quincy Acy,876,119,214,19,49,50,68,65,123,27,29,24,27,103,307
Jordan Adams,15,2,6,0,1,3,5,0,2,3,3,0,2,2,7
Steven Adams,2014,261,426,0,0,114,196,219,314,62,42,89,84,223,636
Arron Afflalo,2371,354,799,91,238,110,131,23,243,144,25,10,82,142,909
Alexis Ajinça,861,150,315,0,1,52,62,75,194,31,19,36,54,134,352
Cole Aldrich,800,134,225,0,0,60,84,86,202,50,47,68,64,139,328
LaMarcus Aldridge,2261,536,1045,0,16,259,302,176,456,110,38,81,99,151,1331
Cliff Alexander,36,5,10,0,0,0,0,2,4,0,1,2,1,1,10
Lavoy Allen,1599,191,370,0,0,46,73,162,262,76,26,42,69,147,428
Tony Allen,1620,215,469,15,42,90,138,104,192,70,110,18,78,175,535
Al-Farouq Aminu,2341,299,719,126,349,115,156,98,401,138,72,53,120,171,839
Lou Amundson,204,19,53,0,0,14,27,23,26,12,6,7,15,44,52
Chris Andersen,402,38,72,4,14,25,36,36,62,12,15,13,9,29,105
Alan Anderson,192,21,59,12,37,11,15,1,26,14,4,1,2,25,65
James Anderson,721,67,178,23,86,22,29,13,73,41,21,14,42,54,179
Justin Anderson,647,71,175,22,83,44,55,18,114,29,19,25,24,45,208
Kyle Anderson,1245,138,295,12,37,62,83,25,219,123,60,29,59,97,350
Ryan Anderson,2008,397,929,131,358,199,228,131,265,73,38,25,90,109,1124
Giannis Antetokounmpo,2823,513,1013,28,109,296,409,113,499,345,94,113,208,258,1350
Thanasis Antetokounmpo,6,3,4,0,1,0,0,0,1,0,0,0,0,2,6
Carmelo Anthony,2530,567,1307,105,310,334,403,98,458,299,62,38,176,180,1573
Joel Anthony,96,6,10,0,0,6,8,8,13,1,2,12,2,15,18
Keith Appling,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6
Trevor Ariza,2859,357,859,185,499,126,161,67,299,188,160,26,113,177,1025
Darrell Arthur,1516,221,489,45,117,40,53,86,207,96,53,48,66,185,527
Ömer Aşık,1178,104,195,0,0,61,112,120,294,26,21,23,60,124,269
D.J. Augustin,1178,148,350,68,168,103,128,8,87,198,38,4,84,85,467
Jeff Ayres,107,12,23,0,1,6,6,4,18,5,0,3,6,18,30
Luke Babbitt,845,122,289,44,109,39,50,25,123,53,11,7,23,90,327
Cameron Bairstow,103,13,40,1,5,7,8,4,24,6,2,3,4,19,34
Leandro Barbosa,1079,171,370,39,110,52,62,28,89,82,44,10,53,107,433
J.J. Barea,1667,317,711,100,260,74,96,26,126,302,26,2,113,110,808
Andrea Bargnani,634,127,279,3,16,47,57,28,69,18,4,9,26,61,304
Harrison Barnes,2042,295,633,82,214,102,134,77,248,117,41,10,57,136,774
Matt Barnes,2190,264,693,119,370,111,138,84,336,163,78,57,121,234,758
Will Barton,2353,425,983,112,325,216,268,59,417,203,71,39,139,147,1178
Brandon Bass,1342,174,317,0,2,125,148,104,181,74,33,55,42,125,473
Nicolas Batum,2448,372,873,139,399,163,192,55,373,403,65,43,205,114,1046
Jerryd Bayless,1505,185,437,101,231,70,90,21,120,163,47,11,73,111,541
Aron Baynes,1233,194,384,0,2,126,165,140,244,51,21,52,67,151,514
Kent Bazemore,2083,320,725,109,305,123,151,28,351,171,98,38,138,176,872
Bradley Beal,1708,359,799,105,271,135,176,41,147,162,54,11,112,117,958
Michael Beasley,363,107,205,3,9,38,49,29,69,16,11,9,24,39,255
Marco Belinelli,1672,245,635,91,297,115,138,10,107,127,37,2,80,91,696
Anthony Bennett,84,8,27,3,14,9,10,6,17,0,5,0,4,8,28
Patrick Beverley,2041,258,594,124,310,60,88,73,177,239,94,26,91,234,700
Bismack Biyombo,1808,156,288,0,1,142,226,182,473,29,19,133,71,225,454
Nemanja Bjelica,1075,110,235,48,125,40,55,49,161,83,26,21,47,154,308
Tarik Black,496,57,104,0,0,19,45,44,113,16,14,18,22,78,133
DeJuan Blair,218,28,68,0,1,5,13,20,37,11,8,2,15,53,61
Steve Blake,986,93,240,52,151,16,20,9,80,200,24,5,81,70,254
Eric Bledsoe,1059,223,492,48,129,138,172,18,107,190,63,19,110,75,632
Bojan Bogdanović,2115,324,749,129,338,110,132,36,219,99,29,5,115,119,887
Andrew Bogut,1451,175,279,1,1,24,50,121,371,162,33,114,83,221,375
Matt Bonner,206,29,57,15,34,3,4,3,24,9,6,1,3,16,76
Devin Booker,2108,367,867,99,289,215,256,27,160,200,44,20,160,225,1048
Trevor Booker,1632,190,388,12,41,71,106,166,286,84,59,41,81,169,463
Chris Bosh,1778,358,767,81,222,213,268,48,342,128,36,34,78,101,1010
Avery Bradley,2536,456,1019,147,407,96,123,48,172,158,117,19,109,164,1155
Elton Brand,225,31,72,0,1,8,9,9,54,18,9,8,11,32,70
Corey Brewer,1669,212,552,61,224,105,140,42,157,109,84,19,78,168,590
Aaron Brooks,1108,188,469,66,185,49,64,21,80,180,30,10,82,132,491
Anthony Brown,599,39,126,20,70,17,20,9,61,19,14,5,15,34,115
Lorenzo Brown,61,8,25,1,8,3,4,0,7,11,3,1,9,4,20
Markel Brown,982,127,322,38,121,71,94,23,99,91,38,15,54,94,363
Kobe Bryant,1863,398,1113,133,467,232,281,41,206,184,62,13,129,115,1161
Chase Budinger,929,104,239,24,86,39,56,43,107,64,32,10,44,62,271
Reggie Bullock,429,43,98,22,53,14,15,14,54,27,10,2,8,29,122
Trey Burke,1366,262,634,88,256,67,82,18,94,148,35,6,80,86,679
Alec Burks,797,137,334,32,79,106,141,16,93,63,18,4,51,71,412
Caron Butler,176,25,59,3,18,10,12,5,17,10,9,1,3,19,63
Jimmy Butler,2474,470,1035,64,205,395,475,79,279,321,110,43,132,124,1399
Rasual Butler,432,49,104,15,49,11,16,3,53,24,13,23,8,11,124
Bruno Caboclo,43,1,12,1,7,0,0,1,1,1,2,1,4,2,3
José Calderón,2024,209,455,84,203,42,48,22,207,298,63,7,87,135,544
Kentavious Caldwell-Pope,2789,403,960,114,369,185,228,70,212,138,110,17,105,167,1105
Isaiah Canaan,1966,260,722,176,485,150,180,20,154,137,56,12,91,133,846
Clint Capela,1471,231,397,0,1,80,211,194,300,47,59,92,60,190,542
DeMarre Carroll,786,105,270,46,118,30,50,31,91,27,44,6,28,63,286
Vince Carter,1005,133,343,59,169,70,84,31,115,56,38,16,35,101,395
Michael Carter-Williams,1649,251,555,15,55,106,162,48,228,281,80,41,153,162,623
Omri Casspi,1880,299,622,112,274,103,159,58,352,95,56,17,94,154,813
Willie Cauley-Stein,1412,191,339,0,2,81,125,134,218,37,48,66,46,146,463
Mario Chalmers,1373,182,444,46,149,218,262,24,133,230,88,13,110,181,628
Tyson Chandler,1618,183,314,0,1,106,171,175,401,64,36,44,93,145,472
Rakeem Christmas,6,2,2,0,0,0,0,1,0,0,0,0,0,1,4
Ian Clark,578,89,202,30,84,28,34,13,55,64,17,13,43,58,236
Coty Clarke,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6
Jordan Clarkson,2552,475,1098,111,320,164,204,93,220,192,88,7,135,168,1225
Norris Cole,1198,196,484,33,102,52,65,10,141,167,37,5,75,102,477
Darren Collison,2219,377,776,87,217,194,226,28,141,318,76,4,130,142,1035
Nick Collison,699,50,109,0,2,23,33,68,103,52,15,16,50,107,123
Mike Conley,1761,294,696,78,215,191,229,26,138,342,67,16,84,100,857
Pat Connaughton,143,13,49,5,21,5,5,11,21,10,2,0,10,6,36
Chris Copeland,156,17,51,10,36,6,7,1,9,11,2,0,6,17,50
Bryce Cotton,39,4,10,0,3,0,0,0,0,3,3,0,5,2,8
DeMarcus Cousins,2246,601,1332,70,210,476,663,158,589,214,101,92,249,236,1748
Robert Covington,1903,274,712,170,482,140,177,65,354,97,105,40,143,232,858
Allen Crabbe,2105,311,678,112,285,98,113,27,189,99,63,16,64,192,832
Jamal Crawford,2126,379,939,117,344,245,271,20,125,183,52,12,113,122,1120
Jae Crowder,2308,360,813,122,363,196,239,70,303,135,126,35,83,198,1038
Dante Cunningham,1971,186,412,55,174,57,82,57,179,77,42,33,41,173,484
Jared Cunningham,410,36,105,12,39,36,55,3,35,20,14,2,21,41,120
Seth Curry,692,102,224,50,111,45,54,9,51,67,22,3,36,41,299
Stephen Curry,2700,805,1598,402,886,363,400,68,362,527,169,15,262,161,2375
Troy Daniels,476,89,187,59,122,5,9,7,50,21,11,3,24,40,242
Anthony Davis,2164,560,1136,35,108,326,430,130,497,116,78,125,121,148,1481
Ed Davis,1684,206,337,0,0,114,204,224,375,88,57,72,64,202,526
Branden Dawson,29,2,5,0,0,1,1,2,2,0,0,1,0,2,5
Dewayne Dedmon,705,99,177,0,0,57,76,67,161,13,22,46,32,109,255
Bryce Dejean-Jones,279,28,69,12,32,11,21,8,40,15,10,2,11,17,79
Sam Dekker,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Matthew Dellavedova,1867,207,511,98,239,57,66,33,129,337,44,9,116,178,569
Luol Deng,2394,339,745,88,256,145,192,108,335,140,74,29,81,122,911
DeMar DeRozan,2804,614,1377,47,139,555,653,64,285,315,81,21,175,167,1830
Boris Diaw,1386,202,383,25,69,56,76,58,175,176,26,21,97,102,485
Gorgui Dieng,2220,308,579,6,20,205,248,157,428,143,94,96,140,219,827
Spencer Dinwiddie,159,19,54,1,10,19,33,4,13,22,3,0,7,20,58
