player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Jeff Adrien,63,7,16,0,0,7,12,5,17,1,0,2,2,13,21
Arron Afflalo,2086,329,699,88,221,197,247,40,157,149,36,13,85,134,943
Blake Ahearn,30,4,14,2,9,0,0,0,2,1,0,0,5,4,10
Solomon Alabi,122,13,36,0,0,7,8,15,32,3,2,9,5,11,33
Cole Aldrich,173,22,42,0,0,13,14,13,35,3,8,16,9,22,57
LaMarcus Aldridge,1994,483,943,2,11,223,274,150,292,134,51,45,111,153,1191
Lavoy Allen,624,79,167,0,0,11,14,47,124,34,13,18,20,73,169
Ray Allen,1565,226,493,106,234,97,106,14,128,109,49,8,68,83,655
Tony Allen,1525,210,448,8,26,140,175,98,135,79,104,33,94,142,568
Morris Almond,67,6,17,1,3,1,3,1,7,2,7,0,1,6,14
Al-Farouq Aminu,1477,150,365,13,47,86,114,95,213,66,59,34,91,136,399
Lou Amundson,753,89,207,0,0,35,82,94,128,14,27,44,45,125,213
Chris Andersen,486,59,108,0,0,50,82,48,100,6,19,46,17,52,168
Alan Anderson,461,55,142,24,61,29,34,8,26,26,5,3,25,35,163
James Anderson,603,66,174,19,68,39,52,16,63,41,8,2,30,35,190
Ryan Anderson,1964,332,757,166,422,150,171,224,247,54,50,26,57,146,980
Carmelo Anthony,1876,441,1025,68,203,295,367,88,256,200,62,24,144,156,1245
Joel Anthony,1349,85,152,0,0,49,71,100,150,9,36,84,45,126,219
Gilbert Arenas,211,26,64,13,39,7,10,2,16,18,11,1,12,35,72
Trevor Ariza,1350,168,403,29,87,79,102,41,174,135,69,25,76,73,444
Ömer Aşık,971,79,156,0,0,47,103,127,223,32,30,68,68,121,205
D.J. Augustin,1408,183,487,61,179,105,120,24,85,307,36,1,110,65,532
Gustavo Ayón,1088,140,261,0,1,39,63,86,179,74,53,46,46,118,319
Jeff Ayres,106,15,36,0,0,4,7,12,21,4,3,2,2,16,34
Kelenna Azubuike,18,3,8,1,3,0,0,0,0,0,1,0,4,1,7
Luke Babbitt,537,71,173,43,100,17,20,16,79,16,10,4,27,46,202
Renaldo Balkman,115,16,32,2,9,8,11,6,20,5,4,3,6,14,42
Leandro Barbosa,1382,271,637,65,170,101,124,33,95,96,56,7,94,135,708
J.J. Barea,1032,167,418,53,143,76,98,14,100,232,21,0,103,61,463
Andrea Bargnani,1032,209,484,34,115,151,173,24,148,61,18,15,69,52,603
Matt Barnes,1440,175,387,46,138,95,128,97,247,126,35,48,73,152,491
Earl Barron,9,2,4,0,0,0,0,1,0,0,0,0,0,5,4
Brandon Bass,1868,303,632,0,0,132,163,95,270,55,34,54,65,135,738
Tony Battie,295,19,51,0,1,4,4,8,59,16,4,6,4,26,42
Shane Battier,1499,113,292,62,183,23,37,56,100,82,64,33,37,105,311
Nicolas Batum,1791,289,641,107,274,133,159,81,190,84,57,60,90,105,818
Jerryd Bayless,705,117,276,44,104,75,88,8,58,118,24,4,53,70,353
Michael Beasley,1087,221,497,38,101,61,95,39,168,45,18,19,80,83,541
Rodrigue Beaubois,1151,188,445,38,132,58,69,19,132,152,56,28,70,98,472
Marco Belinelli,1966,286,686,107,284,101,129,19,153,101,48,5,69,115,780
Raja Bell,796,81,174,34,87,21,25,6,43,38,13,2,21,78,217
Keith Benson,9,0,1,0,0,0,0,2,1,0,0,0,0,0,0
Mike Bibby,557,35,124,27,85,6,8,5,54,80,21,3,20,45,103
Andris Biedriņš,739,39,64,0,0,1,9,45,131,16,23,45,14,125,79
Chauncey Billups,607,83,228,48,125,85,95,4,46,80,9,3,38,40,299
Bismack Biyombo,1455,129,278,0,0,69,143,113,255,27,20,115,71,145,327
DeJuan Blair,1363,269,504,0,1,73,119,154,197,78,59,12,92,168,611
