player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Quincy Acy,1287,152,331,18,60,76,97,79,222,68,27,22,60,147,398
Jordan Adams,248,35,86,10,25,14,23,9,19,16,16,7,14,24,94
Steven Adams,1771,217,399,0,2,103,205,199,324,66,38,86,99,222,537
Jeff Adrien,215,19,44,0,0,22,38,23,54,15,4,9,9,30,60
Arron Afflalo,2502,375,884,118,333,167,198,27,220,129,41,7,116,167,1035
Alexis Ajinça,957,181,329,0,0,81,99,104,211,47,21,51,69,151,443
Furkan Aldemir,540,40,78,0,5,13,27,78,98,28,17,16,17,96,93
Cole Aldrich,976,144,301,0,0,50,64,101,237,75,37,65,59,122,338
LaMarcus Aldridge,2512,659,1415,37,105,306,362,177,549,124,48,68,122,125,1661
Lavoy Allen,1070,141,299,0,0,33,47,123,200,73,15,42,40,102,315
Tony Allen,1648,225,455,10,29,79,126,103,177,86,129,30,86,166,539
Al-Farouq Aminu,1366,147,357,34,124,84,118,114,228,59,70,62,55,137,412
Lou Amundson,937,109,255,0,1,41,87,94,174,70,22,52,62,126,259
Chris Andersen,1132,120,207,4,13,76,114,76,223,43,26,61,40,88,320
Alan Anderson,1744,195,440,73,210,82,101,31,173,83,56,5,60,148,545
Kyle Anderson,358,31,89,3,11,9,14,5,67,28,15,7,10,28,74
Ryan Anderson,1675,291,729,122,359,129,151,108,187,55,33,20,62,113,833
Giannis Antetokounmpo,2541,383,780,7,44,257,347,100,442,207,73,85,173,254,1030
Carmelo Anthony,1428,358,806,61,179,189,237,72,192,122,40,17,89,87,966
Joel Anthony,406,36,62,0,0,15,22,32,61,5,12,49,12,55,87
Pero Antić,1037,108,296,52,173,88,123,58,131,49,18,14,49,132,356
Trevor Ariza,2930,366,910,194,555,122,143,77,382,209,152,17,141,186,1048
Darrell Arthur,988,155,384,26,110,46,59,53,118,57,48,26,47,146,382
Ömer Aşık,1982,213,412,0,0,131,225,244,504,72,29,54,95,144,557
D.J. Augustin,1964,258,647,83,246,178,205,20,141,353,49,3,145,93,777
Jeff Ayres,383,55,95,0,0,27,36,37,80,14,8,8,26,60,137
Luke Babbitt,830,92,192,59,115,13,19,12,99,24,17,11,26,63,256
Cameron Bairstow,64,3,14,0,0,4,5,6,2,1,2,1,3,8,10
Leandro Barbosa,982,183,386,43,112,58,74,23,68,99,41,8,44,87,467
J.J. Barea,1362,225,536,54,167,76,94,23,111,263,33,1,70,104,580
Andrea Bargnani,785,164,361,15,41,87,107,32,95,46,2,27,42,53,430
Harrison Barnes,2318,316,656,87,215,108,150,117,336,116,61,19,71,146,827
Matt Barnes,2271,277,624,136,376,74,95,51,251,114,67,50,87,240,764
Earl Barron,143,12,39,2,4,6,12,14,14,5,4,2,5,26,32
Will Barton,983,150,353,23,85,74,94,26,136,81,48,19,61,70,397
Brandon Bass,1929,344,683,9,32,169,214,139,259,104,41,32,83,140,866
Nicolas Batum,2380,240,600,100,309,84,98,62,354,341,78,40,132,106,664
Jerryd Bayless,1717,220,516,37,120,121,137,22,189,233,59,12,133,163,598
Aron Baynes,1122,185,327,1,4,90,104,109,209,35,16,22,65,162,461
Kent Bazemore,1324,141,331,48,132,60,100,21,201,78,52,33,73,127,390
Bradley Beal,2107,363,851,106,259,130,166,57,184,194,76,18,123,136,962
Michael Beasley,505,92,212,8,34,20,26,12,77,32,15,13,37,66,212
Marco Belinelli,1388,199,470,86,230,84,99,26,131,94,31,3,61,85,568
Jerrelle Benimon,3,0,0,0,0,0,0,1,2,0,0,0,1,0,0
Anthony Bennett,894,125,297,7,23,41,64,52,164,48,27,16,36,87,298
Patrick Beverley,1727,204,532,115,323,45,60,67,170,192,59,23,83,182,568
Sim Bhullar,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2
Bismack Biyombo,1243,101,186,0,0,102,175,159,248,16,18,99,52,140,304
Tarik Black,1196,157,273,0,1,65,118,142,226,42,19,24,48,158,379
DeJuan Blair,180,26,57,0,0,4,6,16,40,3,7,1,13,41,56
Steve Blake,1529,122,327,77,219,29,41,16,121,288,41,5,104,118,350
Eric Bledsoe,2800,468,1046,88,272,353,441,72,351,493,127,45,274,189,1377
Vander Blue,74,9,30,2,10,2,5,2,7,8,3,0,6,4,22
Bojan Bogdanović,1854,261,576,91,256,87,106,50,163,68,34,9,78,104,700
Andrew Bogut,1583,200,355,0,0,22,42,141,402,180,39,113,106,188,422
Matt Bonner,935,94,230,46,126,30,37,29,86,47,10,12,11,65,264
Trevor Booker,1564,226,464,29,84,86,148,139,258,83,43,41,88,144,567
Carlos Boozer,1692,371,743,0,0,94,150,111,371,95,41,12,92,184,836
Chris Bosh,1556,343,745,63,168,179,232,46,264,95,41,25,95,69,928
Avery Bradley,2428,434,1012,124,352,79,100,46,195,135,82,15,109,177,1071
Elton Brand,486,42,95,0,1,12,23,28,72,22,17,25,18,54,96
Corey Brewer,2087,343,805,63,235,168,226,80,217,173,114,19,131,173,917
Aaron Brooks,1885,344,817,121,313,145,174,32,134,261,54,15,157,189,954
Jabari Brown,568,70,170,23,62,64,85,3,33,40,12,2,32,33,227
