player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Quincy Acy,847,66,141,4,15,35,53,72,144,28,23,26,30,122,171
Steven Adams,1197,93,185,0,0,79,136,142,190,43,40,57,71,203,265
Jeff Adrien,961,143,275,0,0,76,119,102,204,38,24,36,39,108,362
Arron Afflalo,2552,464,1011,128,300,274,336,32,230,248,35,3,146,136,1330
Alexis Ajinça,951,136,249,0,1,56,67,94,183,40,23,46,63,187,328
Cole Aldrich,330,33,61,0,0,26,30,37,92,14,8,30,18,40,92
LaMarcus Aldridge,2498,652,1423,3,15,296,360,166,599,178,63,68,123,147,1603
Lavoy Allen,1072,134,300,2,13,33,50,119,192,71,24,33,44,126,303
Ray Allen,1936,240,543,116,309,105,116,23,182,143,54,8,84,115,701
Tony Allen,1278,204,413,11,47,76,121,79,129,94,90,19,90,121,495
Al-Farouq Aminu,2045,234,494,13,48,91,137,129,367,114,82,38,88,147,572
Lou Amundson,185,16,32,0,0,6,24,28,27,6,9,11,14,49,38
Chris Andersen,1396,177,275,3,12,120,169,129,250,19,32,97,53,162,477
Alan Anderson,1773,194,485,84,248,92,118,40,135,81,48,11,62,147,564
James Anderson,2309,309,717,115,351,77,106,59,241,149,74,28,106,154,810
Ryan Anderson,795,155,354,67,164,59,62,66,76,17,10,7,20,47,436
Giannis Antetokounmpo,1897,173,418,41,118,138,202,78,261,150,60,61,122,173,525
Carmelo Anthony,2982,743,1643,167,415,459,541,145,477,242,95,51,198,224,2112
Joel Anthony,186,12,32,0,0,4,8,15,23,2,3,12,3,17,28
Pero Antić,925,123,294,56,171,50,66,57,152,58,19,12,55,126,352
Trevor Ariza,2723,389,853,180,442,149,193,99,376,191,126,20,132,179,1107
Hilton Armstrong,97,9,19,0,0,7,16,19,28,5,4,4,6,11,25
Darrell Arthur,1161,162,410,24,64,53,62,52,158,61,39,47,58,185,401
Ömer Aşık,968,101,190,0,0,78,126,101,277,25,14,37,59,92,280
D.J. Augustin,1939,298,718,133,332,201,227,15,115,313,53,3,125,147,930
Gustavo Ayón,429,52,102,0,0,8,20,42,83,28,25,10,29,47,112
Jeff Ayres,952,101,174,0,0,38,55,89,169,60,13,25,63,146,240
Chris Babb,132,8,30,6,27,0,0,4,13,3,6,0,3,13,22
Luke Babbitt,473,60,154,36,95,14,18,18,70,29,7,11,15,52,170
Leandro Barbosa,368,56,131,7,25,31,39,5,32,32,7,4,19,30,150
J.J. Barea,1471,254,656,73,231,79,100,16,138,303,26,0,125,129,660
