player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Alex Acker,199,30,76,7,20,5,10,8,16,12,5,4,7,9,72
Hassan Adams,52,4,13,0,0,3,6,1,6,1,1,1,4,4,11
Arron Afflalo,1234,131,300,43,107,58,71,30,104,44,28,13,43,144,363
Maurice Ager,97,15,43,0,6,4,8,3,7,3,1,2,4,17,34
Blake Ahearn,19,2,6,2,4,2,2,0,1,2,1,0,1,3,8
Alexis Ajinça,182,25,69,0,2,20,28,9,21,3,7,6,12,34,70
LaMarcus Aldridge,3004,601,1243,7,28,261,334,234,371,157,77,77,121,207,1470
Joe Alexander,716,102,245,16,46,58,83,44,71,42,15,29,52,107,278
Malik Allen,579,73,170,0,1,10,21,35,68,35,7,12,20,89,156
Ray Allen,2876,499,1040,199,486,237,249,66,212,218,69,13,134,157,1434
Tony Allen,887,137,284,6,27,79,109,22,82,66,54,23,77,98,359
Morris Almond,255,33,81,5,17,21,26,9,27,7,4,4,16,31,92
Rafer Alston,2447,316,820,112,331,156,208,33,194,406,108,10,140,135,900
Lou Amundson,1044,134,250,0,1,53,120,128,142,28,32,65,56,154,321
Chris Andersen,1460,160,292,2,10,130,181,163,279,31,41,175,69,174,452
Ryan Anderson,1312,160,407,69,189,98,116,104,207,52,44,20,63,157,487
Carmelo Anthony,2277,535,1207,63,170,371,468,106,344,222,75,24,199,195,1504
Joel Anthony,1048,57,118,0,0,30,46,89,108,27,20,93,41,139,144
Gilbert Arenas,63,6,23,2,7,12,16,1,8,20,0,1,1,4,26
Trevor Ariza,1999,274,596,61,191,120,169,111,241,145,137,24,87,166,729
Hilton Armstrong,1092,138,246,0,2,62,98,81,114,29,26,45,80,181,338
Darrell Arthur,1464,191,436,0,2,40,60,108,238,43,52,52,47,206,422
Chucky Atkins,412,34,113,15,57,15,16,5,19,59,10,2,23,27,98
D.J. Augustin,1908,267,621,108,246,208,233,17,116,250,42,2,119,140,850
Kelenna Azubuike,2375,392,845,94,210,185,229,112,258,117,57,50,95,183,1063
Renaldo Balkman,780,110,197,2,7,42,65,86,117,34,47,23,35,98,264
Marcus Banks,206,21,57,3,19,11,18,1,17,28,11,2,14,26,56
Leandro Barbosa,1705,366,759,90,240,171,194,34,147,162,82,7,93,115,993
J.J. Barea,1600,246,557,55,154,70,93,36,141,269,37,5,105,121,617
Andrea Bargnani,2453,431,958,119,291,221,266,70,346,94,34,97,135,242,1202
Matt Barnes,2082,285,674,117,341,101,136,79,342,212,52,26,130,209,788
Brent Barry,857,70,172,49,131,19,20,17,77,78,24,3,48,45,208
Brandon Bass,1574,252,508,0,6,182,210,129,238,43,27,55,86,140,686
Maceo Baston,217,25,46,0,1,17,27,22,30,7,6,10,12,39,67
Tony Battie,1202,158,323,2,9,54,82,92,186,31,26,25,46,112,372
Shane Battier,2031,145,354,91,237,55,67,52,233,137,48,54,49,114,436
Nicolas Batum,1454,161,361,62,168,42,52,84,136,74,50,40,50,139,426
Jerryd Bayless,655,69,189,7,27,83,103,8,49,78,16,2,56,81,228
Michael Beasley,2009,452,957,33,81,186,241,110,329,83,41,37,121,184,1123
Marco Belinelli,882,140,317,52,131,40,52,10,61,88,36,1,59,73,372
Charlie Bell,1783,217,524,87,240,66,80,32,102,151,50,7,76,138,587
Raja Bell,2315,299,684,114,271,87,102,41,202,142,50,8,86,166,799
Mike Bibby,2740,437,1005,167,428,135,171,38,240,392,98,11,128,145,1176
Andris Biedriņš,1863,308,533,0,1,119,216,223,470,121,63,96,110,236,735
Chauncey Billups,2789,410,980,162,397,418,458,32,207,506,93,18,177,161,1400
Steve Blake,2188,277,647,140,328,63,75,28,145,348,69,4,108,126,757
Andray Blatche,1703,297,630,5,21,114,162,126,252,118,53,74,117,211,713
Mark Blount,207,30,78,11,27,8,13,10,31,4,1,7,14,17,79
Keith Bogans,1272,119,324,74,218,52,57,31,171,64,43,4,41,105,364
Andrew Bogut,1124,183,317,0,0,56,98,117,252,72,23,37,86,130,422
Matt Bonner,1928,266,536,118,268,17,23,97,289,82,47,26,37,190,667
Josh Boone,995,113,214,0,0,32,85,104,154,31,22,48,31,106,258
Calvin Booth,56,5,10,0,0,6,8,5,6,0,1,2,1,10,16
Carlos Boozer,1197,251,512,0,0,97,139,111,274,79,39,7,79,132,599
Chris Bosh,2928,615,1263,12,49,504,617,215,556,191,67,77,174,189,1746
Bruce Bowen,1506,79,187,42,98,14,26,16,129,40,36,13,25,123,214
Ryan Bowen,219,22,38,0,0,3,5,10,14,9,14,5,5,37,47
Elton Brand,920,163,365,0,0,73,108,77,177,37,17,45,68,78,399
Corey Brewer,307,37,90,5,12,14,19,18,31,25,15,3,13,37,93
Ronnie Brewer,2605,421,828,22,85,247,352,101,199,179,138,30,110,128,1111
Aaron Brooks,1998,316,783,113,309,149,172,33,124,238,46,8,125,152,894
Andre Brown,41,1,7,0,0,2,2,7,5,1,1,0,5,9,4
Bobby Brown,931,141,360,45,130,34,43,14,38,117,21,3,63,95,361
Dee Brown,261,18,49,7,24,3,5,7,22,36,10,0,17,28,46
Devin Brown,869,111,313,28,97,78,100,31,88,54,32,5,54,81,328
Kwame Brown,999,90,169,0,0,63,122,91,199,32,24,24,50,138,243
Shannon Brown,477,78,165,14,37,32,39,11,33,38,22,7,38,42,202
Kobe Bryant,2960,800,1712,118,336,483,564,90,339,399,120,37,210,189,2201
Greg Buckner,878,61,159,13,51,20,25,32,98,57,29,8,38,108,155
Caron Butler,2585,491,1085,65,210,345,402,118,296,290,106,20,210,165,1392
Rasual Butler,2614,348,803,140,359,86,110,49,222,75,51,61,59,159,922
Andrew Bynum,1446,281,502,0,0,152,215,137,261,71,18,90,85,157,714
Will Bynum,803,156,342,3,19,95,119,19,56,157,34,2,76,85,410
José Calderón,2333,320,644,82,202,151,154,16,178,607,74,7,143,114,873
Marcus Camby,1925,254,496,1,4,132,182,161,529,127,51,132,93,129,641
Brian Cardinal,909,65,169,30,92,30,35,39,103,76,37,13,48,135,190
Rodney Carney,1199,176,423,79,226,50,66,36,90,26,45,29,43,94,481
Matt Carroll,616,65,171,13,53,21,25,7,62,27,21,6,33,67,164
Anthony Carter,1787,167,386,21,88,57,78,40,165,364,96,13,155,142,412
Vince Carter,2946,588,1345,151,392,335,410,74,336,376,82,38,166,234,1662
Mario Chalmers,2626,278,662,114,311,148,193,37,191,403,160,8,165,240,818
Tyson Chandler,1445,160,283,0,0,77,133,163,230,22,15,56,70,144,397
Wilson Chandler,2735,455,1054,103,314,171,215,91,354,170,71,75,139,250,1184
Speedy Claxton,15,2,7,0,0,1,2,0,0,3,0,0,0,1,5
Jarron Collins,201,16,35,0,0,8,11,20,17,7,2,1,9,35,40
Jason Collins,422,22,70,0,0,13,28,28,42,11,9,13,12,73,57
Mardy Collins,890,105,247,13,31,28,46,31,76,111,31,10,58,80,251
Nick Collison,1831,243,428,0,2,98,136,181,308,66,51,50,73,239,584
Mike Conley,2508,323,730,88,217,161,197,25,251,354,90,8,143,146,895
Brian Cook,171,28,76,13,30,5,6,7,25,5,3,3,13,26,74
Daequan Cook,1833,242,645,153,395,49,56,19,170,71,39,10,42,125,686
Jamal Crawford,2479,419,1022,142,394,300,344,23,170,288,57,13,148,92,1280
Joe Crawford,23,3,10,1,4,2,2,1,3,1,1,0,0,2,9
Javaris Crittenton,1174,131,285,2,15,53,92,57,109,150,40,6,82,101,317
Austin Croshere,100,14,39,5,15,7,12,11,23,9,1,1,6,5,40
Eddy Curry,12,2,2,0,0,1,3,0,4,0,0,0,2,5,5
