player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Precious Achiuwa,1725,265,603,56,156,78,131,146,327,82,37,41,84,151,664
Steven Adams,1999,210,384,0,1,108,199,349,411,256,65,60,115,153,528
Bam Adebayo,1825,406,729,0,6,256,340,137,427,190,80,44,148,171,1068
Santi Aldama,360,53,132,6,48,20,32,33,54,21,6,10,16,36,132
LaMarcus Aldridge,1050,252,458,14,46,89,102,73,185,42,14,47,44,78,607
Nickeil Alexander-Walker,1466,253,680,105,338,81,109,37,150,156,46,23,93,103,692
Grayson Allen,1805,255,569,159,389,64,74,32,190,100,46,18,43,96,733
Jarrett Allen,1809,369,545,1,10,165,233,192,410,92,44,75,94,97,904
Jose Alvarado,834,131,294,32,110,36,53,25,75,152,71,7,40,73,330
Justin Anderson,316,36,95,15,59,15,19,4,42,33,8,6,8,22,102
Kyle Anderson,1484,209,469,36,109,67,105,69,299,183,77,45,71,108,521
Giannis Antetokounmpo,2204,689,1245,71,242,553,766,134,644,388,72,91,219,212,2002
Thanasis Antetokounmpo,473,70,128,2,14,29,46,40,61,22,16,12,26,68,171
Carmelo Anthony,1793,319,723,149,397,132,159,62,226,68,47,52,59,166,919
Cole Anthony,2059,357,912,132,391,216,253,32,316,369,46,17,170,171,1062
OG Anunoby,1728,309,697,115,317,89,118,74,190,125,71,25,80,131,822
Ryan Arcidiacono,76,6,12,4,9,0,0,0,8,4,1,0,3,5,16
Trevor Ariza,462,33,99,20,74,10,18,10,72,27,13,6,11,20,96
D.J. Augustin,883,94,222,68,164,38,43,11,57,107,17,1,56,39,294
Deni Avdija,1984,250,579,82,259,103,136,52,373,167,59,44,87,190,685
Joel Ayayi,20,1,6,0,1,0,0,1,2,4,0,0,0,0,2
Deandre Ayton,1713,442,697,7,19,106,142,149,444,84,40,40,91,142,997
Udoka Azubuike,195,37,49,0,0,6,11,18,53,0,1,11,12,25,80
Marvin Bagley III,1146,225,446,23,97,67,101,105,233,36,22,18,39,93,540
LaMelo Ball,2422,538,1254,220,565,212,243,108,393,571,119,30,245,237,1508
Lonzo Ball,1212,162,383,110,260,21,28,35,155,178,64,31,82,85,455
