
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
56,Shabazz Napier\napiesh01,Oct 29 '14 MIA vs. WAS,23,6,340,5876,790,1991,340,982,462,567,103,645,840,283,46,435,396,2382,.397,.346,.815,17.3,7.0,1.9,2.5
57,Nerlens Noel\noelne01,Oct 29 '14 PHI @ IND,20,6,355,7864,1183,2184,2,7,501,773,689,2211,418,469,492,483,894,2869,.542,.286,.648,22.2,8.1,6.2,1.2
58,Lucas Nogueira\noguelu01,Nov 21 '14 TOR vs. MIL,22,4,141,1754,182,288,9,34,73,114,120,388,72,89,144,75,221,446,.632,.265,.640,12.4,3.2,2.8,0.5
59,Jusuf Nurkić\nurkiju01,Oct 29 '14 DEN vs. DET,20,5,310,7103,1443,2936,3,42,719,1079,776,2480,589,261,400,635,956,3608,.491,.071,.666,22.9,11.6,8.0,1.9
60,Johnny O'Bryant\obryajo01,Dec 17 '14 MIL @ POR,21,4,147,1684,213,530,18,50,65,98,129,352,69,32,19,77,199,509,.402,.360,.663,11.5,3.5,2.4,0.5
61,Kostas Papanikolaou\papanko01,Oct 28 '14 HOU @ LAL,24,2,69,1089,93,263,41,138,22,32,47,158,101,42,18,76,95,249,.354,.297,.688,15.8,3.6,2.3,1.5
62,Jabari Parker\parkeja01,Oct 29 '14 MIL @ CHO,19,6,280,8193,1699,3456,201,621,609,824,427,1614,585,263,111,512,596,4208,.492,.324,.739,29.3,15.0,5.8,2.1
63,Adreian Payne\paynead01,Dec 26 '14 ATL vs. MIL,23,4,107,1403,174,429,15,59,66,97,79,315,66,45,27,90,203,429,.406,.254,.680,13.1,4.0,2.9,0.6
64,Elfrid Payton\paytoel01,Oct 28 '14 ORL @ NOP,20,6,387,11350,1750,3869,158,546,589,943,438,1703,2566,516,136,934,846,4247,.452,.289,.625,29.3,11.0,4.4,6.6
65,Dwight Powell\poweldw01,Nov 14 '14 BOS vs. CLE,23,6,371,6956,1062,1885,103,351,640,866,545,1711,364,251,173,247,782,2867,.563,.293,.739,18.7,7.7,4.6,1.0
