player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Jeff Adrien,196,23,54,0,0,11,19,23,35,10,4,5,9,28,57
Arron Afflalo,2324,312,627,105,248,138,163,45,206,168,34,31,71,153,867
Maurice Ager,29,6,11,3,4,0,0,0,2,1,1,0,4,4,15
Alexis Ajinça,340,59,133,12,34,13,18,17,61,10,11,19,18,73,143
Solomon Alabi,59,3,15,0,0,0,2,7,7,2,2,2,3,5,6
Cole Aldrich,142,8,15,0,0,2,4,13,22,4,5,7,8,30,18
LaMarcus Aldridge,3211,707,1415,4,23,351,444,278,431,170,82,94,153,220,1769
Malik Allen,178,11,31,0,0,1,2,12,20,4,1,4,3,30,23
Ray Allen,2890,480,978,168,378,193,219,51,223,219,77,16,117,147,1321
Tony Allen,1494,251,492,4,23,137,182,70,123,104,129,44,86,161,643
Al-Farouq Aminu,1452,160,406,45,143,92,119,75,192,60,59,25,103,121,457
Lou Amundson,691,83,183,0,0,34,87,81,104,17,14,33,24,87,200
Chris Andersen,732,82,137,0,1,86,135,75,144,20,23,58,25,79,250
David Andersen,373,56,121,8,23,14,22,20,64,13,5,9,22,40,134
James Anderson,286,31,81,18,46,14,18,2,21,18,3,6,13,24,94
Ryan Anderson,1424,226,525,134,341,95,117,129,226,52,30,38,49,137,681
Carmelo Anthony,2751,684,1503,95,251,507,605,118,445,221,68,46,206,224,1970
Joel Anthony,1463,53,99,0,0,47,73,104,162,24,10,93,36,194,153
Gilbert Arenas,1796,269,734,97,327,120,153,22,167,274,74,21,177,188,755
Trevor Ariza,2600,303,762,82,271,138,197,61,347,162,120,31,118,180,826
Hilton Armstrong,488,37,76,2,4,16,33,42,89,14,18,21,28,84,92
Carlos Arroyo,1185,120,273,31,69,39,47,20,83,125,21,1,60,71,310
Darrell Arthur,1609,310,624,0,6,109,134,115,227,53,52,63,88,228,729
Ömer Aşık,989,78,141,0,0,73,145,112,194,32,20,56,64,153,229
D.J. Augustin,2757,399,958,111,333,269,297,38,187,498,54,3,155,152,1178
Luke Babbitt,137,15,55,3,16,3,9,6,24,6,2,2,8,15,36
Renaldo Balkman,62,6,13,1,2,3,4,2,5,2,4,2,1,15,16
