player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Álex Abrines,1134,115,291,84,221,39,46,26,88,28,38,8,25,124,353
Quincy Acy,1359,130,365,102,292,49,60,40,217,57,33,29,60,149,411
Steven Adams,2487,448,712,0,2,160,286,384,301,88,92,78,128,215,1056
Bam Adebayo,1368,174,340,0,7,129,179,118,263,101,32,41,66,138,477
Arron Afflalo,682,65,162,27,70,22,26,4,62,30,4,9,21,56,179
Cole Aldrich,49,5,15,0,0,2,6,3,12,3,2,1,1,11,12
LaMarcus Aldridge,2509,687,1347,27,92,334,399,246,389,152,43,90,111,161,1735
Jarrett Allen,1441,234,397,5,15,114,147,144,244,49,28,88,82,147,587
Kadeem Allen,107,6,22,0,11,7,9,4,7,12,3,2,9,15,19
Tony Allen,273,44,91,4,12,11,21,20,27,9,11,3,19,49,103
Al-Farouq Aminu,2072,230,582,125,339,59,80,97,428,84,79,40,79,136,644
Justin Anderson,519,87,202,34,103,28,38,25,68,25,15,7,16,54,236
Kyle Anderson,1978,231,438,19,57,104,146,84,312,202,115,60,94,114,585
Ryan Anderson,1725,207,480,131,339,72,93,94,237,60,24,21,42,126,617
Ike Anigbogu,30,4,9,0,0,5,6,5,4,0,1,3,2,1,13
Giannis Antetokounmpo,2756,742,1402,43,140,487,641,156,597,361,109,106,223,231,2014
Carmelo Anthony,2501,472,1168,169,474,148,193,67,386,103,47,49,99,197,1261
OG Anunoby,1481,163,346,73,197,39,62,44,140,55,52,14,45,130,438
Ryan Arcidiacono,304,17,41,9,31,5,6,1,24,35,13,0,13,18,48
Trevor Ariza,2269,268,651,170,462,76,89,33,261,105,98,13,52,132,782
Darrell Arthur,141,22,47,8,23,2,3,3,12,9,8,3,15,22,54
Jamel Artis,279,31,79,8,29,7,12,4,34,18,2,3,8,11,77
Ömer Aşık,182,9,22,0,0,4,13,9,38,3,2,4,9,20,22
D.J. Augustin,1760,244,540,114,272,164,189,30,130,287,54,0,123,94,766
Luke Babbitt,715,91,215,60,156,17,22,7,89,31,8,7,19,54,259
