player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Álex Abrines,588,56,157,41,127,12,13,5,43,20,17,6,14,53,165
Quincy Acy,123,4,18,2,15,7,10,3,22,8,1,4,4,24,17
Jaylen Adams,428,38,110,25,74,7,9,11,49,65,14,5,28,45,108
Steven Adams,2669,481,809,0,2,146,292,391,369,124,117,76,135,204,1108
Bam Adebayo,1913,280,486,3,15,166,226,165,432,184,71,65,121,203,729
Deng Adel,194,11,36,6,23,4,4,3,16,5,1,4,6,13,32
DeVaughn Akoon-Purcell,22,3,10,0,4,1,2,1,3,6,2,0,2,4,7
LaMarcus Aldridge,2687,684,1319,10,42,349,412,251,493,194,43,107,144,179,1727
Rawle Alkins,120,13,39,3,12,8,12,11,15,13,1,0,8,7,37
Grayson Allen,416,67,178,32,99,45,60,3,20,25,6,6,33,47,211
Jarrett Allen,2096,335,568,6,45,197,278,191,481,110,43,120,103,184,873
Kadeem Allen,416,65,141,17,36,42,54,8,43,76,16,4,26,46,189
Al-Farouq Aminu,2292,257,593,96,280,150,173,112,498,104,68,33,72,143,760
Justin Anderson,463,64,157,24,77,26,35,24,60,23,22,13,23,48,178
Kyle Anderson,1281,150,276,9,34,37,64,48,203,128,54,37,58,112,346
Ryan Anderson,322,21,69,9,40,12,16,18,36,19,4,1,14,25,63
Ike Anigbogu,6,0,3,0,0,0,0,1,2,1,0,1,1,0,0
Giannis Antetokounmpo,2358,721,1247,52,203,500,686,159,739,424,92,110,268,232,1994
Kostas Antetokounmpo,11,0,3,0,0,2,4,0,1,0,2,0,1,0,2
Carmelo Anthony,294,49,121,21,64,15,22,9,45,5,4,7,8,32,134
OG Anunoby,1352,183,404,67,202,36,62,58,139,47,46,22,55,140,469
Ryan Arcidiacono,1961,187,418,81,217,89,102,27,192,269,65,4,63,171,544
Trevor Ariza,2349,294,736,145,434,130,164,50,321,252,91,21,106,130,863
D.J. Augustin,2269,318,677,131,311,181,209,41,162,426,52,4,128,115,948
Deandre Ayton,2183,509,870,0,4,141,189,223,506,125,61,67,126,209,1159
Dwayne Bacon,759,122,257,38,87,34,46,8,81,47,12,5,18,72,316
Marvin Bagley III,1567,356,706,30,96,181,262,162,309,62,33,59,98,120,923
Ron Baker,152,4,20,1,13,5,6,1,10,15,6,1,5,18,14
Wade Baldwin,94,10,33,2,9,8,11,2,13,12,1,2,14,11,30
Lonzo Ball,1423,185,456,75,228,20,48,54,197,255,69,19,103,114,465
Mo Bamba,766,117,243,21,70,37,63,64,169,39,13,64,43,102,292
