Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Cliff Alexander\alexacl01,Nov 15 '15 POR @ CHO,20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0
2,Justin Anderson\anderju01,Oct 28 '15 DAL @ PHO,22,5,219,2874,409,979,138,460,201,259,136,556,143,97,69,129,258,1157,.418,.300,.776,13.1,5.3,2.5,0.7
3,Thanasis Antetokounmpo\antetth01,Jan 29 '16 NYK vs. PHO,23,2,20,99,22,40,0,8,7,15,11,20,9,6,2,11,15,51,.550,.000,.467,5.0,2.6,1.0,0.5
4,Keith Appling\applike01,Jan 18 '16 ORL @ ATL,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2
5,Nemanja Bjelica\bjeline01,Oct 28 '15 MIN @ LAL,27,5,333,7245,1003,2159,408,1037,251,326,391,1584,574,224,146,332,839,2665,.465,.393,.770,21.8,8.0,4.8,1.7
6,Devin Booker\bookede01,Oct 28 '15 PHO vs. DAL,19,5,334,11186,2558,5725,654,1842,1669,1922,165,1203,1562,264,84,1103,1023,7439,.447,.355,.868,33.5,22.3,3.6,4.7
7,Anthony Brown\brownan02,Oct 30 '15 LAL @ SAC,23,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161,.328,.286,.850,18.6,3.9,2.5,0.7
8,Willie Cauley-Stein\caulewi01,Oct 28 '15 SAC vs. LAC,22,5,349,8187,1421,2636,4,19,515,843,615,2194,553,323,289,348,826,3361,.539,.211,.611,23.5,9.6,6.3,1.6
9,Rakeem Christmas\chrisra01,Apr 13 '16 IND @ MIL,24,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1
10,Coty Clarke\clarkco01,Mar 15 '16 BOS @ IND,23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0
11,Pat Connaughton\connapa01,Oct 30 '15 POR @ PHO,23,5,277,4327,497,1122,206,601,105,134,174,762,346,84,79,150,290,1305,.443,.343,.784,15.6,4.7,2.8,1.2
12,Branden Dawson\dawsobr01,Dec 28 '15 LAC @ WAS,22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0
13,Bryce Dejean-Jones\dejeabr01,Jan 21 '16 NOP vs. DET,23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1
14,Sam Dekker\dekkesa01,Oct 28 '15 HOU vs. DEN,21,4,200,3096,451,944,89,309,103,170,191,607,160,101,37,98,201,1094,.478,.288,.606,15.5,5.5,3.0,0.8
15,Duje Dukan\dukandu01,Apr 13 '16 SAC @ HOU,24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0
16,Jarell Eddie\eddieja01,Dec 26 '15 WAS @ BRK,24,3,34,218,26,86,19,65,16,17,3,31,5,7,1,2,6,87,.302,.292,.941,6.4,2.6,0.9,0.1
17,Cristiano Felício\feliccr01,Nov 9 '15 CHI @ PHI,23,5,234,3470,424,741,0,12,207,305,371,966,174,68,50,151,348,1055,.572,.000,.679,14.8,4.5,4.1,0.7
18,Jerian Grant\grantje02,Oct 28 '15 NYK @ MIL,23,4,273,4918,583,1415,172,531,327,424,90,524,796,204,32,271,400,1665,.412,.324,.771,18.0,6.1,1.9,2.9
19,Montrezl Harrell\harremo01,Oct 28 '15 HOU vs. DEN,22,5,318,6643,1648,2683,5,50,736,1154,556,1570,424,177,287,369,718,4037,.614,.100,.638,20.9,12.7,4.9,1.3
20,Aaron Harrison\harriaa01,Nov 20 '15 CHO vs. PHI,21,3,35,343,24,92,12,55,19,31,8,42,16,15,2,7,39,79,.261,.218,.613,9.8,2.3,1.2,0.5
21,Mario Hezonja\hezonma01,Oct 28 '15 ORL vs. WAS,20,5,324,6003,843,2018,263,819,304,374,143,1004,407,235,80,366,534,2253,.418,.321,.813,18.5,7.0,3.1,1.3
22,Darrun Hilliard\hillida01,Nov 23 '15 DET @ MIL,22,3,91,859,104,276,31,102,56,75,7,85,71,22,3,51,74,295,.377,.304,.747,9.4,3.2,0.9,0.8
23,Rondae Hollis-Jefferson\holliro01,Oct 28 '15 BRK vs. CHI,21,5,286,6528,979,2186,43,201,689,933,421,1629,550,274,157,380,595,2690,.448,.214,.738,22.8,9.4,5.7,1.9
24,Richaun Holmes\holmeri01,Oct 28 '15 PHI @ BOS,22,5,265,4950,911,1561,39,152,368,508,446,1313,251,162,258,213,671,2229,.584,.257,.724,18.7,8.4,5.0,0.9
25,Marcelo Huertas\huertma01,Oct 28 '15 LAL vs. MIN,32,2,76,1106,122,298,20,80,36,46,20,114,234,36,9,99,92,300,.409,.250,.783,14.6,3.9,1.5,3.1
26,Josh Huestis\huestjo01,Mar 24 '16 OKC vs. UTA,24,3,76,1068,71,205,39,125,6,25,48,180,23,16,48,29,85,187,.346,.312,.240,14.1,2.5,2.4,0.3
27,R.J. Hunter\hunterj01,Nov 4 '15 BOS @ IND,22,4,45,395,49,132,26,88,9,11,3,46,19,18,4,13,39,133,.371,.295,.818,8.8,3.0,1.0,0.4
