Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,David Andersen\anderda03,Oct 27 '09 HOU @ POR,29,2,103,1264,203,461,35,101,60,89,74,292,57,20,21,59,159,501,.440,.347,.674,12.3,4.9,2.8,0.6
2,Antonio Anderson\anderan02,Mar 3 '10 OKC @ DEN,24,1,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,.333,,,15.0,2.0,1.0,0.0
3,Jeff Ayres\pendeje02,Dec 22 '09 POR @ DAL,22,6,237,2322,287,519,2,5,114,147,196,632,99,37,66,132,360,690,.553,.400,.776,9.8,2.9,2.7,0.4
4,Rodrigue Beaubois\beaubro01,Oct 30 '09 DAL @ LAL,21,4,182,2896,502,1143,129,397,153,189,47,338,374,124,52,204,312,1286,.439,.325,.810,15.9,7.1,1.9,2.1
5,DeJuan Blair\blairde01,Oct 28 '09 SAS vs. NOH,20,7,424,7054,1242,2371,0,9,381,627,810,2153,349,316,127,471,1003,2865,.524,.000,.608,16.6,6.8,5.1,0.8
6,Jon Brockman\brockjo01,Oct 28 '09 SAC @ OKC,22,3,150,1570,118,242,0,1,84,136,212,472,49,33,9,57,267,320,.488,.000,.618,10.5,2.1,3.1,0.3
7,Derrick Brown\brownde04,Oct 28 '09 CHA @ BOS,22,3,171,2554,354,687,13,41,174,273,167,413,119,89,32,109,208,895,.515,.317,.637,14.9,5.2,2.4,0.7
8,Chase Budinger\budinch01,Oct 27 '09 HOU @ POR,21,7,407,7998,1188,2766,413,1172,409,513,238,1240,473,213,65,310,485,3198,.430,.352,.797,19.7,7.9,3.0,1.2
9,DeMarre Carroll\carrode01,Oct 28 '09 MEM vs. DET,23,11,575,13616,1802,4192,657,1833,875,1182,654,2446,719,520,150,497,1123,5136,.430,.358,.740,23.7,8.9,4.3,1.3
10,Omri Casspi\casspom01,Oct 28 '09 SAC @ OKC,21,10,588,11959,1718,3781,493,1339,713,1052,473,2355,662,362,134,595,917,4642,.454,.368,.678,20.3,7.9,4.0,1.1
11,Earl Clark\clarkea01,Oct 28 '09 PHO @ LAC,22,6,261,3630,453,1125,82,250,150,226,195,778,134,83,136,175,323,1138,.403,.328,.664,13.9,4.4,3.0,0.5
12,Darren Collison\collida01,Oct 28 '09 NOH @ SAS,22,10,708,20796,3270,6937,635,1610,1682,1973,332,1885,3543,819,106,1382,1207,8857,.471,.394,.853,29.4,12.5,2.7,5.0
13,Dante Cunningham\cunnida01,Nov 8 '09 POR vs. MIN,22,10,715,14875,1772,3777,216,626,373,575,804,2676,506,459,336,352,1227,4133,.469,.345,.649,20.8,5.8,3.7,0.7
14,JamesOn Curry\curryja01,Jan 25 '10 LAC @ BOS,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0
15,Stephen Curry\curryst01,Oct 28 '09 GSW vs. HOU,21,11,699,23998,5682,11931,2495,5739,2560,2827,490,3158,4621,1205,156,2179,1732,16419,.476,.435,.906,34.3,23.5,4.5,6.6
16,Austin Daye\dayeau01,Oct 30 '09 DET vs. OKC,21,6,293,4132,567,1410,188,535,200,257,143,764,212,116,117,204,480,1522,.402,.351,.778,14.1,5.2,2.6,0.7
17,DeMar DeRozan\derozde01,Oct 28 '09 TOR vs. CLE,20,11,813,27765,5850,12801,340,1203,4243,5119,607,3545,2893,803,235,1669,1840,16283,.457,.283,.829,34.2,20.0,4.4,3.6
18,Toney Douglas\douglto01,Oct 28 '09 NYK @ MIA,23,8,394,7511,1093,2705,444,1256,379,460,213,875,889,349,30,410,775,3009,.404,.354,.824,19.1,7.6,2.2,2.3
19,Wayne Ellington\ellinwa01,Oct 28 '09 MIN vs. NJN,22,11,681,14278,1986,4866,1016,2689,473,559,216,1481,755,371,52,456,783,5461,.408,.378,.846,21.0,8.0,2.2,1.1
20,Tyreke Evans\evansty01,Oct 28 '09 SAC @ OKC,20,10,594,18242,3510,7978,500,1548,1827,2415,500,2720,2852,734,222,1489,1308,9347,.440,.323,.757,30.7,15.7,4.6,4.8
21,Jonny Flynn\flynnjo01,Oct 28 '09 MIN vs. NJN,20,3,163,3738,551,1379,118,349,284,351,44,307,634,122,7,382,179,1504,.400,.338,.809,22.9,9.2,1.9,3.9
22,Sundiata Gaines\gainesu01,Jan 6 '10 UTA vs. MEM,23,3,113,1311,182,458,44,146,100,178,46,175,207,83,3,93,100,508,.397,.301,.562,11.6,4.5,1.5,1.8
23,Alonzo Gee\geeal01,Mar 11 '10 WAS vs. ATL,22,8,417,9071,1001,2309,186,572,566,751,389,1360,441,379,101,447,792,2754,.434,.325,.754,21.8,6.6,3.3,1.1
24,Taj Gibson\gibsota01,Oct 29 '09 CHI vs. SAS,24,11,799,20094,3166,6147,26,118,1260,1776,1851,4998,812,450,838,940,2020,7618,.515,.220,.709,25.1,9.5,6.3,1.0
25,Trey Gilder\gildetr01,Oct 28 '09 MEM vs. DET,25,1,2,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2,1.000,,,2.5,1.0,0.5,0.0
26,Danny Green\greenda02,Nov 12 '09 CLE @ MIA,22,11,681,17298,2155,5083,1276,3177,491,606,404,2375,1083,685,535,694,1200,6077,.424,.402,.810,25.4,8.9,3.5,1.6
27,Taylor Griffin\griffta01,Nov 4 '09 PHO @ ORL,23,1,8,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10,.400,.000,.500,4.0,1.3,0.3,0.1
28,Tyler Hansbrough\hansbty01,Nov 6 '09 IND vs. WAS,24,7,428,7233,947,2156,3,22,984,1333,745,1808,181,207,91,319,869,2881,.439,.136,.738,16.9,6.7,4.2,0.4
29,James Harden\hardeja01,Oct 28 '09 OKC vs. SAC,20,11,826,28347,6102,13797,2296,6320,6223,7255,646,4388,5193,1295,436,3043,2183,20723,.442,.363,.858,34.3,25.1,5.3,6.3
30,Gerald Henderson\hendege02,Oct 28 '09 CHA @ BOS,22,8,535,13854,2249,5111,249,762,1240,1564,314,1716,1009,358,183,639,930,5987,.440,.327,.793,25.9,11.2,3.2,1.9
31,Jordan Hill\hilljo01,Oct 28 '09 NYK @ MIA,22,8,409,7692,1357,2733,3,22,515,737,879,2389,322,150,272,426,875,3232,.497,.136,.699,18.8,7.9,5.8,0.8
32,Jrue Holiday\holidjr01,Oct 30 '09 PHI vs. MIL,19,11,707,23508,4430,9791,920,2592,1444,1859,610,2767,4529,1056,360,1939,1620,11224,.452,.355,.777,33.3,15.9,3.9,6.4
33,Lester Hudson\hudsole01,Oct 28 '09 BOS vs. CHA,25,4,57,594,95,253,28,101,50,62,16,77,71,32,8,56,52,268,.375,.277,.806,10.4,4.7,1.4,1.2
34,Chris Hunter\huntech01,Nov 20 '09 GSW vs. POR,25,1,60,783,109,217,0,4,52,69,56,167,37,13,35,30,132,270,.502,.000,.754,13.1,4.5,2.8,0.6
35,Serge Ibaka\ibakase01,Oct 30 '09 OKC @ DET,20,11,803,23001,4195,8154,528,1461,1181,1554,1734,5906,618,347,1668,1080,2264,10099,.514,.361,.760,28.6,12.6,7.4,0.8
