Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Nickeil Alexander-Walker\alexani01,Oct 22 '19 NOP @ TOR,21,1,41,501,77,227,40,117,17,28,8,80,74,11,7,40,46,211,.339,.342,.607,12.2,5.1,2.0,1.8
2,RJ Barrett\barrerj01,Oct 23 '19 NYK @ SAS,19,1,56,1704,292,727,63,197,156,254,50,279,143,55,17,124,122,803,.402,.320,.614,30.4,14.3,5.0,2.6
3,Darius Bazley\bazleda01,Oct 23 '19 OKC @ UTA,19,1,53,909,88,230,30,100,32,47,21,196,29,20,35,40,45,238,.383,.300,.681,17.2,4.5,3.7,0.5
4,Goga Bitadze\bitadgo01,Oct 26 '19 IND @ CLE,20,1,49,410,61,129,6,36,24,33,22,96,21,6,32,25,57,152,.473,.167,.727,8.4,3.1,2.0,0.4
5,Marques Bolden\boldema01,Feb 1 '20 CLE vs. GSW,21,1,1,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,,,,3.0,0.0,2.0,0.0
6,Jordan Bone\bonejo01,Nov 4 '19 DET @ WAS,22,1,10,53,5,20,2,10,0,0,0,4,8,1,0,2,6,12,.250,.200,,5.3,1.2,0.4,0.8
7,Brian Bowen\bowenbr02,Nov 12 '19 IND vs. OKC,21,1,5,29,2,9,0,2,0,0,1,7,0,0,1,1,2,4,.222,.000,,5.8,0.8,1.4,0.0
8,Ky Bowman\bowmaky01,Oct 24 '19 GSW vs. LAC,22,1,45,1015,134,321,33,107,34,41,24,121,131,44,10,70,102,335,.417,.308,.829,22.6,7.4,2.7,2.9
9,Jarrell Brantley\brantja01,Oct 25 '19 UTA @ LAL,23,1,5,13,0,0,0,0,0,0,0,5,1,0,2,2,2,0,,,,2.6,0.0,1.0,0.2
10,Ignas Brazdeikis\brazdig01,Nov 3 '19 NYK vs. SAC,21,1,9,53,6,22,1,9,4,5,2,5,4,0,1,2,3,17,.273,.111,.800,5.9,1.9,0.6,0.4
11,Oshae Brissett\brissos01,Nov 18 '19 TOR vs. CHO,21,1,19,135,13,36,3,15,8,10,9,26,7,4,1,7,18,37,.361,.200,.800,7.1,1.9,1.4,0.4
12,Charlie Brown\brownch02,Nov 6 '19 ATL vs. CHI,22,1,10,40,6,19,3,9,5,5,2,4,2,2,2,3,3,20,.316,.333,1.000,4.0,2.0,0.4,0.2
13,Moses Brown\brownmo01,Nov 10 '19 POR vs. ATL,20,1,9,33,4,10,0,0,3,8,3,14,1,1,1,3,7,11,.400,,.375,3.7,1.2,1.6,0.1
14,Vlatko Čančar\cancavl01,Oct 31 '19 DEN @ NOP,22,1,14,45,6,15,1,6,4,4,5,10,3,1,1,3,7,17,.400,.167,1.000,3.2,1.2,0.7,0.2
15,Zylan Cheatham\cheatzy01,Nov 16 '19 NOP @ MIA,24,1,3,31,2,5,0,1,0,0,1,6,2,0,1,3,5,4,.400,.000,,10.3,1.3,2.0,0.7
16,Brandon Clarke\clarkbr01,Oct 23 '19 MEM @ MIA,23,1,50,1086,254,408,21,52,73,93,78,292,72,26,42,46,82,602,.623,.404,.785,21.7,12.0,5.8,1.4
17,Nicolas Claxton\claxtni01,Nov 8 '19 BRK @ POR,20,1,15,187,27,48,1,7,11,21,19,44,16,1,8,9,14,66,.563,.143,.524,12.5,4.4,2.9,1.1
18,Chris Clemons\clemoch01,Nov 3 '19 HOU @ MIA,22,1,29,251,51,126,33,94,6,7,3,23,22,6,5,17,20,141,.405,.351,.857,8.7,4.9,0.8,0.8
19,Amir Coffey\coffeam01,Dec 31 '19 LAC @ SAC,22,1,13,98,13,33,1,7,1,3,4,14,9,1,1,3,12,28,.394,.143,.333,7.5,2.2,1.1,0.7
20,Tyler Cook\cookty01,Oct 26 '19 CLE vs. IND,22,1,11,35,7,10,0,0,5,6,4,10,1,1,0,1,4,19,.700,,.833,3.2,1.7,0.9,0.1
21,Jarrett Culver\culveja01,Oct 23 '19 MIN @ BRK,20,1,63,1506,230,569,66,221,54,117,70,212,110,57,38,81,125,580,.404,.299,.462,23.9,9.2,3.4,1.7
22,Terence Davis\daviste02,Oct 22 '19 TOR vs. NOP,22,1,64,1087,181,391,88,222,45,52,46,217,107,32,12,65,104,495,.463,.396,.865,17.0,7.7,3.4,1.7
23,Luguentz Dort\dortlu01,Dec 6 '19 OKC vs. MIN,20,1,29,637,65,157,22,73,28,36,15,54,21,23,2,15,78,180,.414,.301,.778,22.0,6.2,1.9,0.7
24,Sekou Doumbouya\doumbse01,Nov 23 '19 DET @ MIL,19,1,38,754,92,236,28,98,31,46,20,118,19,20,8,35,80,243,.390,.286,.674,19.8,6.4,3.1,0.5
25,Carsen Edwards\edwarca01,Oct 23 '19 BOS @ PHI,21,1,35,316,37,113,21,68,11,13,6,43,22,10,3,15,33,106,.327,.309,.846,9.0,3.0,1.2,0.6
26,Tacko Fall\fallta01,Oct 26 '19 BOS @ NYK,24,1,6,24,9,12,0,0,1,3,0,11,0,0,2,3,5,19,.750,,.333,4.0,3.2,1.8,0.0
27,Bruno Fernando\fernabr01,Oct 24 '19 ATL @ DET,21,1,56,713,103,199,5,37,29,51,67,198,49,18,17,42,107,240,.518,.135,.569,12.7,4.3,3.5,0.9
28,Michael Frazier\frazimi01,Jan 9 '20 HOU @ OKC,25,1,8,66,4,11,2,8,4,6,1,3,1,2,0,2,13,14,.364,.250,.667,8.3,1.8,0.4,0.1
29,Wenyen Gabriel\gabriwe01,Oct 23 '19 SAC @ PHO,22,1,28,210,20,46,6,20,14,20,18,46,8,10,6,16,35,60,.435,.300,.700,7.5,2.1,1.6,0.3
30,Daniel Gafford\gaffoda01,Oct 26 '19 CHI vs. TOR,21,1,43,609,94,134,0,0,32,60,52,106,21,13,56,29,98,220,.701,,.533,14.2,5.1,2.5,0.5
31,Darius Garland\garlada01,Oct 23 '19 CLE @ ORL,20,1,59,1824,280,699,105,296,63,72,27,111,229,42,4,151,92,728,.401,.355,.875,30.9,12.3,1.9,3.9
32,Javonte Green\greenja02,Oct 25 '19 BOS vs. TOR,26,1,44,414,49,98,6,23,23,36,18,80,23,23,7,18,37,127,.500,.261,.639,9.4,2.9,1.8,0.5
33,Marko Guduric\gudurma01,Oct 23 '19 MEM @ MIA,24,1,42,476,61,154,25,81,23,25,14,71,45,12,8,36,34,170,.396,.309,.920,11.3,4.0,1.7,1.1
34,Kyle Guy\guyky01,Jan 10 '20 SAC vs. MIL,22,1,2,4,1,2,0,1,0,0,0,0,0,0,0,0,0,2,.500,.000,,2.0,1.0,0.0,0.0
35,Rui Hachimura\hachiru01,Oct 23 '19 WAS @ DAL,21,1,41,1217,218,456,20,73,92,111,63,248,70,34,7,41,89,548,.478,.274,.829,29.7,13.4,6.0,1.7
36,Devon Hall\hallde01,Nov 12 '19 OKC @ IND,24,1,5,20,1,5,0,2,3,4,0,1,3,0,0,1,1,5,.200,.000,.750,4.0,1.0,0.2,0.6
37,Donta Hall\halldo01,Feb 25 '20 DET @ DEN,22,1,4,48,1,4,0,0,4,6,6,15,2,1,1,2,9,6,.250,,.667,12.0,1.5,3.8,0.5
38,Jared Harper\harpeja01,Oct 23 '19 PHO vs. SAC,22,1,3,8,1,4,0,2,0,0,0,0,0,0,0,0,0,2,.250,.000,,2.7,0.7,0.0,0.0
39,Jaxson Hayes\hayesja02,Oct 28 '19 NOP vs. GSW,19,1,56,951,155,235,1,4,109,173,82,223,51,23,53,41,142,420,.660,.250,.630,17.0,7.5,4.0,0.9
40,Dewan Hernandez\hernade01,Nov 18 '19 TOR vs. CHO,23,1,4,11,1,5,0,1,2,2,2,7,0,1,0,1,6,4,.200,.000,1.000,2.8,1.0,1.8,0.0
41,Tyler Herro\herroty01,Oct 23 '19 MIA vs. MEM,20,1,47,1280,220,532,99,253,66,79,14,187,91,30,7,72,59,605,.414,.391,.835,27.2,12.9,4.0,1.9
42,Kevin Hervey\herveke01,Dec 26 '19 OKC vs. MEM,23,1,7,19,1,11,0,8,0,0,0,2,1,0,0,0,1,2,.091,.000,,2.7,0.3,0.3,0.1
43,Jaylen Hoard\hoardja01,Nov 10 '19 POR vs. ATL,20,1,13,103,15,32,0,3,8,13,14,32,4,5,0,4,12,38,.469,.000,.615,7.9,2.9,2.5,0.3
44,Talen Horton-Tucker\hortota01,Dec 8 '19 LAL vs. MIN,19,1,2,5,0,1,0,1,0,0,0,0,2,1,0,0,0,0,.000,.000,,2.5,0.0,0.0,1.0
45,William Howard\howarwi01,Feb 7 '20 HOU @ PHO,26,1,2,13,0,4,0,4,0,0,0,2,1,0,0,1,1,0,.000,.000,,6.5,0.0,1.0,0.5
46,De'Andre Hunter\huntede01,Oct 24 '19 ATL @ DET,22,1,63,2018,280,683,108,304,110,144,44,286,112,44,18,103,182,778,.410,.355,.764,32.0,12.3,4.5,1.8
47,Justin James\jamesju01,Oct 25 '19 SAC vs. POR,23,1,34,218,33,78,9,26,10,21,6,30,16,6,9,8,16,85,.423,.346,.476,6.4,2.5,0.9,0.5
48,DaQuan Jeffries\jeffrda01,Nov 15 '19 SAC @ LAL,22,1,6,19,3,7,1,4,0,0,1,1,1,1,0,0,3,7,.429,.250,,3.2,1.2,0.2,0.2
49,Ty Jerome\jeromty01,Dec 2 '19 PHO @ CHO,22,1,28,315,37,106,13,47,11,14,6,41,43,14,3,18,28,98,.349,.277,.786,11.3,3.5,1.5,1.5
50,Cameron Johnson\johnsca02,Oct 26 '19 PHO vs. LAC,23,1,49,996,136,325,91,229,35,46,39,140,52,30,16,29,72,398,.418,.397,.761,20.3,8.1,2.9,1.1
51,Keldon Johnson\johnske04,Nov 22 '19 SAS @ PHI,20,1,9,92,16,31,2,5,7,10,5,17,6,5,1,3,9,41,.516,.400,.700,10.2,4.6,1.9,0.7
52,Mfiondu Kabengele\kabenmf01,Oct 24 '19 LAC @ GSW,22,1,12,64,14,32,9,20,5,5,1,11,2,2,2,2,9,42,.438,.450,1.000,5.3,3.5,0.9,0.2
53,Stanton Kidd\kiddst01,Oct 25 '19 UTA @ LAL,27,1,4,15,0,3,0,1,0,0,0,3,1,0,0,2,3,0,.000,.000,,3.8,0.0,0.8,0.3
54,Louis King\kinglo02,Dec 26 '19 DET vs. WAS,20,1,10,62,8,21,4,11,0,3,1,10,5,2,0,2,10,20,.381,.364,.000,6.2,2.0,1.0,0.5
55,John Konchar\konchjo01,Nov 9 '19 MEM vs. DAL,23,1,15,167,23,35,4,9,1,2,18,46,21,7,3,6,7,51,.657,.444,.500,11.1,3.4,3.1,1.4
56,Romeo Langford\langfro01,Oct 30 '19 BOS vs. MIL,20,1,27,298,24,64,5,23,16,23,14,32,6,8,6,9,29,69,.375,.217,.696,11.0,2.6,1.2,0.2
57,Vic Law\lawvi01,Jan 26 '20 ORL vs. LAC,24,1,5,9,0,3,0,1,0,2,0,1,0,0,0,0,0,0,.000,.000,.000,1.8,0.0,0.2,0.0
58,Jalen Lecque\lecquja01,Jan 16 '20 PHO @ NYK,19,1,4,26,4,10,0,4,2,2,0,0,2,0,0,1,2,10,.400,.000,1.000,6.5,2.5,0.0,0.5
59,Nassir Little\littlna01,Oct 25 '19 POR @ SAC,19,1,48,573,65,151,14,59,28,44,31,108,22,13,14,15,72,172,.430,.237,.636,11.9,3.6,2.3,0.5
60,Terance Mann\mannte01,Oct 24 '19 LAC @ GSW,23,1,35,271,22,54,3,12,9,12,4,33,38,8,5,14,36,56,.407,.250,.750,7.7,1.6,0.9,1.1
61,Caleb Martin\martica02,Oct 25 '19 CHO vs. MIN,24,1,18,317,37,84,20,37,17,21,10,38,23,12,7,15,32,111,.440,.541,.810,17.6,6.2,2.1,1.3
