Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Jaylen Adams\adamsja01,Oct 17 '18 ATL @ NYK,22,1,34,428,38,110,25,74,7,9,11,60,65,14,5,28,45,108,.345,.338,.778,12.6,3.2,1.8,1.9
2,Deng Adel\adelde01,Jan 19 '19 CLE @ DEN,21,1,19,194,11,36,6,23,4,4,3,19,5,1,4,6,13,32,.306,.261,1.000,10.2,1.7,1.0,0.3
3,DeVaughn Akoon-Purcell\akoonde01,Oct 23 '18 DEN vs. SAC,25,1,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,.300,.000,.500,3.1,1.0,0.6,0.9
4,Rawle Alkins\alkinra01,Dec 17 '18 CHI @ OKC,21,1,10,120,13,39,3,12,8,12,11,26,13,1,0,8,7,37,.333,.250,.667,12.0,3.7,2.6,1.3
5,Grayson Allen\allengr01,Oct 22 '18 UTA vs. MEM,23,2,68,914,146,354,65,190,75,95,8,89,68,12,7,56,83,432,.412,.342,.789,13.4,6.4,1.3,1.0
6,Kostas Antetokounmpo\antetko01,Mar 20 '19 DAL @ POR,21,2,5,16,0,3,0,0,2,4,0,2,1,2,0,1,0,2,.000,,.500,3.2,0.4,0.4,0.2
7,Deandre Ayton\aytonde01,Oct 17 '18 PHO vs. DAL,20,2,101,3179,764,1335,0,7,201,267,346,1089,182,83,118,197,306,1729,.572,.000,.753,31.5,17.1,10.8,1.8
8,Marvin Bagley\baglema01,Oct 17 '18 SAC vs. UTA,19,2,75,1901,434,873,34,118,206,293,191,568,72,39,71,116,163,1108,.497,.288,.703,25.3,14.8,7.6,1.0
9,Mohamed Bamba\bambamo01,Oct 17 '18 ORL vs. MIA,20,2,107,1634,249,525,58,174,68,109,162,532,81,35,149,85,217,624,.474,.333,.624,15.3,5.8,5.0,0.8
10,Keita Bates-Diop\bateske01,Oct 26 '18 MIN vs. MIL,23,2,69,1168,149,350,44,146,67,97,37,195,47,35,35,28,67,409,.426,.301,.691,16.9,5.9,2.8,0.7
11,Dairis Bertāns\bertada02,Mar 10 '19 NOP @ ATL,29,1,12,167,12,47,10,34,0,0,2,9,10,1,0,2,7,34,.255,.294,,13.9,2.8,0.8,0.8
12,Jaron Blossomgame\blossja01,Dec 5 '18 CLE vs. GSW,25,1,27,439,47,106,10,39,10,13,26,98,13,7,8,11,20,114,.443,.256,.769,16.3,4.2,3.6,0.5
13,Jonah Bolden\boldejo01,Oct 16 '18 PHI @ BOS,23,2,51,686,84,173,34,100,15,31,50,174,40,20,41,38,109,217,.486,.340,.484,13.5,4.3,3.4,0.8
14,Isaac Bonga\bongais01,Dec 7 '18 LAL @ SAS,19,2,80,1145,101,217,22,63,61,79,70,208,76,46,25,47,145,285,.465,.349,.772,14.3,3.6,2.6,1.0
15,Mikal Bridges\bridgmi01,Oct 17 '18 PHO vs. DAL,22,2,147,4189,452,970,161,472,184,223,115,523,288,222,77,135,343,1249,.466,.341,.825,28.5,8.5,3.6,2.0
16,Miles Bridges\bridgmi02,Oct 17 '18 CHO vs. MIL,20,2,145,3691,556,1264,164,500,164,208,155,685,209,95,97,145,243,1440,.440,.328,.788,25.5,9.9,4.7,1.4
17,Isaiah Briscoe\briscis01,Oct 19 '18 ORL vs. CHO,22,1,39,559,55,138,11,34,15,26,5,74,87,11,2,31,66,136,.399,.324,.577,14.3,3.5,1.9,2.2
18,Ryan Broekhoff\broekry01,Oct 17 '18 DAL @ PHO,28,2,59,633,79,185,58,144,22,27,13,106,33,11,8,22,50,238,.427,.403,.815,10.7,4.0,1.8,0.6
19,Bruce Brown\brownbr01,Oct 17 '18 DET vs. BRK,22,2,132,3083,323,761,57,189,133,179,109,459,321,103,65,146,340,836,.424,.302,.743,23.4,6.3,3.5,2.4
20,Troy Brown\browntr01,Oct 24 '18 WAS @ GSW,19,2,113,2249,326,740,72,214,118,161,99,470,222,97,11,95,166,842,.441,.336,.733,19.9,7.5,4.2,2.0
21,Jalen Brunson\brunsja01,Oct 17 '18 DAL @ PHO,22,2,130,2613,445,953,106,301,148,195,47,303,418,59,8,154,201,1144,.467,.352,.759,20.1,8.8,2.3,3.2
22,Deonte Burton\burtode02,Oct 19 '18 OKC @ LAC,25,2,66,524,72,187,18,73,14,24,10,76,20,11,18,23,59,176,.385,.247,.583,7.9,2.7,1.2,0.3
23,Jevon Carter\carteje01,Dec 15 '18 MEM vs. HOU,23,2,89,1331,138,390,80,219,47,57,39,164,134,64,24,64,131,403,.354,.365,.825,15.0,4.5,1.8,1.5
24,Wendell Carter\cartewe01,Oct 18 '18 CHI @ PHI,19,2,87,2366,363,714,12,61,201,264,226,712,129,59,94,137,314,939,.508,.197,.761,27.2,10.8,8.2,1.5
25,Troy Caupain\caupatr01,Dec 31 '18 ORL @ CHO,23,1,4,16,4,8,2,3,0,0,1,3,4,1,0,0,0,10,.500,.667,,4.0,2.5,0.8,1.0
26,Joe Chealey\chealjo01,Jan 30 '19 CHO @ BOS,23,2,5,41,1,10,0,4,2,2,0,0,2,4,0,2,3,4,.100,.000,1.000,8.2,0.8,0.0,0.4
27,Chris Chiozza\chiozch01,Mar 24 '19 HOU @ NOP,23,2,28,282,34,87,20,46,2,2,7,39,52,16,3,18,25,90,.391,.435,1.000,10.1,3.2,1.4,1.9
28,Gary Clark\clarkga01,Oct 17 '18 HOU vs. NOP,24,2,86,1066,88,252,69,224,15,16,51,201,33,25,40,12,78,260,.349,.308,.938,12.4,3.0,2.3,0.4
29,Bonzie Colson\colsobo01,Feb 25 '19 MIL @ CHI,23,1,8,98,13,39,5,21,8,9,8,30,3,5,1,3,3,39,.333,.238,.889,12.3,4.9,3.8,0.4
30,Mitch Creek\creekmi01,Jan 25 '19 BRK vs. NYK,26,1,5,48,8,16,0,2,5,7,6,12,6,2,0,1,3,21,.500,.000,.714,9.6,4.2,2.4,1.2
31,Tyler Davis\davisty01,Nov 28 '18 OKC vs. CLE,21,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,1.0,0.0,1.0,0.0
32,Ángel Delgado\delgaan01,Feb 7 '19 LAC @ IND,24,1,2,15,1,5,0,0,1,2,2,4,0,1,0,0,2,3,.200,,.500,7.5,1.5,2.0,0.0
33,Marcus Derrickson\derrima01,Nov 10 '18 GSW vs. BRK,22,1,11,67,16,33,10,20,4,5,8,13,1,0,1,3,9,46,.485,.500,.800,6.1,4.2,1.2,0.1
34,Hamidou Diallo\diallha01,Oct 16 '18 OKC @ GSW,20,2,89,1225,174,384,11,59,64,104,67,219,39,49,18,60,159,423,.453,.186,.615,13.8,4.8,2.5,0.4
35,Donte DiVincenzo\divindo01,Oct 17 '18 MIL @ CHO,22,2,86,1773,259,576,98,304,69,90,75,354,167,93,24,91,135,685,.450,.322,.767,20.6,8.0,4.1,1.9
36,Luka Dončić\doncilu01,Oct 17 '18 DAL @ PHO,19,2,126,4117,1018,2297,324,1005,715,976,155,1065,899,136,35,474,271,3075,.443,.322,.733,32.7,24.4,8.5,7.1
37,Trevon Duval\duvaltr01,Feb 8 '19 MIL @ DAL,20,1,3,6,2,3,1,1,0,0,0,1,2,0,0,0,0,5,.667,1.000,,2.0,1.7,0.3,0.7
38,Vince Edwards\edwarvi01,Nov 15 '18 HOU vs. GSW,22,1,2,16,1,4,1,4,0,0,1,2,0,0,0,0,0,3,.250,.250,,8.0,1.5,1.0,0.0
39,Drew Eubanks\eubandr01,Oct 20 '18 SAS @ POR,21,2,37,243,36,54,1,1,19,24,14,69,12,4,11,18,32,92,.667,1.000,.792,6.6,2.5,1.9,0.3
40,Jacob Evans\evansja02,Oct 22 '18 GSW vs. PHO,21,2,59,622,63,187,17,54,25,30,15,66,54,16,15,36,69,168,.337,.315,.833,10.5,2.8,1.1,0.9
41,Melvin Frazier\frazime01,Nov 2 '18 ORL vs. LAC,22,2,25,95,13,38,4,13,3,8,4,9,2,5,2,4,14,33,.342,.308,.375,3.8,1.3,0.4,0.1
42,Billy Garrett\garrebi01,Apr 3 '19 NYK @ ORL,24,1,4,63,11,27,0,8,4,4,0,3,7,1,1,2,3,26,.407,.000,1.000,15.8,6.5,0.8,1.8
43,Harry Giles\gilesha01,Oct 17 '18 SAC vs. UTA,20,2,96,1399,291,555,0,6,91,134,99,381,134,52,36,108,250,673,.524,.000,.679,14.6,7.0,4.0,1.4
44,Shai Gilgeous-Alexander\gilgesh01,Oct 17 '18 LAC vs. DEN,20,2,145,4388,783,1651,129,361,410,512,102,616,478,166,90,258,283,2105,.474,.357,.801,30.3,14.5,4.2,3.3
45,Brandon Goodwin\goodwbr01,Dec 18 '18 DEN vs. DAL,23,2,50,487,82,213,28,93,37,41,12,75,65,12,4,32,50,229,.385,.301,.902,9.7,4.6,1.5,1.3
46,Devonte' Graham\grahade01,Oct 22 '18 CHO @ TOR,23,2,109,2887,442,1179,252,706,226,279,52,275,592,85,17,211,163,1362,.375,.357,.810,26.5,12.5,2.5,5.4
47,Donte Grantham\grantdo01,Feb 7 '19 OKC vs. MEM,23,1,3,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,.000,.000,,0.7,0.0,0.0,0.0
48,Dusty Hannahs\hannadu01,Mar 31 '19 MEM @ LAC,25,2,4,39,7,21,2,8,4,4,0,2,5,1,0,1,2,20,.333,.250,1.000,9.8,5.0,0.5,1.3
49,Isaiah Hartenstein\harteis01,Oct 17 '18 HOU vs. NOP,20,2,51,487,64,108,2,11,30,42,50,137,33,16,24,29,97,160,.593,.182,.714,9.5,3.1,2.7,0.6
50,Haywood Highsmith\highsha01,Jan 8 '19 PHI vs. WAS,22,1,5,40,4,10,1,5,0,2,0,5,2,1,0,1,1,9,.400,.200,.000,8.0,1.8,1.0,0.4
51,Aaron Holiday\holidaa01,Oct 17 '18 IND vs. MEM,22,2,108,2014,307,758,123,330,103,122,26,199,280,66,26,115,173,840,.405,.373,.844,18.6,7.8,1.8,2.6
52,Kevin Huerter\huertke01,Oct 17 '18 ATL @ NYK,20,2,131,3808,527,1267,263,687,94,120,95,473,427,116,52,196,294,1411,.416,.383,.783,29.1,10.8,3.6,3.3
53,Isaac Humphries\humphis01,Apr 2 '19 ATL @ SAS,21,1,5,56,6,21,3,11,0,0,4,11,0,1,0,0,7,15,.286,.273,,11.2,3.0,2.2,0.0
54,Chandler Hutchison\hutchch01,Oct 18 '18 CHI @ PHI,22,2,72,1422,176,384,26,88,69,116,49,293,60,50,13,52,106,447,.458,.295,.595,19.8,6.2,4.1,0.8
55,Frank Jackson\jacksfr01,Oct 17 '18 NOP @ HOU,20,2,112,1825,293,704,92,289,102,137,44,205,110,40,6,91,159,780,.416,.318,.745,16.3,7.0,1.8,1.0
56,Jaren Jackson\jacksja02,Oct 17 '18 MEM @ IND,19,2,112,3027,626,1290,186,482,274,363,126,526,140,88,169,192,439,1712,.485,.386,.755,27.0,15.3,4.7,1.3
57,Amile Jefferson\jeffeam01,Dec 31 '18 ORL @ CHO,25,2,30,142,15,30,0,0,12,22,16,44,7,4,6,4,15,42,.500,,.545,4.7,1.4,1.5,0.2
58,Alize Johnson\johnsal02,Oct 19 '18 IND @ MIL,22,2,27,118,11,31,1,2,8,14,11,37,3,1,3,3,13,31,.355,.500,.571,4.4,1.1,1.4,0.1
59,B.J. Johnson\johnsbj01,Mar 3 '19 ATL @ CHI,23,2,15,95,14,36,4,13,4,4,3,14,2,4,0,5,4,36,.389,.308,1.000,6.3,2.4,0.9,0.1
60,Jemerrio Jones\jonesje01,Mar 31 '19 LAL @ NOP,23,1,6,143,12,33,2,10,1,2,16,49,13,7,5,5,10,27,.364,.200,.500,23.8,4.5,8.2,2.2
61,George King\kingge03,Dec 11 '18 PHO @ SAS,25,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,6.0,0.0,1.0,0.0
62,Kevin Knox\knoxke01,Oct 17 '18 NYK vs. ATL,19,2,140,3324,482,1315,190,563,228,327,89,519,143,66,52,159,281,1382,.367,.337,.697,23.7,9.9,3.7,1.0
63,Rodions Kurucs\kurucro01,Oct 17 '18 BRK @ DET,20,2,102,1795,262,583,83,249,89,120,74,343,85,58,28,112,212,696,.449,.333,.742,17.6,6.8,3.4,0.8
64,Zach Lofton\loftoza01,Oct 17 '18 DET vs. BRK,26,1,1,4,0,1,0,1,0,0,0,0,0,1,0,1,0,0,.000,.000,,4.0,0.0,0.0,0.0
65,Jordan Loyd\loydjo01,Oct 29 '18 TOR @ MIL,25,1,12,55,8,18,4,8,9,11,1,9,6,0,0,2,5,29,.444,.500,.818,4.6,2.4,0.8,0.5
66,Daryl Macon\maconda01,Oct 26 '18 DAL @ TOR,23,2,12,104,11,30,6,13,4,7,2,12,8,1,0,8,9,32,.367,.462,.571,8.7,2.7,1.0,0.7
67,J.P. Macura\macurjp01,Jan 2 '19 CHO vs. DAL,23,2,3,18,3,9,0,4,0,0,0,3,2,0,0,0,0,6,.333,.000,,6.0,2.0,1.0,0.7
68,Yante Maten\matenya01,Apr 9 '19 MIA vs. PHI,22,1,2,13,1,4,0,1,0,0,1,3,0,1,0,0,0,2,.250,.000,,6.5,1.0,1.5,0.0
69,Tahjere McCall\mccalta01,Feb 27 '19 BRK vs. WAS,24,1,1,8,2,3,0,1,0,1,0,1,0,0,0,0,2,4,.667,.000,.000,8.0,4.0,1.0,0.0
