Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Álex Abrines\abrinal01,Oct 26 '16 OKC @ PHI,23,3,174,2777,305,789,219,595,95,108,49,248,88,92,22,72,291,924,.387,.368,.880,16.0,5.3,1.4,0.5
2,Ron Baker\bakerro01,Oct 25 '16 NYK @ CLE,23,3,96,1394,106,296,35,132,53,75,18,139,169,66,15,79,125,300,.358,.265,.707,14.5,3.1,1.4,1.8
3,Wade Baldwin\baldwwa01,Oct 26 '16 MEM vs. MIN,20,3,56,579,60,169,9,36,45,58,14,69,78,21,10,57,63,174,.355,.250,.776,10.3,3.1,1.2,1.4
4,Malik Beasley\beaslma01,Nov 5 '16 DEN @ DET,20,4,220,3836,682,1522,307,791,140,175,72,436,214,117,25,144,239,1811,.448,.388,.800,17.4,8.2,2.0,1.0
5,DeAndre' Bembry\bembrde01,Oct 27 '16 ATL vs. WAS,22,4,189,3672,479,1070,77,286,138,233,110,641,360,189,77,265,333,1173,.448,.269,.592,19.4,6.2,3.4,1.9
6,Dragan Bender\bendedr01,Oct 26 '16 PHO vs. SAC,19,4,187,3755,373,934,183,567,85,130,113,720,237,54,106,202,372,1014,.399,.323,.654,20.1,5.4,3.9,1.3
7,Ben Bentil\bentibe01,Mar 1 '17 DAL @ ATL,21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,.000,.000,,3.3,0.0,0.7,0.0
8,Dāvis Bertāns\bertada01,Oct 25 '16 SAS @ GSW,24,4,274,5109,733,1663,508,1235,225,265,98,760,312,118,122,170,440,2199,.441,.411,.849,18.6,8.0,2.8,1.1
9,Joel Bolomboy\bolomjo01,Oct 30 '16 UTA @ LAC,23,2,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,.545,.200,.500,5.1,1.7,1.5,0.1
10,Malcolm Brogdon\brogdma01,Oct 26 '16 MIL vs. CHO,24,4,235,6722,1201,2545,305,793,470,525,175,883,1017,204,46,385,458,3177,.472,.385,.895,28.6,13.5,3.8,4.3
11,Jaylen Brown\brownja02,Oct 26 '16 BOS vs. BRK,20,4,272,7108,1311,2790,369,998,527,775,230,1197,387,230,92,407,660,3518,.470,.370,.680,26.1,12.9,4.4,1.4
12,Nicolás Brussino\brussni01,Oct 26 '16 DAL @ IND,23,2,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150,.364,.299,.773,9.2,2.6,1.7,0.8
13,Marquese Chriss\chrisma01,Oct 26 '16 PHO vs. SAC,19,4,256,4965,763,1674,152,525,361,540,326,1250,279,174,213,329,671,2039,.456,.290,.669,19.4,8.0,4.9,1.1
14,Semaj Christon\chrisse01,Oct 26 '16 OKC @ PHI,24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,.345,.190,.548,15.2,2.9,1.4,2.0
15,Quinn Cook\cookqu01,Feb 27 '17 DAL vs. MIA,23,4,159,2396,435,930,163,396,50,65,40,286,271,47,5,120,187,1083,.468,.412,.769,15.1,6.8,1.8,1.7
16,Deyonta Davis\davisde01,Oct 26 '16 MEM vs. MIN,20,3,107,1299,200,334,0,1,54,85,105,346,47,21,61,43,177,454,.599,.000,.635,12.1,4.2,3.2,0.4
17,Malcolm Delaney\delanma01,Oct 27 '16 ATL vs. WAS,27,2,127,2262,254,673,72,234,149,185,19,223,356,74,7,161,194,729,.377,.308,.805,17.8,5.7,1.8,2.8
18,Cheick Diallo\diallch01,Oct 29 '16 NOP @ SAS,20,4,177,2143,395,660,2,6,147,191,173,743,78,54,73,114,266,939,.598,.333,.770,12.1,5.3,4.2,0.4
