Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Bam Adebayo\adebaba01,Oct 18 '17 MIA @ ORL,20,3,216,5516,862,1545,4,35,531,747,448,1661,618,181,191,372,505,2259,.558,.114,.711,25.5,10.5,7.7,2.9
2,Jarrett Allen\allenja01,Oct 20 '17 BRK vs. ORL,19,3,216,5184,836,1378,11,65,458,662,530,1665,244,108,293,257,475,2141,.607,.169,.692,24.0,9.9,7.7,1.1
3,Kadeem Allen\allenka01,Dec 11 '17 BOS @ CHI,25,3,47,640,90,207,22,63,56,74,14,71,109,24,8,43,68,258,.435,.349,.757,13.6,5.5,1.5,2.3
4,Ike Anigbogu\anigbik01,Oct 20 '17 IND vs. POR,19,2,14,36,4,12,0,0,5,6,6,12,1,1,4,3,1,13,.333,,.833,2.6,0.9,0.9,0.1
5,OG Anunoby\anunoog01,Oct 19 '17 TOR vs. CHI,20,3,204,4730,613,1277,222,614,134,210,176,722,201,186,78,175,425,1582,.480,.362,.638,23.2,7.8,3.5,1.0
6,Ryan Arcidiacono\arcidry01,Oct 19 '17 CHI @ TOR,23,3,163,3195,294,679,144,386,121,146,48,354,400,105,7,113,285,853,.433,.373,.829,19.6,5.2,2.2,2.5
7,Jamel Artis\artisja01,Dec 13 '17 ORL vs. LAC,25,1,15,279,31,79,8,29,7,12,4,38,18,2,3,8,11,77,.392,.276,.583,18.6,5.1,2.5,1.2
8,Dwayne Bacon\bacondw01,Oct 18 '17 CHO @ DET,22,3,135,2159,279,693,68,197,89,124,27,313,137,51,9,78,170,715,.403,.345,.718,16.0,5.3,2.3,1.0
9,Lonzo Ball\balllo01,Oct 19 '17 LAL vs. LAC,20,3,155,5020,647,1648,304,886,90,186,186,959,1023,237,92,411,341,1688,.393,.343,.484,32.4,10.9,6.2,6.6
10,Jordan Bell\belljo01,Oct 17 '17 GSW vs. HOU,23,3,154,1853,250,444,4,18,74,116,145,472,194,58,117,114,191,578,.563,.222,.638,12.0,3.8,3.1,1.3
11,Khem Birch\birchkh01,Oct 21 '17 ORL @ CLE,25,3,132,1998,215,392,0,2,141,211,219,550,107,49,71,64,201,571,.548,.000,.668,15.1,4.3,4.2,0.8
12,Jabari Bird\birdja01,Oct 20 '17 BOS @ PHI,23,1,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39,.577,.429,.462,8.8,3.0,1.5,0.6
13,Antonio Blakeney\blakean01,Oct 19 '17 CHI @ TOR,21,2,76,1143,219,539,51,143,80,115,11,139,62,19,10,46,60,569,.406,.357,.696,15.0,7.5,1.8,0.8
