player,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,ast,stl,blk,tov,pf,pts
Arron Afflalo,2221,272,585,108,249,72,98,59,193,138,46,30,74,225,724
Alexis Ajinça,30,5,10,0,0,0,1,1,3,0,1,1,2,5,10
LaMarcus Aldridge,2922,579,1169,5,16,230,304,192,435,160,67,48,104,231,1393
Joe Alexander,29,1,6,0,1,2,3,2,3,2,1,1,0,9,4
Malik Allen,456,46,116,1,6,12,13,36,46,16,11,5,22,68,105
Ray Allen,2819,464,973,145,399,231,253,45,208,210,64,25,129,182,1304
Tony Allen,889,129,253,0,5,72,119,52,93,72,59,19,66,109,330
Rafer Alston,1421,155,446,58,168,59,81,13,116,176,50,10,95,103,427
Lou Amundson,1168,152,276,0,1,67,123,128,218,31,24,73,57,169,371
Chris Andersen,1695,142,251,0,3,164,236,147,336,33,42,143,59,171,448
David Andersen,891,147,340,27,78,46,67,54,154,44,15,12,37,119,367
Antonio Anderson,15,1,3,0,0,0,0,1,0,0,0,0,1,1,2
Ryan Anderson,911,169,388,78,211,71,82,70,132,37,25,14,56,81,487
Carmelo Anthony,2634,688,1502,59,187,508,612,152,302,222,88,30,209,225,1943
Joel Anthony,1322,76,159,0,0,66,92,123,126,12,20,109,45,158,218
Gilbert Arenas,1169,253,616,63,181,153,207,17,116,230,41,9,117,95,722
Trevor Ariza,2629,394,999,136,407,148,228,78,325,276,126,40,161,162,1072
Hilton Armstrong,335,28,79,0,1,15,32,27,54,21,15,12,22,59,71
Carlos Arroyo,1585,178,375,7,25,76,90,26,104,225,36,6,54,102,439
Darrell Arthur,457,63,146,0,1,17,30,37,73,15,14,14,22,60,143
Chucky Atkins,644,57,157,22,73,25,27,5,24,91,17,0,32,53,161
D.J. Augustin,1472,168,435,70,178,102,131,11,86,193,45,5,74,127,508
Jeff Ayres,405,43,65,0,0,18,20,25,73,1,7,16,12,76,104
Kelenna Azubuike,231,48,88,10,27,19,28,12,29,10,5,9,7,16,125
Renaldo Balkman,91,6,18,0,7,2,6,4,19,7,8,2,6,16,14
Marcus Banks,244,39,73,7,24,24,29,3,20,26,12,2,20,30,109
Leandro Barbosa,786,155,365,44,136,64,73,11,58,64,23,12,46,71,418
J.J. Barea,1546,232,527,56,157,76,90,17,129,258,35,6,102,119,596
Andrea Bargnani,2799,537,1143,121,325,181,234,105,388,93,25,111,120,215,1376
Matt Barnes,2097,271,557,66,207,108,146,106,339,134,59,30,112,185,716
Earl Barron,232,30,68,0,0,22,29,31,46,8,4,4,11,24,82
Brandon Bass,648,119,233,0,0,52,63,54,73,19,12,27,31,69,290
Tony Battie,134,14,40,1,4,7,10,4,19,3,4,2,3,19,36
Shane Battier,2168,178,447,101,279,77,106,74,238,164,53,76,64,139,534
Nicolas Batum,918,139,268,54,132,43,51,32,109,44,24,25,27,83,375
Jerryd Bayless,1304,200,483,29,92,201,242,18,102,172,26,5,94,152,630
Michael Beasley,2328,468,1040,28,102,192,240,123,375,100,80,49,131,221,1156
Rodrigue Beaubois,700,155,299,45,110,42,52,12,66,74,29,12,54,84,397
Marco Belinelli,1121,154,379,60,158,101,121,14,81,89,42,5,60,80,469
Charlie Bell,1611,169,443,73,200,48,67,31,101,104,39,12,54,136,459
Raja Bell,180,28,61,12,27,3,3,5,18,13,4,2,5,15,71
Jonathan Bender,292,40,100,14,39,24,26,15,37,16,2,17,28,33,118
Mike Bibby,2195,268,644,126,324,68,79,20,164,310,67,3,90,157,730
Andris Biedriņš,763,81,137,0,0,4,25,63,196,57,20,44,32,117,166
Chauncey Billups,2490,402,962,157,407,466,512,25,203,409,82,9,177,153,1427
DeJuan Blair,1494,275,495,0,2,88,161,200,326,65,50,39,112,224,638
Steve Blake,2159,217,522,116,294,36,48,21,166,380,58,6,128,123,586
Andray Blatche,2256,478,999,13,44,174,234,158,351,170,85,71,182,218,1143
Keith Bogans,1559,120,298,70,196,37,50,25,151,95,45,12,53,156,347
Andrew Bogut,2229,473,910,0,2,149,237,208,493,127,39,175,131,222,1095
Matt Bonner,1161,166,372,90,231,35,48,52,162,68,30,24,39,109,457
Josh Boone,1045,117,223,0,0,19,58,124,191,29,30,48,37,111,253
Carlos Boozer,2673,617,1098,0,0,285,384,181,693,247,84,36,212,270,1519
Chris Bosh,2526,600,1158,8,22,470,590,205,554,166,43,68,169,170,1678
Ryan Bowen,8,1,1,0,0,2,2,1,1,0,1,0,0,2,4
Earl Boykins,1117,172,403,19,60,77,89,17,58,171,24,3,69,48,440
Elton Brand,2297,412,858,0,1,172,233,179,282,109,82,80,131,232,996
Corey Brewer,2482,409,949,82,237,166,256,70,209,193,117,29,164,224,1066
Ronnie Brewer,1742,209,429,8,31,85,133,45,142,154,91,15,53,80,511
Primož Brezec,95,9,26,0,0,1,6,12,13,1,1,3,2,19,19
Jon Brockman,654,55,103,0,0,37,62,105,108,22,15,5,23,115,147
Aaron Brooks,2919,575,1331,209,525,245,298,54,161,434,69,14,232,199,1604
Bobby Brown,519,88,237,26,98,13,15,9,29,88,15,1,46,42,215
Derrick Brown,535,68,147,2,7,48,72,31,47,19,21,10,19,53,186
Devin Brown,1060,136,361,58,164,69,86,29,95,65,33,6,62,72,399
Kwame Brown,660,62,124,0,1,33,98,53,124,22,15,12,43,93,157
Shannon Brown,1700,253,592,62,189,99,121,30,153,108,57,31,67,129,667
Kobe Bryant,2835,716,1569,99,301,439,541,78,313,365,113,20,233,187,1970
Chase Budinger,1488,249,565,92,249,67,87,38,182,88,34,11,48,85,657
Caron Butler,2783,450,1051,42,145,264,315,104,357,156,116,24,160,193,1206
Rasual Butler,2702,356,870,145,432,122,145,39,201,116,36,68,79,121,979
Andrew Bynum,1977,392,688,0,1,193,261,177,364,68,35,94,115,193,977
Will Bynum,1667,237,534,12,55,142,178,24,118,283,55,7,115,143,628
José Calderón,1817,274,568,68,171,83,104,23,119,404,47,7,99,135,699
Marcus Camby,2314,238,501,2,7,78,122,249,622,186,95,146,91,161,556
Brian Cardinal,267,14,36,3,9,17,18,7,22,24,9,3,7,56,48
Rodney Carney,857,113,282,41,135,52,63,26,111,37,25,20,21,79,319
DeMarre Carroll,795,88,222,0,6,33,53,53,97,33,28,9,24,107,209
Matt Carroll,121,18,50,4,19,6,6,4,8,6,5,0,7,13,46
Anthony Carter,859,76,181,17,63,11,13,17,72,160,39,13,58,72,180
Vince Carter,2310,434,1015,119,324,257,306,33,260,236,53,18,106,189,1244
Omri Casspi,1931,300,672,75,203,117,174,75,274,95,54,17,98,125,792
Mario Chalmers,1807,182,454,75,236,82,110,25,110,246,91,12,123,175,521
Tyson Chandler,1163,109,190,0,0,115,157,114,206,16,17,55,91,138,333
Wilson Chandler,2320,412,860,40,150,129,160,93,255,138,46,49,108,184,993
Earl Clark,383,56,151,2,5,26,36,18,44,21,7,13,23,25,140
Jarron Collins,261,12,31,0,0,10,25,22,40,6,2,3,10,42,34
Jason Collins,115,8,23,0,1,0,2,5,9,4,3,2,5,21,16
Mardy Collins,470,47,128,4,17,13,21,13,37,44,23,1,32,45,111
Darren Collison,2109,376,789,46,115,148,174,41,151,432,78,4,202,92,946
Nick Collison,1557,182,309,1,4,74,107,152,232,38,37,48,63,230,439
Mike Conley,2569,369,830,82,212,139,187,30,161,425,109,12,170,178,959
Will Conroy,36,3,10,0,3,0,2,0,3,7,0,0,4,5,6
Brian Cook,44,7,23,2,9,5,7,1,8,1,0,2,6,5,21
Daequan Cook,691,81,253,40,126,21,25,9,73,43,14,10,24,50,223
Jamal Crawford,2460,496,1105,163,427,270,315,34,167,238,61,12,137,132,1425
Dante Cunningham,707,106,214,0,2,31,48,54,106,14,24,22,15,97,243
Eddy Curry,62,8,21,0,0,10,17,4,9,0,0,1,13,13,26
JamesOn Curry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Curry,2896,528,1143,166,380,177,200,48,308,472,152,19,243,252,1399
Samuel Dalembert,2124,285,523,0,0,97,133,239,545,64,42,151,123,252,667
Erick Dampier,1280,133,213,1,3,61,101,128,272,31,15,77,61,153,328
Marquis Daniels,937,124,249,6,28,34,56,27,68,66,27,6,42,91,288
Baron Davis,2523,412,1015,82,296,239,291,52,214,598,126,43,211,210,1145
Glen Davis,933,122,279,0,4,96,138,101,104,35,21,14,53,132,340
Paul Davis,8,2,4,0,0,1,2,0,0,3,0,1,0,0,5
Ricky Davis,499,62,143,16,42,18,31,10,47,39,11,3,29,39,158
Austin Daye,915,137,295,29,95,46,56,34,140,34,25,26,48,114,349
Carlos Delfino,2279,299,732,134,365,93,119,51,343,202,80,21,119,138,825
Luol Deng,2651,473,1014,32,83,252,330,131,381,143,66,61,134,129,1230
DeMar DeRozan,1664,255,512,4,16,148,194,66,157,53,43,18,62,176,662
Boris Diaw,2906,373,773,66,206,113,147,131,293,325,60,57,178,219,925
Yakhouba Diawara,44,2,10,1,6,0,0,1,3,3,1,0,3,8,5
Travis Diener,51,2,10,1,7,1,4,0,3,8,4,0,0,2,6
DeSagana Diop,262,15,29,0,0,2,9,24,41,5,5,14,12,31,32
Keyon Dooling,971,129,324,59,157,47,61,8,46,135,34,0,59,82,364
Joey Dorsey,106,9,20,0,0,5,12,16,27,2,3,2,6,21,23
Toney Douglas,1087,179,391,68,175,55,68,40,68,112,42,3,55,116,481
Chris Douglas-Roberts,1730,255,573,14,54,133,157,45,153,93,55,19,97,101,657
Goran Dragić,1442,222,491,74,188,117,159,38,133,241,48,8,126,131,635
Jared Dudley,1991,225,490,120,262,104,138,99,182,115,81,16,68,162,674
Chris Duhon,2072,168,451,90,258,68,95,28,150,378,59,3,110,83,494
Tim Duncan,2438,561,1082,2,11,271,374,221,567,246,45,117,140,152,1395
Mike Dunleavy,1486,229,558,75,236,133,158,25,211,103,38,15,72,105,666
Kevin Durant,3239,794,1668,128,351,756,840,105,518,231,112,84,271,171,2472
Wayne Ellington,1384,190,448,64,162,61,70,33,126,74,20,5,74,72,505
Monta Ellis,2647,631,1406,77,228,292,388,47,210,340,143,25,244,189,1631
Francisco Elson,66,5,15,0,0,2,5,6,8,2,1,0,1,7,12
Maurice Evans,1317,175,393,57,169,46,61,59,95,48,34,17,20,125,453
Reggie Evans,311,34,69,0,0,27,60,30,75,8,14,4,22,44,95
Tyreke Evans,2677,533,1165,36,141,348,465,66,314,414,109,26,216,204,1450
Jordan Farmar,1474,224,515,86,229,57,85,14,117,127,52,11,72,109,591
Raymond Felton,2643,388,846,60,156,132,173,53,235,446,123,22,168,172,968
Rudy Fernández,1441,160,423,98,266,85,98,35,129,127,62,11,72,87,503
Kyrylo Fesenko,408,52,95,0,1,24,57,33,57,15,6,19,24,78,128
Michael Finley,709,81,184,32,82,8,15,6,65,43,10,6,21,33,202
Derek Fisher,2227,212,558,78,224,113,132,25,145,201,90,9,78,202,615
Jonny Flynn,2339,397,952,77,215,223,270,24,167,356,82,2,233,98,1094
T.J. Ford,1189,186,418,8,50,104,135,41,108,180,44,11,90,102,484
Jeff Foster,255,22,46,0,1,5,9,34,47,21,3,4,14,45,49
Randy Foye,1667,256,619,63,182,129,145,16,114,228,33,10,94,123,704
Channing Frye,2190,317,703,172,392,98,121,66,361,113,64,74,73,263,904
Dan Gadzuric,314,39,89,0,0,10,25,38,54,12,9,13,15,63,88
Sundiata Gaines,217,38,82,7,26,23,46,6,23,39,12,0,14,17,106
Danilo Gallinari,2747,392,927,186,488,251,307,65,333,135,75,58,110,191,1221
Francisco García,575,82,176,23,59,15,17,11,55,45,10,19,21,49,202
Kevin Garnett,2060,402,772,1,5,185,221,78,428,185,68,57,101,170,990
Marc Gasol,2469,378,651,0,1,252,376,208,432,165,69,109,135,254,1008
Pau Gasol,2403,452,844,0,5,286,362,243,491,218,37,113,143,152,1190
Rudy Gay,3175,600,1288,66,202,301,400,115,357,153,118,64,169,201,1567
Alonzo Gee,182,28,59,7,9,18,29,15,18,7,7,1,10,13,81
Devean George,761,89,206,48,123,16,23,21,93,32,41,10,15,89,242
Daniel Gibson,1068,125,268,71,149,34,49,13,60,70,25,7,36,79,355
Taj Gibson,2204,311,629,0,0,113,175,226,385,70,50,104,114,282,735
J.R. Giddens,239,28,60,0,10,13,23,16,35,13,9,2,17,29,69
Trey Gilder,5,1,1,0,0,0,0,0,1,0,1,0,0,0,2
Manu Ginóbili,2150,398,903,132,350,309,355,68,216,370,103,24,154,154,1237
Ryan Gomes,2210,327,732,74,199,104,126,76,272,124,62,16,95,155,832
Drew Gooden,1755,288,602,1,8,186,216,207,335,47,41,58,108,194,763
Ben Gordon,1730,291,699,75,234,198,230,26,93,166,49,6,118,147,855
Eric Gordon,2229,352,784,119,321,222,299,25,135,186,69,14,144,96,1045
Marcin Gortat,1088,121,227,0,3,51,75,104,237,17,17,70,46,138,293
Joey Graham,759,105,202,2,13,54,73,39,84,22,23,7,43,104,266
Stephen Graham,804,119,240,16,50,42,65,24,111,23,20,10,36,94,296
Danny Granger,2278,488,1139,158,438,363,428,67,275,171,94,51,157,183,1497
Aaron Gray,311,42,82,0,0,20,28,45,61,22,9,11,18,54,104
Danny Green,115,15,39,6,22,4,6,8,9,5,6,3,5,9,40
Jeff Green,3043,485,1070,104,312,165,223,112,378,134,104,72,135,221,1239
Willie Green,1553,248,543,47,136,95,114,20,109,152,32,11,67,135,638
Donté Greene,1630,244,553,69,183,90,140,53,181,71,41,53,93,150,647
Taylor Griffin,32,4,10,0,2,2,4,0,2,1,0,2,1,4,10
Hamed Haddadi,240,24,62,0,3,14,19,26,49,10,1,14,20,57,62
Malik Hairston,317,40,76,2,11,17,30,13,36,16,4,9,11,29,99
Marcus Haislip,44,10,21,3,5,2,5,4,6,0,0,2,3,5,25
Richard Hamilton,1552,293,717,41,138,204,241,30,92,202,30,3,115,115,831
Tyler Hansbrough,511,81,225,0,4,84,113,60,78,28,17,8,21,70,246
James Harden,1738,233,578,93,248,194,240,47,197,137,80,20,106,200,753
Al Harrington,2195,448,1030,140,409,240,317,88,317,110,62,26,132,209,1276
Devin Harris,2221,356,884,60,217,308,386,24,179,423,79,18,181,178,1080
Mike Harris,96,11,30,0,1,7,11,10,14,3,5,1,9,14,29
Jason Hart,22,1,2,0,0,0,0,0,2,6,2,1,3,4,2
